Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Bendigo (88150)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Newstead		5	0.73		9	1.31		10	1.46		1	0.15		0	0.00		2	0.29		42	6.11		240	34.93		2	0.29		1	0.15		222	32.31		3	0.44		34	4.95		0	0.00		0	0.00		116	16.89		0	0.00		0	0.00		687	94.89		37	5.11		724	0.85
Quarry Hill		16	1.65		7	0.72		10	1.03		1	0.10		0	0.00		1	0.10		23	2.37		348	35.84		1	0.10		4	0.41		349	35.94		21	2.16		67	6.90		0	0.00		0	0.00		122	12.56		0	0.00		1	0.10		971	96.23		38	3.77		1009	1.18
Raywood		3	0.85		1	0.28		4	1.13		1	0.28		0	0.00		0	0.00		31	8.76		157	44.35		1	0.28		0	0.00		116	32.77		8	2.26		13	3.67		0	0.00		1	0.28		18	5.08		0	0.00		0	0.00		354	94.65		20	5.35		374	0.44
Redesdale		11	4.00		6	2.18		9	3.27		0	0.00		0	0.00		0	0.00		18	6.55		123	44.73		1	0.36		2	0.73		67	24.36		3	1.09		17	6.18		0	0.00		1	0.36		15	5.45		0	0.00		2	0.73		275	92.91		21	7.09		296	0.35
St Laurence		7	4.55		1	0.65		4	2.60		0	0.00		0	0.00		0	0.00		4	2.60		77	50.00		0	0.00		0	0.00		56	36.36		1	0.65		3	1.95		0	0.00		0	0.00		1	0.65		0	0.00		0	0.00		154	95.06		8	4.94		162	0.19
Sparrowhawk		8	1.47		29	5.33		7	1.29		0	0.00		0	0.00		0	0.00		23	4.23		87	15.99		2	0.37		2	0.37		338	62.13		7	1.29		18	3.31		0	0.00		0	0.00		22	4.04		1	0.18		0	0.00		544	92.83		42	7.17		586	0.69
Spring Gully		36	2.13		19	1.12		21	1.24		1	0.06		0	0.00		1	0.06		38	2.25		739	43.73		4	0.24		4	0.24		525	31.07		32	1.89		128	7.57		1	0.06		2	0.12		139	8.22		0	0.00		0	0.00		1690	96.08		69	3.92		1759	2.07
Strathdale		41	1.79		29	1.26		20	0.87		4	0.17		3	0.13		2	0.09		64	2.79		1170	50.96		1	0.04		32	1.39		684	29.79		21	0.91		126	5.49		0	0.00		0	0.00		97	4.22		1	0.04		1	0.04		2296	94.92		123	5.08		2419	2.84
Strathfieldsaye		26	1.47		27	1.53		25	1.42		1	0.06		0	0.00		2	0.11		59	3.34		832	47.11		2	0.11		5	0.28		528	29.90		33	1.87		101	5.72		0	0.00		0	0.00		123	6.96		1	0.06		1	0.06		1766	96.40		66	3.60		1832	2.15
Strath Hill		44	1.96		27	1.20		18	0.80		0	0.00		1	0.04		0	0.00		35	1.56		1135	50.51		5	0.22		8	0.36		639	28.44		73	3.25		132	5.87		0	0.00		1	0.04		129	5.74		0	0.00		0	0.00		2247	96.07		92	3.93		2339	2.75
Taradale		5	1.45		10	2.90		5	1.45		0	0.00		0	0.00		0	0.00		18	5.22		130	37.68		1	0.29		0	0.00		114	33.04		3	0.87		12	3.48		0	0.00		0	0.00		47	13.62		0	0.00		0	0.00		345	97.46		9	2.54		354	0.42
Tarnagulla		1	0.58		4	2.31		2	1.16		0	0.00		0	0.00		0	0.00		15	8.67		65	37.57		0	0.00		0	0.00		68	39.31		2	1.16		5	2.89		0	0.00		1	0.58		10	5.78		0	0.00		0	0.00		173	95.58		8	4.42		181	0.21
Tooborac		2	1.98		3	2.97		2	1.98		1	0.99		0	0.00		0	0.00		4	3.96		62	61.39		0	0.00		0	0.00		19	18.81		1	0.99		1	0.99		0	0.00		0	0.00		6	5.94		0	0.00		0	0.00		101	94.39		6	5.61		107	0.13
Wedderburn		21	3.05		16	2.33		10	1.45		1	0.15		0	0.00		1	0.15		40	5.81		278	40.41		3	0.44		1	0.15		267	38.81		19	2.76		19	2.76		0	0.00		0	0.00		10	1.45		0	0.00		2	0.29		688	91.01		68	8.99		756	0.89
Weeroona		52	2.71		36	1.88		24	1.25		0	0.00		1	0.05		0	0.00		65	3.39		655	34.15		4	0.21		17	0.89		824	42.96		22	1.15		122	6.36		0	0.00		1	0.05		94	4.90		1	0.05		0	0.00		1918	95.23		96	4.77		2014	2.37
White Hills		31	2.09		28	1.89		15	1.01		0	0.00		1	0.07		1	0.07		51	3.44		599	40.36		4	0.27		3	0.20		593	39.96		19	1.28		80	5.39		0	0.00		0	0.00		58	3.91		0	0.00		1	0.07		1484	93.63		101	6.37		1585	1.86
Winters Flat		14	2.04		10	1.46		10	1.46		1	0.15		0	0.00		0	0.00		28	4.08		249	36.30		1	0.15		7	1.02		282	41.11		11	1.60		25	3.64		1	0.15		1	0.15		46	6.71		0	0.00		0	0.00		686	95.41		33	4.59		719	0.84
Woodvale		5	2.48		1	0.50		4	1.98		0	0.00		0	0.00		0	0.00		11	5.45		92	45.54		0	0.00		0	0.00		58	28.71		4	1.98		15	7.43		0	0.00		0	0.00		12	5.94		0	0.00		0	0.00		202	94.84		11	5.16		213	0.25
Special Hospitals		31	4.33		8	1.12		3	0.42		0	0.00		1	0.14		1	0.14		8	1.12		371	51.82		2	0.28		8	1.12		265	37.01		5	0.70		9	1.26		0	0.00		0	0.00		4	0.56		0	0.00		0	0.00		716	95.59		33	4.41		749	0.88
Total Ordinary		1353	1.96		1278	1.85		893	1.29		64	0.09		32	0.05		40	0.06		2767	4.00		27171	39.27		145	0.21		325	0.47		26290	38.00		1119	1.62		3505	5.07		9	0.01		68	0.10		4076	5.89		18	0.03		32	0.05		69185	94.97		3665	5.03		72850	85.55
ABSENT		123	2.92		130	3.08		87	2.06		9	0.21		3	0.07		5	0.12		163	3.87		1562	37.07		9	0.21		6	0.14		1259	29.88		45	1.07		407	9.66		0	0.00		5	0.12		396	9.40		3	0.07		2	0.05		4214	97.64		102	2.36		4316	5.07
POSTAL		72	1.94		41	1.10		43	1.16		3	0.08		1	0.03		1	0.03		163	4.39		1534	41.29		8	0.22		17	0.46		1547	41.64		33	0.89		143	3.85		1	0.03		4	0.11		102	2.75		0	0.00		2	0.05		3715	98.15		70	1.85		3785	4.44
PRE_POLL		66	1.87		53	1.50		53	1.50		1	0.03		1	0.03		0	0.00		149	4.22		1477	41.83		6	0.17		11	0.31		1218	34.49		33	0.93		249	7.05		1	0.03		3	0.08		208	5.89		1	0.03		1	0.03		3531	98.36		59	1.64		3590	4.22
PROVISIONAL		22	3.78		32	5.50		10	1.72		0	0.00		0	0.00		1	0.17		26	4.47		182	31.27		0	0.00		2	0.34		243	41.75		4	0.69		26	4.47		0	0.00		0	0.00		32	5.50		2	0.34		0	0.00		582	95.25		29	4.75		611	0.72
Division Summary		1636	2.01		1534	1.89		1086	1.34		77	0.09		37	0.05		47	0.06		3268	4.02		31926	39.3		168	0.21		361	0.44		30557	37.62		1234	1.52		4330	5.33		11	0.01		80	0.1		4814	5.93		24	0.03		37	0.05		81227	95.39		3925	4.61		85152	96.6
