Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Wannon (82915)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Pirron Yallock (Wannon)		4	3.08		2	1.54		1	0.77		0	0.00		0	0.00		0	0.00		14	10.77		64	49.23		1	0.77		0	0.00		28	21.54		0	0.00		6	4.62		0	0.00		0	0.00		10	7.69		0	0.00		0	0.00		130	97.74		3	2.26		133	0.17
Pomonal		4	1.83		3	1.38		2	0.92		1	0.46		0	0.00		0	0.00		19	8.72		75	34.40		1	0.46		0	0.00		74	33.94		1	0.46		16	7.34		0	0.00		0	0.00		22	10.09		0	0.00		0	0.00		218	95.61		10	4.39		228	0.28
Port Campbell		9	2.84		10	3.15		10	3.15		1	0.32		0	0.00		0	0.00		9	2.84		174	54.89		1	0.32		0	0.00		65	20.50		4	1.26		14	4.42		0	0.00		0	0.00		20	6.31		0	0.00		0	0.00		317	93.24		23	6.76		340	0.42
Port Fairy		49	2.65		37	2.00		21	1.14		1	0.05		0	0.00		4	0.22		57	3.09		855	46.32		6	0.33		2	0.11		553	29.96		6	0.33		102	5.53		0	0.00		2	0.11		150	8.13		1	0.05		0	0.00		1846	94.72		103	5.28		1949	2.43
Portland Central		75	3.18		43	1.82		32	1.36		3	0.13		2	0.08		2	0.08		85	3.60		1000	42.35		13	0.55		0	0.00		807	34.18		23	0.97		158	6.69		1	0.04		3	0.13		110	4.66		1	0.04		3	0.13		2361	94.93		126	5.07		2487	3.11
Portland North		7	2.14		3	0.92		6	1.83		1	0.31		0	0.00		0	0.00		17	5.20		173	52.91		0	0.00		0	0.00		84	25.69		5	1.53		22	6.73		0	0.00		1	0.31		7	2.14		1	0.31		0	0.00		327	97.32		9	2.68		336	0.42
Portland South		39	2.50		33	2.11		23	1.47		0	0.00		3	0.19		0	0.00		49	3.13		663	42.42		3	0.19		1	0.06		629	40.24		9	0.58		64	4.09		0	0.00		2	0.13		43	2.75		2	0.13		0	0.00		1563	94.38		93	5.62		1656	2.07
Purnim		10	3.70		3	1.11		4	1.48		0	0.00		0	0.00		0	0.00		12	4.44		156	57.78		0	0.00		0	0.00		67	24.81		0	0.00		12	4.44		0	0.00		0	0.00		6	2.22		0	0.00		0	0.00		270	93.43		19	6.57		289	0.36
Scotts Creek		1	0.58		2	1.16		0	0.00		0	0.00		0	0.00		0	0.00		4	2.31		147	84.97		0	0.00		0	0.00		13	7.51		0	0.00		3	1.73		0	0.00		0	0.00		3	1.73		0	0.00		0	0.00		173	97.74		4	2.26		177	0.22
Simpson (Wannon)		16	4.12		2	0.52		3	0.77		0	0.00		0	0.00		0	0.00		18	4.64		311	80.15		2	0.52		0	0.00		26	6.70		0	0.00		3	0.77		0	0.00		2	0.52		5	1.29		0	0.00		0	0.00		388	94.63		22	5.37		410	0.51
Skipton		7	1.61		11	2.53		6	1.38		1	0.23		0	0.00		0	0.00		13	3.00		263	60.60		0	0.00		0	0.00		108	24.88		3	0.69		9	2.07		0	0.00		1	0.23		12	2.76		0	0.00		0	0.00		434	92.34		36	7.66		470	0.59
Smythesdale		12	1.52		18	2.29		10	1.27		0	0.00		0	0.00		0	0.00		31	3.94		298	37.87		0	0.00		0	0.00		332	42.19		2	0.25		43	5.46		0	0.00		2	0.25		39	4.96		0	0.00		0	0.00		787	94.59		45	5.41		832	1.04
Snake Valley		13	2.76		9	1.91		6	1.27		0	0.00		0	0.00		0	0.00		24	5.10		176	37.37		1	0.21		2	0.42		195	41.40		4	0.85		19	4.03		0	0.00		1	0.21		21	4.46		0	0.00		0	0.00		471	93.45		33	6.55		504	0.63
Streatham		1	0.52		2	1.03		3	1.55		1	0.52		0	0.00		0	0.00		8	4.12		147	75.77		1	0.52		0	0.00		24	12.37		2	1.03		3	1.55		0	0.00		0	0.00		2	1.03		0	0.00		0	0.00		194	97.49		5	2.51		199	0.25
Tarrington		5	2.02		4	1.61		7	2.82		0	0.00		0	0.00		1	0.40		18	7.26		154	62.10		0	0.00		0	0.00		32	12.90		7	2.82		9	3.63		0	0.00		0	0.00		11	4.44		0	0.00		0	0.00		248	94.66		14	5.34		262	0.33
Tatyoon		6	4.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.68		107	71.81		0	0.00		0	0.00		25	16.78		0	0.00		5	3.36		0	0.00		0	0.00		2	1.34		0	0.00		0	0.00		149	97.39		4	2.61		153	0.19
Terang		46	3.27		36	2.56		13	0.92		1	0.07		3	0.21		0	0.00		51	3.62		769	54.62		4	0.28		1	0.07		384	27.27		6	0.43		55	3.91		0	0.00		2	0.14		37	2.63		0	0.00		0	0.00		1408	89.68		162	10.32		1570	1.96
Timboon		31	3.14		13	1.32		5	0.51		0	0.00		0	0.00		0	0.00		47	4.76		638	64.57		1	0.10		0	0.00		149	15.08		2	0.20		38	3.85		0	0.00		1	0.10		62	6.28		0	0.00		1	0.10		988	95.74		44	4.26		1032	1.29
Tower Square		27	3.30		22	2.69		5	0.61		1	0.12		1	0.12		0	0.00		26	3.17		413	50.43		1	0.12		1	0.12		261	31.87		4	0.49		28	3.42		0	0.00		1	0.12		28	3.42		0	0.00		0	0.00		819	94.79		45	5.21		864	1.08
Tyrendarra		3	2.04		1	0.68		2	1.36		0	0.00		0	0.00		0	0.00		15	10.20		88	59.86		1	0.68		0	0.00		21	14.29		1	0.68		10	6.80		0	0.00		0	0.00		5	3.40		0	0.00		0	0.00		147	94.23		9	5.77		156	0.19
Wangoom		3	1.38		2	0.92		4	1.83		0	0.00		0	0.00		0	0.00		4	1.83		142	65.14		0	0.00		0	0.00		38	17.43		1	0.46		12	5.50		0	0.00		1	0.46		11	5.05		0	0.00		0	0.00		218	95.61		10	4.39		228	0.28
Warrnambool		107	2.58		72	1.73		48	1.16		5	0.12		2	0.05		4	0.10		122	2.94		2036	49.01		14	0.34		2	0.05		1251	30.12		39	0.94		209	5.03		0	0.00		3	0.07		239	5.75		0	0.00		1	0.02		4154	94.07		262	5.93		4416	5.52
Warrnambool East		67	3.14		43	2.02		21	0.98		1	0.05		2	0.09		2	0.09		53	2.49		971	45.54		5	0.23		1	0.05		698	32.74		14	0.66		100	4.69		0	0.00		2	0.09		151	7.08		1	0.05		0	0.00		2132	94.29		129	5.71		2261	2.82
Warrnambool Hospital		6	1.70		5	1.42		3	0.85		0	0.00		0	0.00		0	0.00		3	0.85		157	44.60		0	0.00		0	0.00		120	34.09		3	0.85		23	6.53		0	0.00		1	0.28		30	8.52		0	0.00		1	0.28		352	94.37		21	5.63		373	0.47
Warrnambool North		38	2.73		36	2.58		11	0.79		0	0.00		0	0.00		0	0.00		35	2.51		645	46.30		5	0.36		2	0.14		446	32.02		9	0.65		83	5.96		0	0.00		0	0.00		80	5.74		3	0.22		0	0.00		1393	95.67		63	4.33		1456	1.82
