Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Corangamite (85955)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Grovedale East		31	2.29		29	2.15		12	0.89		1	0.07		0	0.00		0	0.00		28	2.07		637	47.15		2	0.15		0	0.00		461	34.12		14	1.04		93	6.88		0	0.00		0	0.00		43	3.18		0	0.00		0	0.00		1351	96.09		55	3.91		1406	1.69
Highton		46	1.68		25	0.91		30	1.09		0	0.00		1	0.04		1	0.04		44	1.61		1468	53.56		4	0.15		3	0.11		701	25.57		18	0.66		251	9.16		1	0.04		2	0.07		143	5.22		2	0.07		1	0.04		2741	96.11		111	3.89		2852	3.44
Highton North		78	2.55		32	1.05		41	1.34		1	0.03		2	0.07		3	0.10		53	1.73		1622	52.99		3	0.10		1	0.03		728	23.78		11	0.36		279	9.11		1	0.03		2	0.07		201	6.57		1	0.03		2	0.07		3061	94.89		165	5.11		3226	3.89
Highton South		34	1.42		32	1.34		24	1.00		3	0.13		0	0.00		2	0.08		39	1.63		1111	46.37		3	0.13		0	0.00		736	30.72		29	1.21		270	11.27		0	0.00		0	0.00		111	4.63		0	0.00		2	0.08		2396	95.65		109	4.35		2505	3.02
Inverleigh		14	2.37		6	1.02		1	0.17		1	0.17		1	0.17		1	0.17		23	3.90		297	50.34		0	0.00		0	0.00		176	29.83		2	0.34		33	5.59		0	0.00		0	0.00		35	5.93		0	0.00		0	0.00		590	93.80		39	6.20		629	0.76
Irrewillipe		7	5.15		2	1.47		0	0.00		0	0.00		0	0.00		0	0.00		11	8.09		90	66.18		0	0.00		0	0.00		12	8.82		0	0.00		8	5.88		0	0.00		1	0.74		5	3.68		0	0.00		0	0.00		136	91.28		13	8.72		149	0.18
Lavers Hill		5	2.81		2	1.12		7	3.93		0	0.00		0	0.00		0	0.00		10	5.62		65	36.52		0	0.00		0	0.00		43	24.16		5	2.81		7	3.93		0	0.00		0	0.00		34	19.10		0	0.00		0	0.00		178	94.68		10	5.32		188	0.23
Lethbridge		12	2.88		4	0.96		7	1.68		0	0.00		0	0.00		0	0.00		19	4.57		164	39.42		0	0.00		0	0.00		157	37.74		1	0.24		21	5.05		0	0.00		2	0.48		28	6.73		1	0.24		0	0.00		416	95.19		21	4.81		437	0.53
Lorne		33	4.26		20	2.58		11	1.42		1	0.13		0	0.00		0	0.00		3	0.39		302	38.97		4	0.52		1	0.13		232	29.94		7	0.90		57	7.35		0	0.00		0	0.00		102	13.16		2	0.26		0	0.00		775	94.40		46	5.60		821	0.99
Mandama		53	1.95		62	2.28		26	0.96		1	0.04		1	0.04		2	0.07		51	1.88		1183	43.52		8	0.29		3	0.11		976	35.91		22	0.81		247	9.09		0	0.00		2	0.07		80	2.94		1	0.04		0	0.00		2718	94.84		148	5.16		2866	3.45
