Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															

Flinders (91403)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Rye		69	1.90		77	2.12		43	1.18		8	0.22		3	0.08		4	0.11		102	2.80		1519	41.73		9	0.25		5	0.14		1322	36.32		7	0.19		223	6.13		1	0.03		1	0.03		246	6.76		0	0.00		1	0.03		3640	93.05		272	6.95		3912	4.45
Safety Beach		21	1.58		16	1.20		15	1.13		0	0.00		0	0.00		0	0.00		49	3.68		666	49.96		3	0.23		2	0.15		419	31.43		1	0.08		94	7.05		0	0.00		1	0.08		46	3.45		0	0.00		0	0.00		1333	94.07		84	5.93		1417	1.61
St Andrews Beach		12	2.82		7	1.65		4	0.94		0	0.00		1	0.24		0	0.00		15	3.53		163	38.35		0	0.00		2	0.47		120	28.24		2	0.47		44	10.35		0	0.00		0	0.00		54	12.71		1	0.24		0	0.00		425	94.03		27	5.97		452	0.51
San Remo		16	2.20		10	1.38		9	1.24		2	0.28		0	0.00		1	0.14		11	1.52		361	49.72		3	0.41		0	0.00		199	27.41		0	0.00		42	5.79		0	0.00		1	0.14		71	9.78		0	0.00		0	0.00		726	92.02		63	7.98		789	0.90
Shoreham		8	2.33		5	1.46		4	1.17		0	0.00		0	0.00		0	0.00		1	0.29		148	43.15		2	0.58		1	0.29		86	25.07		2	0.58		25	7.29		0	0.00		1	0.29		60	17.49		0	0.00		0	0.00		343	96.89		11	3.11		354	0.40
Somers		15	1.94		9	1.16		5	0.65		2	0.26		0	0.00		0	0.00		17	2.20		351	45.35		4	0.52		0	0.00		179	23.13		2	0.26		100	12.92		0	0.00		0	0.00		90	11.63		0	0.00		0	0.00		774	97.48		20	2.52		794	0.90
Somerville East		47	1.90		46	1.85		40	1.61		2	0.08		2	0.08		0	0.00		66	2.66		1205	48.59		5	0.20		1	0.04		716	28.87		17	0.69		240	9.68		0	0.00		0	0.00		92	3.71		0	0.00		1	0.04		2480	95.35		121	4.65		2601	2.96
Somerville West		48	1.81		41	1.55		25	0.94		1	0.04		1	0.04		0	0.00		80	3.02		1370	51.78		5	0.19		3	0.11		689	26.04		16	0.60		243	9.18		1	0.04		3	0.11		118	4.46		1	0.04		1	0.04		2646	95.77		117	4.23		2763	3.15
Sorrento		18	1.49		11	0.91		11	0.91		0	0.00		0	0.00		0	0.00		24	1.99		692	57.33		2	0.17		0	0.00		245	20.30		2	0.17		88	7.29		0	0.00		0	0.00		114	9.44		0	0.00		0	0.00		1207	95.26		60	4.74		1267	1.44
Tooradin		19	3.05		15	2.41		7	1.12		0	0.00		0	0.00		0	0.00		28	4.49		330	52.97		1	0.16		1	0.16		165	26.48		3	0.48		23	3.69		0	0.00		2	0.32		29	4.65		0	0.00		0	0.00		623	89.51		73	10.49		696	0.79
Tootgarook		37	2.73		35	2.58		9	0.66		0	0.00		4	0.30		1	0.07		30	2.22		528	39.00		6	0.44		2	0.15		526	38.85		5	0.37		97	7.16		0	0.00		2	0.15		72	5.32		0	0.00		0	0.00		1354	91.80		121	8.20		1475	1.68
Tyabb		31	2.22		18	1.29		13	0.93		0	0.00		0	0.00		0	0.00		50	3.58		713	51.00		1	0.07		0	0.00		383	27.40		13	0.93		123	8.80		0	0.00		0	0.00		52	3.72		1	0.07		0	0.00		1398	95.69		63	4.31		1461	1.66
West Park		14	1.79		38	4.87		4	0.51		2	0.26		2	0.26		0	0.00		24	3.07		234	29.96		1	0.13		0	0.00		372	47.63		10	1.28		36	4.61		0	0.00		3	0.38		40	5.12		1	0.13		0	0.00		781	93.09		58	6.91		839	0.96
Special Hospitals		59	3.45		27	1.58		7	0.41		2	0.12		1	0.06		3	0.18		27	1.58		996	58.28		8	0.47		0	0.00		473	27.68		22	1.29		59	3.45		0	0.00		1	0.06		24	1.40		0	0.00		0	0.00		1709	93.95		110	6.05		1819	2.07
Total Ordinary		1530	2.28		1226	1.82		712	1.06		51	0.08		36	0.05		28	0.04		1940	2.89		32087	47.74		173	0.26		45	0.07		19867	29.56		296	0.44		5016	7.46		8	0.01		42	0.06		4134	6.15		8	0.01		18	0.03		67217	94.43		3965	5.57		71182	81.05
ABSENT		204	4.21		153	3.16		67	1.38		8	0.17		1	0.02		0	0.00		129	2.66		2113	43.63		13	0.27		3	0.06		1304	26.93		21	0.43		450	9.29		1	0.02		6	0.12		366	7.56		3	0.06		1	0.02		4843	96.44		179	3.56		5022	5.72
POSTAL		137	3.47		62	1.57		74	1.88		3	0.08		1	0.03		0	0.00		117	2.97		2061	52.27		6	0.15		0	0.00		1102	27.95		15	0.38		208	5.28		0	0.00		2	0.05		152	3.85		1	0.03		2	0.05		3943	98.26		70	1.74		4013	4.57
PRE_POLL		194	2.93		135	2.04		82	1.24		6	0.09		1	0.02		2	0.03		217	3.28		3136	47.43		11	0.17		6	0.09		2203	33.32		16	0.24		363	5.49		0	0.00		5	0.08		233	3.52		1	0.02		1	0.02		6612	97.42		175	2.58		6787	7.73
PROVISIONAL		26	3.34		32	4.11		5	0.64		1	0.13		1	0.13		1	0.13		20	2.57		330	42.36		3	0.39		0	0.00		233	29.91		4	0.51		58	7.45		0	0.00		2	0.26		63	8.09		0	0.00		0	0.00		779	95.00		41	5.00		820	0.93
Division Summary		2091	2.51		1608	1.93		940	1.13		69	0.08		40	0.05		31	0.04		2423	2.91		39727	47.64		206	0.25		54	0.06		24709	29.63		352	0.42		6095	7.31		9	0.01		57	0.07		4948	5.93		13	0.02		22	0.03		83394	94.96		4430	5.04		87824	96.08
