Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Hotham (89090)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Springvale West		29	1.49		82	4.21		13	0.67		3	0.15		1	0.05		1	0.05		15	0.77		312	16.02		20	1.03		0	0.00		1374	70.53		2	0.10		75	3.85		1	0.05		1	0.05		19	0.98		0	0.00		0	0.00		1948	92.81		151	7.19		2099	2.47
Spring Valley		29	1.82		94	5.90		11	0.69		0	0.00		2	0.13		1	0.06		12	0.75		320	20.09		6	0.38		0	0.00		1035	64.97		6	0.38		50	3.14		0	0.00		1	0.06		25	1.57		1	0.06		0	0.00		1593	91.71		144	8.29		1737	2.04
Valkstone		21	1.86		20	1.77		5	0.44		1	0.09		0	0.00		1	0.09		16	1.42		499	44.24		2	0.18		0	0.00		393	34.84		5	0.44		97	8.60		0	0.00		0	0.00		63	5.59		2	0.18		3	0.27		1128	95.11		58	4.89		1186	1.39
Westall		48	1.68		129	4.52		16	0.56		5	0.18		4	0.14		1	0.04		32	1.12		481	16.85		27	0.95		0	0.00		1911	66.96		7	0.25		133	4.66		1	0.04		2	0.07		56	1.96		1	0.04		0	0.00		2854	91.62		261	8.38		3115	3.66
Special Hospitals		12	4.10		8	2.73		31	10.58		0	0.00		1	0.34		1	0.34		5	1.71		132	45.05		0	0.00		2	0.68		94	32.08		0	0.00		4	1.37		0	0.00		1	0.34		2	0.68		0	0.00		0	0.00		293	93.61		20	6.39		313	0.37
Total Ordinary		1256	1.90		1893	2.86		586	0.88		94	0.14		43	0.06		22	0.03		875	1.32		22494	33.96		303	0.46		26	0.04		30933	46.70		256	0.39		4720	7.13		12	0.02		41	0.06		2628	3.97		21	0.03		29	0.04		66232	92.90		5062	7.10		71294	83.82
ABSENT		185	3.26		243	4.28		45	0.79		7	0.12		1	0.02		3	0.05		99	1.74		1802	31.75		28	0.49		6	0.11		2249	39.63		21	0.37		618	10.89		2	0.04		12	0.21		348	6.13		1	0.02		5	0.09		5675	96.15		227	3.85		5902	6.94
POSTAL		135	3.68		65	1.77		44	1.20		3	0.08		2	0.05		0	0.00		77	2.10		1484	40.49		12	0.33		2	0.05		1525	41.61		6	0.16		216	5.89		0	0.00		2	0.05		85	2.32		3	0.08		4	0.11		3665	97.73		85	2.27		3750	4.41
PRE_POLL		85	2.63		81	2.51		31	0.96		3	0.09		0	0.00		1	0.03		65	2.01		1178	36.48		26	0.81		6	0.19		1390	43.05		9	0.28		214	6.63		0	0.00		1	0.03		131	4.06		6	0.19		2	0.06		3229	97.11		96	2.89		3325	3.91
PROVISIONAL		25	3.42		37	5.06		4	0.55		0	0.00		1	0.14		1	0.14		10	1.37		175	23.94		6	0.82		0	0.00		399	54.58		2	0.27		35	4.79		1	0.14		2	0.27		33	4.51		0	0.00		0	0.00		731	93.12		54	6.88		785	0.92
Division Summary		1686	2.12		2319	2.92		710	0.89		107	0.13		47	0.06		27	0.03		1126	1.42		27133	34.12		375	0.47		40	0.05		36496	45.89		294	0.37		5803	7.30		15	0.02		58	0.07		3225	4.05		31	0.04		40	0.05		79532	93.51		5524	6.49		85056	95.47
