Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Casey (85278)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Seville		36	2.29		24	1.53		23	1.46		4	0.25		0	0.00		3	0.19		51	3.24		766	48.70		4	0.25		1	0.06		425	27.02		14	0.89		99	6.29		1	0.06		7	0.45		114	7.25		0	0.00		1	0.06		1573	94.70		88	5.30		1661	2.03
Silvan		19	2.73		10	1.44		2	0.29		1	0.14		0	0.00		0	0.00		25	3.60		363	52.23		1	0.14		0	0.00		172	24.75		13	1.87		41	5.90		0	0.00		0	0.00		48	6.91		0	0.00		0	0.00		695	91.09		68	8.91		763	0.93
The Patch		4	0.76		9	1.71		3	0.57		1	0.19		0	0.00		0	0.00		9	1.71		211	40.19		0	0.00		0	0.00		127	24.19		1	0.19		55	10.48		0	0.00		1	0.19		104	19.81		0	0.00		0	0.00		525	96.86		17	3.14		542	0.66
Wandin Yallock		40	2.54		22	1.40		13	0.83		3	0.19		1	0.06		0	0.00		59	3.75		825	52.38		9	0.57		1	0.06		384	24.38		24	1.52		115	7.30		0	0.00		1	0.06		78	4.95		0	0.00		0	0.00		1575	92.76		123	7.24		1698	2.07
Yarra Road		11	0.83		14	1.05		21	1.58		0	0.00		0	0.00		3	0.23		13	0.98		791	59.47		0	0.00		0	0.00		312	23.46		16	1.20		79	5.94		0	0.00		4	0.30		66	4.96		0	0.00		0	0.00		1330	95.89		57	4.11		1387	1.69
Special Hospitals		94	10.41		18	1.99		1	0.11		2	0.22		0	0.00		0	0.00		14	1.55		497	55.04		3	0.33		1	0.11		216	23.92		3	0.33		29	3.21		0	0.00		4	0.44		20	2.21		1	0.11		0	0.00		903	91.40		85	8.60		988	1.21
Total Ordinary		1344	2.04		1099	1.67		687	1.04		42	0.06		24	0.04		62	0.09		1436	2.18		30994	46.98		168	0.25		18	0.03		19269	29.21		791	1.20		5880	8.91		16	0.02		113	0.17		3987	6.04		21	0.03		15	0.02		65966	95.11		3393	4.89		69359	84.60
ABSENT		174	3.31		137	2.61		87	1.65		2	0.04		4	0.08		5	0.10		118	2.24		2168	41.24		21	0.40		1	0.02		1487	28.29		64	1.22		574	10.92		1	0.02		13	0.25		397	7.55		3	0.06		1	0.02		5257	97.32		145	2.68		5402	6.59
POSTAL		114	3.77		49	1.62		32	1.06		2	0.07		3	0.10		2	0.07		79	2.61		1629	53.90		3	0.10		0	0.00		738	24.42		36	1.19		203	6.72		0	0.00		7	0.23		121	4.00		1	0.03		3	0.10		3022	98.05		60	1.95		3082	3.76
PRE_POLL		95	2.75		54	1.56		39	1.13		2	0.06		5	0.14		4	0.12		92	2.66		1698	49.12		7	0.20		5	0.14		946	27.36		54	1.56		282	8.16		1	0.03		7	0.20		165	4.77		1	0.03		0	0.00		3457	97.79		78	2.21		3535	4.31
PROVISIONAL		21	3.63		28	4.84		6	1.04		0	0.00		1	0.17		0	0.00		8	1.38		257	44.39		2	0.35		1	0.17		165	28.50		5	0.86		51	8.81		0	0.00		1	0.17		32	5.53		1	0.17		0	0.00		579	95.07		30	4.93		609	0.74
Division Summary		1748	2.23		1367	1.75		851	1.09		48	0.06		37	0.05		73	0.09		1733	2.21		36746	46.94		201	0.26		25	0.03		22605	28.88		950	1.21		6990	8.93		18	0.02		141	0.18		4702	6.01		27	0.03		19	0.02		78281	95.48		3706	4.52		81987	96.14
