Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Wills (88553)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Pascoe Vale		69	1.87		76	2.06		107	2.91		2	0.05		3	0.08		2	0.05		52	1.41		1067	28.99		6	0.16		3	0.08		1816	49.33		10	0.27		356	9.67		0	0.00		1	0.03		109	2.96		2	0.05		0	0.00		3681	91.89		325	8.11		4006	4.79
Pascoe Vale Central		12	1.50		18	2.26		34	4.26		1	0.13		0	0.00		0	0.00		11	1.38		219	27.44		4	0.50		1	0.13		406	50.88		1	0.13		51	6.39		0	0.00		1	0.13		37	4.64		2	0.25		0	0.00		798	93.77		53	6.23		851	1.02
Pascoe Vale North		51	2.36		84	3.89		94	4.35		0	0.00		2	0.09		1	0.05		24	1.11		552	25.54		3	0.14		5	0.23		1129	52.24		7	0.32		119	5.51		0	0.00		1	0.05		86	3.98		3	0.14		0	0.00		2161	89.04		266	10.96		2427	2.90
Pascoe Vale South		77	2.64		60	2.05		119	4.07		0	0.00		2	0.07		1	0.03		50	1.71		861	29.48		12	0.41		0	0.00		1289	44.13		7	0.24		271	9.28		1	0.03		2	0.07		162	5.55		5	0.17		2	0.07		2921	93.11		216	6.89		3137	3.75
Pascoe Vale West		31	2.13		37	2.55		35	2.41		0	0.00		0	0.00		0	0.00		37	2.55		465	32.02		2	0.14		1	0.07		704	48.48		7	0.48		76	5.23		1	0.07		0	0.00		53	3.65		3	0.21		0	0.00		1452	92.07		125	7.93		1577	1.89
Strathmore		22	0.84		40	1.53		69	2.65		2	0.08		0	0.00		2	0.08		36	1.38		1217	46.66		10	0.38		0	0.00		793	30.41		8	0.31		263	10.08		0	0.00		0	0.00		145	5.56		1	0.04		0	0.00		2608	94.15		162	5.85		2770	3.31
Strathmore North		37	1.86		31	1.56		117	5.89		2	0.10		0	0.00		1	0.05		29	1.46		776	39.05		12	0.60		2	0.10		790	39.76		1	0.05		124	6.24		0	0.00		2	0.10		63	3.17		0	0.00		0	0.00		1987	93.37		141	6.63		2128	2.55
Strathmore South		11	1.39		16	2.02		25	3.16		0	0.00		0	0.00		0	0.00		5	0.63		367	46.34		0	0.00		0	0.00		246	31.06		3	0.38		74	9.34		0	0.00		0	0.00		45	5.68		0	0.00		0	0.00		792	94.85		43	5.15		835	1.00
Special Hospitals		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	6.67		7	46.67		0	0.00		0	0.00		6	40.00		0	0.00		1	6.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	100.00		0	0.00		15	0.02
Total Ordinary		1314	2.05		1878	2.93		2205	3.45		78	0.12		33	0.05		40	0.06		825	1.29		16331	25.52		231	0.36		45	0.07		31639	49.43		202	0.32		4607	7.20		13	0.02		42	0.07		4401	6.88		103	0.16		18	0.03		64005	90.99		6340	9.01		70345	84.16
ABSENT		131	2.27		193	3.35		195	3.38		6	0.10		2	0.03		0	0.00		71	1.23		1514	26.28		19	0.33		4	0.07		2367	41.08		25	0.43		609	10.57		2	0.03		6	0.10		602	10.45		14	0.24		2	0.03		5762	96.31		221	3.69		5983	7.16
POSTAL		136	5.28		60	2.33		111	4.31		0	0.00		1	0.04		1	0.04		54	2.10		785	30.47		4	0.16		3	0.12		1151	44.68		7	0.27		166	6.44		0	0.00		1	0.04		93	3.61		2	0.08		1	0.04		2576	97.76		59	2.24		2635	3.15
PRE_POLL		101	2.81		82	2.29		129	3.60		3	0.08		3	0.08		0	0.00		48	1.34		1090	30.38		7	0.20		6	0.17		1573	43.84		18	0.50		269	7.50		1	0.03		2	0.06		239	6.66		15	0.42		2	0.06		3588	96.53		129	3.47		3717	4.45
PROVISIONAL		31	3.77		52	6.32		21	2.55		2	0.24		1	0.12		1	0.12		9	1.09		168	20.41		5	0.61		1	0.12		400	48.60		2	0.24		73	8.87		1	0.12		2	0.24		53	6.44		1	0.12		0	0.00		823	90.94		82	9.06		905	1.08
Division Summary		1713	2.23		2265	2.95		2661	3.47		89	0.12		40	0.05		42	0.05		1007	1.31		19888	25.91		266	0.35		59	0.08		37130	48.38		254	0.33		5724	7.46		17	0.02		53	0.07		5388	7.02		135	0.18		23	0.03		76754	91.83		6831	8.17		83585	94.39
