Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Murray (85651)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Kyabram West		31	2.13		22	1.51		16	1.10		0	0.00		0	0.00		2	0.14		81	5.56		923	63.39		5	0.34		0	0.00		277	19.02		17	1.17		41	2.82		1	0.07		3	0.21		37	2.54		0	0.00		0	0.00		1456	93.75		97	6.25		1553	1.88
Ky Valley		12	4.58		3	1.15		1	0.38		0	0.00		0	0.00		0	0.00		16	6.11		200	76.34		0	0.00		0	0.00		13	4.96		2	0.76		11	4.20		0	0.00		0	0.00		4	1.53		0	0.00		0	0.00		262	93.24		19	6.76		281	0.34
Lake Charm		6	2.34		2	0.78		4	1.56		0	0.00		0	0.00		0	0.00		27	10.55		158	61.72		0	0.00		2	0.78		46	17.97		0	0.00		4	1.56		0	0.00		1	0.39		6	2.34		0	0.00		0	0.00		256	96.97		8	3.03		264	0.32
Lalbert		4	3.17		1	0.79		0	0.00		0	0.00		0	0.00		0	0.00		7	5.56		99	78.57		0	0.00		0	0.00		11	8.73		1	0.79		2	1.59		0	0.00		0	0.00		1	0.79		0	0.00		0	0.00		126	99.21		1	0.79		127	0.15
Lancaster		6	1.92		6	1.92		3	0.96		0	0.00		0	0.00		0	0.00		21	6.73		229	73.40		1	0.32		0	0.00		33	10.58		3	0.96		5	1.60		0	0.00		0	0.00		5	1.60		0	0.00		0	0.00		312	93.69		21	6.31		333	0.40
Leitchville		15	3.14		6	1.26		5	1.05		0	0.00		0	0.00		1	0.21		33	6.92		350	73.38		2	0.42		0	0.00		49	10.27		1	0.21		8	1.68		0	0.00		1	0.21		5	1.05		1	0.21		0	0.00		477	91.91		42	8.09		519	0.63
Lemnos		10	2.74		5	1.37		6	1.64		1	0.27		0	0.00		0	0.00		10	2.74		253	69.32		3	0.82		0	0.00		53	14.52		2	0.55		14	3.84		0	0.00		0	0.00		8	2.19		0	0.00		0	0.00		365	91.25		35	8.75		400	0.48
Lockington		18	3.12		7	1.21		4	0.69		1	0.17		0	0.00		2	0.35		34	5.89		389	67.42		0	0.00		0	0.00		90	15.60		5	0.87		16	2.77		1	0.17		1	0.17		9	1.56		0	0.00		0	0.00		577	93.67		39	6.33		616	0.75
Macorna		2	1.72		2	1.72		1	0.86		0	0.00		0	0.00		0	0.00		3	2.59		98	84.48		0	0.00		0	0.00		7	6.03		0	0.00		3	2.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		116	97.48		3	2.52		119	0.14
Melbourne (Murray)		4	5.56		1	1.39		1	1.39		0	0.00		0	0.00		0	0.00		2	2.78		35	48.61		0	0.00		0	0.00		9	12.50		2	2.78		9	12.50		0	0.00		0	0.00		9	12.50		0	0.00		0	0.00		72	100.00		0	0.00		72	0.09
Merrigum		14	3.07		12	2.63		13	2.85		1	0.22		0	0.00		0	0.00		20	4.39		272	59.65		1	0.22		0	0.00		91	19.96		2	0.44		17	3.73		0	0.00		0	0.00		12	2.63		0	0.00		1	0.22		456	92.68		36	7.32		492	0.60
Mitiamo		2	1.94		3	2.91		2	1.94		0	0.00		0	0.00		0	0.00		4	3.88		67	65.05		1	0.97		0	0.00		20	19.42		0	0.00		4	3.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		103	88.79		13	11.21		116	0.14
Mooroopna		41	2.86		27	1.89		21	1.47		2	0.14		1	0.07		2	0.14		61	4.26		704	49.16		6	0.42		1	0.07		465	32.47		3	0.21		75	5.24		0	0.00		2	0.14		21	1.47		0	0.00		0	0.00		1432	94.65		81	5.35		1513	1.83
Mooroopna Park		72	2.79		74	2.86		27	1.05		4	0.15		4	0.15		0	0.00		104	4.03		1313	50.83		8	0.31		2	0.08		754	29.19		9	0.35		115	4.45		0	0.00		3	0.12		92	3.56		2	0.08		0	0.00		2583	93.35		184	6.65		2767	3.35
Murchison		13	2.37		9	1.64		5	0.91		1	0.18		0	0.00		0	0.00		21	3.83		299	54.56		1	0.18		0	0.00		150	27.37		1	0.18		25	4.56		0	0.00		2	0.36		20	3.65		1	0.18		0	0.00		548	93.20		40	6.80		588	0.71
Murrabit		10	3.13		3	0.94		3	0.94		0	0.00		0	0.00		0	0.00		26	8.15		238	74.61		3	0.94		0	0.00		25	7.84		0	0.00		8	2.51		0	0.00		0	0.00		3	0.94		0	0.00		0	0.00		319	97.85		7	2.15		326	0.39
Nanneella		7	2.62		3	1.12		4	1.50		0	0.00		0	0.00		0	0.00		17	6.37		200	74.91		0	0.00		0	0.00		24	8.99		0	0.00		7	2.62		0	0.00		0	0.00		5	1.87		0	0.00		0	0.00		267	95.36		13	4.64		280	0.34
