Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
 By Polling Place																																																															

Gippsland (83845)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Johnsonville		5	0.92		6	1.11		7	1.29		1	0.18		0	0.00		0	0.00		55	10.17		289	53.42		1	0.18		0	0.00		121	22.37		1	0.18		38	7.02		1	0.18		0	0.00		16	2.96		0	0.00		0	0.00		541	96.95		17	3.05		558	0.67
Kilmany		3	2.52		1	0.84		3	2.52		0	0.00		0	0.00		0	0.00		10	8.40		81	68.07		0	0.00		0	0.00		11	9.24		0	0.00		7	5.88		0	0.00		0	0.00		3	2.52		0	0.00		0	0.00		119	98.35		2	1.65		121	0.14
Kongwak		2	0.90		2	0.90		3	1.36		0	0.00		0	0.00		0	0.00		10	4.52		133	60.18		2	0.90		0	0.00		46	20.81		1	0.45		8	3.62		0	0.00		0	0.00		14	6.33		0	0.00		0	0.00		221	95.67		10	4.33		231	0.28
Koonwarra		11	3.87		1	0.35		5	1.76		0	0.00		0	0.00		2	0.70		11	3.87		166	58.45		0	0.00		0	0.00		31	10.92		2	0.70		17	5.99		0	0.00		0	0.00		37	13.03		1	0.35		0	0.00		284	95.95		12	4.05		296	0.36
Korumburra		69	2.96		54	2.32		34	1.46		2	0.09		1	0.04		1	0.04		116	4.98		1132	48.60		6	0.26		2	0.09		630	27.05		12	0.52		144	6.18		0	0.00		2	0.09		122	5.24		2	0.09		0	0.00		2329	94.25		142	5.75		2471	2.95
Lakes Entrance		107	3.21		45	1.35		48	1.44		7	0.21		2	0.06		2	0.06		220	6.61		1651	49.58		10	0.30		1	0.03		951	28.56		12	0.36		177	5.32		2	0.06		3	0.09		91	2.73		1	0.03		0	0.00		3330	94.58		191	5.42		3521	4.20
Leongatha		67	2.10		45	1.41		27	0.85		3	0.09		1	0.03		3	0.09		127	3.98		1819	57.04		15	0.47		5	0.16		670	21.01		21	0.66		180	5.64		0	0.00		2	0.06		203	6.37		1	0.03		0	0.00		3189	95.56		148	4.44		3421	4.14
Leongatha South		9	3.53		2	0.78		9	3.53		0	0.00		0	0.00		1	0.39		14	5.49		148	58.04		0	0.00		0	0.00		30	11.76		4	1.57		10	3.92		0	0.00		0	0.00		27	10.59		1	0.39		0	0.00		255	98.46		4	1.54		175	0.32
Lindenow		22	2.96		8	1.08		19	2.55		1	0.13		1	0.13		2	0.27		65	8.74		425	57.12		3	0.40		0	0.00		134	18.01		7	0.94		35	4.70		0	0.00		1	0.13		19	2.55		0	0.00		2	0.27		744	96.37		28	3.63		772	0.92
Loch		6	2.36		3	1.18		10	3.94		1	0.39		0	0.00		0	0.00		14	5.51		151	59.45		1	0.39		0	0.00		38	14.96		1	0.39		6	2.36		0	0.00		0	0.00		22	8.66		1	0.39		0	0.00		254	92.70		20	7.30		274	0.33
