Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Aston (90211)																																																															

		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Wantirna High		63	1.97		47	1.47		20	0.62		3	0.09		1	0.03		1	0.03		60	1.87		1573	49.11		15	0.47		2	0.06		997	31.13		24	0.75		294	9.18		1	0.03		4	0.12		98	3.06		0	0.00		0	0.00		3203	96.45		118	3.55		3321	3.79
Wantirna South		37	1.58		47	2.00		10	0.43		2	0.09		1	0.04		0	0.00		34	1.45		1140	48.55		12	0.51		0	0.00		778	33.13		14	0.60		224	9.54		0	0.00		4	0.17		44	1.87		1	0.04		0	0.00		2348	95.84		102	4.16		2450	2.80
Weeden Heights		62	2.52		34	1.38		17	0.69		1	0.04		2	0.08		0	0.00		22	0.89		1213	49.25		8	0.32		2	0.08		763	30.98		26	1.06		210	8.53		2	0.08		3	0.12		97	3.94		0	0.00		1	0.04		2463	94.99		130	5.01		2593	2.96
Special Hospitals		14	5.58		3	1.20		1	0.40		0	0.00		0	0.00		0	0.00		2	0.80		147	58.57		1	0.40		0	0.00		70	27.89		4	1.59		6	2.39		0	0.00		0	0.00		3	1.20		0	0.00		0	0.00		251	98.43		4	1.57		255	0.29
Total Ordinary		1208	1.70		1363	1.92		566	0.80		78	0.11		28	0.04		41	0.06		1115	1.57		33302	46.82		235	0.33		40	0.06		23854	33.54		544	0.76		6216	8.74		13	0.02		70	0.10		2423	3.41		12	0.02		16	0.02		71124	94.90		3824	5.10		74948	85.58
ABSENT		108	2.52		132	3.08		45	1.05		3	0.07		3	0.07		2	0.05		66	1.54		1886	44.00		21	0.49		3	0.07		1257	29.33		42	0.98		457	10.66		0	0.00		8	0.19		251	5.86		2	0.05		0	0.00		4286	96.95		135	3.05		4421	5.05
POSTAL		118	2.45		51	1.06		61	1.27		3	0.06		2	0.04		2	0.04		86	1.79		2556	53.14		22	0.46		2	0.04		1473	30.62		49	1.02		301	6.26		2	0.04		5	0.10		75	1.56		0	0.00		2	0.04		4810	98.40		78	1.60		4888	5.58
PRE_POLL		50	1.70		54	1.83		28	0.95		4	0.14		0	0.00		1	0.03		69	2.34		1412	47.95		17	0.58		3	0.10		911	30.93		32	1.09		264	8.96		1	0.03		3	0.10		95	3.23		0	0.00		1	0.03		2945	98.04		59	1.96		3004	3.43
PROVISIONAL		9	2.96		17	5.59		2	0.66		2	0.66		0	0.00		0	0.00		4	1.32		132	43.42		1	0.33		0	0.00		99	32.57		2	0.66		21	6.91		0	0.00		0	0.00		14	4.61		0	0.00		1	0.33		304	96.20		12	3.80		316	0.36
Division Summary		1493	1.79		1617	1.94		702	0.84		90	0.11		33	0.04		46	0.06		1340	1.61		39288	47.07		296	0.35		48	0.06		27594	33.06		669	0.8		7259	8.7		16	0.02		86	0.1		2858	3.42		14	0.02		20	0.02		83469	95.31		4108	4.69		87577	97.08
