Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Burke (88943)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Sunbury West		84	1.74		98	2.03		51	1.06		3	0.06		1	0.02		3	0.06		100	2.07		1950	40.45		10	0.21		5	0.10		1825	37.86		30	0.62		426	8.84		1	0.02		2	0.04		232	4.81		0	0.00		0	0.00		4821	94.59		276	5.41		5097	5.97
Toolern		5	1.46		9	2.63		2	0.58		1	0.29		0	0.00		0	0.00		8	2.34		183	53.51		0	0.00		0	0.00		84	24.56		2	0.58		26	7.60		0	0.00		1	0.29		21	6.14		0	0.00		0	0.00		342	95.80		15	4.20		357	0.42
Trentham		19	2.95		19	2.95		7	1.09		0	0.00		0	0.00		1	0.16		30	4.65		246	38.14		3	0.47		1	0.16		194	30.08		4	0.62		29	4.50		0	0.00		1	0.16		91	14.11		0	0.00		0	0.00		645	92.54		52	7.46		697	0.82
Tylden		6	1.55		5	1.30		8	2.07		0	0.00		0	0.00		1	0.26		18	4.66		179	46.37		1	0.26		0	0.00		98	25.39		1	0.26		14	3.63		0	0.00		0	0.00		54	13.99		0	0.00		1	0.26		386	94.84		21	5.16		407	0.48
Wedge Park		38	2.22		37	2.16		21	1.23		3	0.18		0	0.00		0	0.00		32	1.87		602	35.14		7	0.41		1	0.06		772	45.07		8	0.47		122	7.12		4	0.23		1	0.06		65	3.79		0	0.00		0	0.00		1713	94.85		93	5.15		1806	2.11
Westmelton		60	2.06		75	2.57		34	1.17		1	0.03		4	0.14		2	0.07		71	2.43		926	31.74		11	0.38		0	0.00		1422	48.75		20	0.69		198	6.79		5	0.17		1	0.03		85	2.91		0	0.00		2	0.07		2917	93.05		218	6.95		3135	3.67
Woodend		51	1.79		45	1.58		52	1.83		0	0.00		0	0.00		1	0.04		71	2.50		940	33.05		6	0.21		3	0.11		1089	38.29		13	0.46		249	8.76		2	0.07		3	0.11		318	11.18		1	0.04		0	0.00		2844	94.33		171	5.67		3015	3.53
Special Hospitals		1	4.17		1	4.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	41.67		0	0.00		0	0.00		11	45.83		0	0.00		0	0.00		0	0.00		0	0.00		1	4.17		0	0.00		0	0.00		24	100.00		0	0.00		24	0.03
Total Ordinary		1292	1.89		1627	2.39		877	1.29		47	0.07		35	0.05		32	0.05		1657	2.43		24217	35.50		158	0.23		47	0.07		29129	42.71		393	0.58		4932	7.23		37	0.05		51	0.07		3621	5.31		35	0.05		22	0.03		68209	93.52		4730	6.48		72939	85.36
ABSENT		146	2.67		202	3.70		84	1.54		7	0.13		6	0.11		3	0.05		153	2.80		1784	32.68		21	0.38		215	3.94		1950	35.72		68	1.25		453	8.30		1	0.02		35	0.64		325	5.95		4	0.07		2	0.04		5459	96.06		224	3.94		5683	6.65
POSTAL		103	3.73		60	2.17		49	1.77		2	0.07		0	0.00		0	0.00		89	3.22		1155	41.79		7	0.25		1	0.04		1029	37.23		17	0.62		179	6.48		3	0.11		3	0.11		63	2.28		2	0.07		2	0.07		2764	98.75		35	1.25		2799	3.28
PRE_POLL		105	3.14		90	2.69		47	1.40		5	0.15		2	0.06		1	0.03		117	3.50		1321	39.47		10	0.30		9	0.27		1231	36.78		13	0.39		258	7.71		0	0.00		2	0.06		135	4.03		0	0.00		1	0.03		3347	98.01		68	1.99		3415	4.00
PROVISIONAL		21	3.66		26	4.53		5	0.87		0	0.00		0	0.00		1	0.17		14	2.44		180	31.36		2	0.35		0	0.00		251	43.73		2	0.35		37	6.45		0	0.00		1	0.17		34	5.92		0	0.00		0	0.00		574	94.41		34	5.59		608	0.71
Division Summary		1667	2.07		2005	2.50		1062	1.32		61	0.08		43	0.05		37	0.05		2030	2.53		28657	35.66		198	0.25		272	0.34		33590	41.80		493	0.61		5859	7.29		41	0.05		92	0.11		4178	5.20		41	0.05		27	0.03		80353	94.04		5091	5.96		85444	96.07
