Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Mallee (81774)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Koorlong		34	9.07		4	1.07		6	1.60		0	0.00		0	0.00		1	0.27		48	12.80		200	53.33		0	0.00		0	0.00		60	16.00		3	0.80		6	1.60		0	0.00		0	0.00		13	3.47		0	0.00		0	0.00		375	96.65		13	3.35		388	0.49
Laharum		22	12.72		1	0.58		1	0.58		0	0.00		0	0.00		0	0.00		20	11.56		65	37.57		1	0.58		0	0.00		27	15.61		2	1.16		11	6.36		0	0.00		0	0.00		22	12.72		0	0.00		1	0.58		173	97.74		4	2.26		177	0.22
Lake Boga		66	8.96		17	2.31		9	1.22		0	0.00		0	0.00		2	0.27		65	8.82		378	51.29		3	0.41		0	0.00		153	20.76		1	0.14		22	2.99		0	0.00		0	0.00		21	2.85		0	0.00		0	0.00		737	96.47		27	3.53		764	0.97
Litchfield		2	2.50		0	0.00		1	1.25		0	0.00		0	0.00		0	0.00		7	8.75		64	80.00		0	0.00		0	0.00		6	7.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		80	96.39		3	3.61		83	0.11
Manangatang		27	8.68		4	1.29		2	0.64		0	0.00		0	0.00		0	0.00		25	8.04		211	67.85		0	0.00		0	0.00		27	8.68		1	0.32		8	2.57		0	0.00		0	0.00		6	1.93		0	0.00		0	0.00		311	95.40		15	4.60		326	0.41
Melbourne (Mallee)		1	1.61		3	4.84		1	1.61		0	0.00		0	0.00		0	0.00		2	3.23		33	53.23		1	1.61		0	0.00		12	19.35		0	0.00		4	6.45		0	0.00		0	0.00		5	8.06		0	0.00		0	0.00		62	100.00		0	0.00		62	0.08
Merbein		152	8.96		52	3.06		20	1.18		1	0.06		0	0.00		0	0.00		180	10.61		714	42.07		6	0.35		4	0.24		461	27.17		7	0.41		52	3.06		0	0.00		3	0.18		45	2.65		0	0.00		0	0.00		1697	93.55		117	6.45		1814	2.30
Merbein South		37	15.16		6	2.46		6	2.46		0	0.00		0	0.00		0	0.00		39	15.98		106	43.44		2	0.82		0	0.00		34	13.93		2	0.82		6	2.46		0	0.00		1	0.41		5	2.05		0	0.00		0	0.00		244	96.44		9	3.56		253	0.32
Merbein West		35	10.80		9	2.78		8	2.47		1	0.31		0	0.00		1	0.31		32	9.88		164	50.62		1	0.31		0	0.00		53	16.36		6	1.85		11	3.40		0	0.00		0	0.00		3	0.93		0	0.00		0	0.00		324	97.01		10	2.99		334	0.42
Meringur		9	16.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	8.93		32	57.14		1	1.79		0	0.00		5	8.93		1	1.79		1	1.79		1	1.79		0	0.00		1	1.79		0	0.00		0	0.00		56	96.55		2	3.45		58	0.07
