Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

McEwen (89021)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Kinglake West		10	1.26		13	1.64		18	2.28		0	0.00		1	0.13		0	0.00		16	2.02		298	37.67		0	0.00		0	0.00		314	39.70		10	1.26		51	6.45		0	0.00		1	0.13		58	7.33		0	0.00		1	0.13		791	93.94		51	6.06		842	0.98
Launching Place		28	2.76		19	1.87		18	1.78		0	0.00		0	0.00		0	0.00		35	3.45		403	39.74		2	0.20		1	0.10		347	34.22		20	1.97		65	6.41		0	0.00		3	0.30		73	7.20		0	0.00		0	0.00		1014	94.59		58	5.41		1072	1.24
Longwood		2	1.09		0	0.00		5	2.73		1	0.55		0	0.00		0	0.00		12	6.56		97	53.01		0	0.00		0	0.00		46	25.14		0	0.00		12	6.56		0	0.00		0	0.00		8	4.37		0	0.00		0	0.00		183	95.81		8	4.19		191	0.22
Mansfield		29	1.24		41	1.75		23	0.98		1	0.04		2	0.09		0	0.00		87	3.72		1275	54.53		6	0.26		0	0.00		571	24.42		9	0.38		143	6.12		0	0.00		3	0.13		143	6.12		1	0.04		4	0.17		2338	92.74		183	7.26		2521	2.93
Marysville		14	3.81		9	2.45		5	1.36		0	0.00		0	0.00		0	0.00		5	1.36		174	47.41		0	0.00		0	0.00		108	29.43		4	1.09		21	5.72		0	0.00		0	0.00		27	7.36		0	0.00		0	0.00		367	94.59		21	5.41		388	0.45
Melbourne (McEwen)		2	2.56		4	5.13		1	1.28		0	0.00		0	0.00		0	0.00		0	0.00		29	37.18		2	2.56		0	0.00		19	24.36		0	0.00		9	11.54		0	0.00		0	0.00		12	15.38		0	0.00		0	0.00		78	97.50		2	2.50		80	0.09
Mernda		6	1.05		8	1.40		5	0.88		2	0.35		0	0.00		1	0.18		18	3.16		272	47.72		0	0.00		0	0.00		207	36.32		1	0.18		32	5.61		0	0.00		1	0.18		17	2.98		0	0.00		0	0.00		570	93.60		39	6.40		609	0.71
Merrijig		5	2.23		2	0.89		1	0.45		0	0.00		0	0.00		1	0.45		7	3.13		110	49.11		2	0.89		0	0.00		61	27.23		0	0.00		20	8.93		0	0.00		0	0.00		15	6.70		0	0.00		0	0.00		224	96.97		7	3.03		231	0.27
Merton		3	2.63		1	0.88		0	0.00		0	0.00		0	0.00		0	0.00		2	1.75		80	70.18		1	0.88		0	0.00		18	15.79		1	0.88		6	5.26		0	0.00		0	0.00		2	1.75		0	0.00		0	0.00		114	98.28		2	1.72		116	0.13
Mickleham		12	2.26		8	1.50		5	0.94		0	0.00		0	0.00		0	0.00		21	3.95		282	53.01		0	0.00		0	0.00		146	27.44		2	0.38		28	5.26		0	0.00		2	0.38		25	4.70		0	0.00		1	0.19		532	91.41		50	8.59		582	0.68
Millgrove		19	2.66		20	2.80		6	0.84		0	0.00		1	0.14		0	0.00		21	2.94		228	31.93		2	0.28		0	0.00		311	43.56		14	1.96		40	5.60		0	0.00		1	0.14		49	6.86		1	0.14		1	0.14		714	94.20		44	5.80		758	0.88
Mill Park Lakes		5	1.38		7	1.93		5	1.38		0	0.00		0	0.00		0	0.00		7	1.93		124	34.25		1	0.28		0	0.00		186	51.38		2	0.55		17	4.70		0	0.00		0	0.00		8	2.21		0	0.00		0	0.00		362	94.52		21	5.48		383	0.44
Molesworth		3	3.03		1	1.01		0	0.00		0	0.00		0	0.00		0	0.00		2	2.02		58	58.59		1	1.01		0	0.00		25	25.25		0	0.00		6	6.06		0	0.00		0	0.00		3	3.03		0	0.00		0	0.00		99	97.06		3	2.94		102	0.12
Mount Buller		2	9.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	54.55		0	0.00		0	0.00		5	22.73		0	0.00		3	13.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	100.00		0	0.00		22	0.03
Nagambie		17	1.40		17	1.40		11	0.90		0	0.00		0	0.00		1	0.08		61	5.01		621	50.99		7	0.57		3	0.25		400	32.84		3	0.25		38	3.12		0	0.00		1	0.08		37	3.04		1	0.08		0	0.00		1218	91.03		120	8.97		1338	1.55
Narbethong		4	3.23		6	4.84		0	0.00		0	0.00		0	0.00		0	0.00		6	4.84		60	48.39		1	0.81		0	0.00		36	29.03		0	0.00		3	2.42		0	0.00		0	0.00		7	5.65		1	0.81		0	0.00		124	90.51		13	9.49		137	0.16
Panton Hill		16	2.34		9	1.32		10	1.46		0	0.00		0	0.00		0	0.00		11	1.61		264	38.60		2	0.29		0	0.00		188	27.49		1	0.15		48	7.02		0	0.00		0	0.00		134	19.59		1	0.15		0	0.00		684	94.87		37	5.13		721	0.84
Piries-Goughs Bay		3	3.70		4	4.94		0	0.00		0	0.00		0	0.00		0	0.00		2	2.47		39	48.15		0	0.00		0	0.00		28	34.57		0	0.00		5	6.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		81	88.04		11	11.96		92	0.11
Powelltown		2	1.96		5	4.90		2	1.96		0	0.00		0	0.00		0	0.00		4	3.92		39	38.24		0	0.00		0	0.00		38	37.25		0	0.00		3	2.94		0	0.00		2	1.96		7	6.86		0	0.00		0	0.00		102	98.08		2	1.92		104	0.12
Puckapunyal		8	1.78		4	0.89		3	0.67		1	0.22		0	0.00		0	0.00		19	4.22		272	60.44		1	0.22		0	0.00		108	24.00		1	0.22		18	4.00		0	0.00		0	0.00		13	2.89		0	0.00		2	0.44		450	98.04		9	1.96		459	0.53
Pyalong		6	1.80		4	1.20		4	1.20		0	0.00		0	0.00		0	0.00		23	6.91		170	51.05		2	0.60		1	0.30		93	27.93		4	1.20		12	3.60		0	0.00		0	0.00		14	4.20		0	0.00		0	0.00		333	94.07		21	5.93		354	0.41
Research (McEwen)		30	1.49		19	0.94		19	0.94		0	0.00		0	0.00		1	0.05		13	0.64		1051	52.06		4	0.20		1	0.05		558	27.64		4	0.20		180	8.92		0	0.00		4	0.20		135	6.69		0	0.00		0	0.00		2019	96.23		79	3.77		2098	2.43
Roxburgh Park (McEwen)		20	1.69		43	3.63		22	1.86		2	0.17		1	0.08		2	0.17		16	1.35		284	24.01		5	0.42		0	0.00		707	59.76		6	0.51		51	4.31		2	0.17		1	0.08		21	1.78		0	0.00		0	0.00		1183	95.87		51	4.13		1234	1.43
Ruffy		2	2.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	3.85		55	70.51		0	0.00		0	0.00		8	10.26		0	0.00		6	7.69		0	0.00		0	0.00		4	5.13		0	0.00		0	0.00		78	96.30		3	3.70		81	0.09
St Andrews		6	0.77		10	1.28		11	1.40		0	0.00		0	0.00		0	0.00		13	1.66		252	32.14		1	0.13		0	0.00		234	29.85		6	0.77		50	6.38		1	0.13		2	0.26		198	25.26		0	0.00		0	0.00		784	96.67		27	3.33		811	0.94
Seymour		24	1.67		27	1.88		13	0.90		0	0.00		0	0.00		0	0.00		68	4.73		683	47.53		3	0.21		3	0.21		483	33.61		6	0.42		60	4.18		0	0.00		3	0.21		64	4.45		0	0.00		0	0.00		1437	94.04		91	5.96		1528	1.77
Seymour East		70	2.58		68	2.50		41	1.51		4	0.15		1	0.04		2	0.07		120	4.42		1057	38.93		7	0.26		2	0.07		1124	41.40		6	0.22		121	4.46		2	0.07		3	0.11		86	3.17		1	0.04		0	0.00		2715	94.14		169	5.86		2884	3.35
Strath Creek		1	1.14		0	0.00		2	2.27		0	0.00		0	0.00		0	0.00		5	5.68		38	43.18		0	0.00		0	0.00		31	35.23		0	0.00		4	4.55		0	0.00		0	0.00		7	7.95		0	0.00		0	0.00		88	93.62		6	6.38		94	0.11
Taggerty		5	2.27		6	2.73		2	0.91		0	0.00		0	0.00		0	0.00		11	5.00		111	50.45		0	0.00		0	0.00		53	24.09		2	0.91		19	8.64		0	0.00		1	0.45		10	4.55		0	0.00		0	0.00		220	95.65		10	4.35		230	0.27
Tallarook		9	2.45		14	3.81		4	1.09		0	0.00		0	0.00		0	0.00		15	4.09		154	41.96		0	0.00		0	0.00		134	36.51		3	0.82		13	3.54		1	0.27		0	0.00		20	5.45		0	0.00		0	0.00		367	96.33		14	3.67		381	0.44
Thornton		4	1.52		3	1.14		4	1.52		1	0.38		0	0.00		0	0.00		7	2.65		130	49.24		1	0.38		0	0.00		82	31.06		0	0.00		16	6.06		0	0.00		0	0.00		16	6.06		0	0.00		0	0.00		264	94.62		15	5.38		279	0.32
Tolmie		2	1.80		3	2.70		2	1.80		0	0.00		0	0.00		1	0.90		18	16.22		31	27.93		0	0.00		0	0.00		40	36.04		0	0.00		4	3.60		0	0.00		0	0.00		9	8.11		1	0.90		0	0.00		111	94.07		7	5.93		118	0.14
Toolangi		4	1.53		3	1.15		2	0.76		0	0.00		0	0.00		0	0.00		14	5.34		133	50.76		1	0.38		0	0.00		57	21.76		1	0.38		26	9.92		0	0.00		0	0.00		21	8.02		0	0.00		0	0.00		262	95.62		12	4.38		274	0.32
Wallan East		3	1.30		8	3.48		6	2.61		0	0.00		0	0.00		0	0.00		9	3.91		95	41.30		0	0.00		0	0.00		86	37.39		0	0.00		9	3.91		0	0.00		1	0.43		13	5.65		0	0.00		0	0.00		230	92.74		18	7.26		248	0.29
Wallan Wallan		32	1.51		61	2.87		32	1.51		2	0.09		4	0.19		0	0.00		67	3.15		762	35.86		3	0.14		0	0.00		933	43.91		3	0.14		136	6.40		0	0.00		3	0.14		87	4.09		0	0.00		0	0.00		2125	94.24		130	5.76		2255	2.62
Wandong		10	1.11		18	2.00		12	1.33		1	0.11		0	0.00		0	0.00		35	3.89		354	39.38		0	0.00		2	0.22		341	37.93		9	1.00		55	6.12		0	0.00		1	0.11		60	6.67		0	0.00		1	0.11		899	94.43		53	5.57		952	1.10
Warburton		15	1.73		22	2.53		10	1.15		0	0.00		0	0.00		0	0.00		17	1.96		318	36.64		3	0.35		2	0.23		252	29.03		8	0.92		73	8.41		0	0.00		4	0.46		142	16.36		0	0.00		2	0.23		868	93.03		65	6.97		933	1.08
Warburton East		14	3.01		10	2.15		9	1.94		0	0.00		0	0.00		3	0.65		17	3.66		154	33.12		1	0.22		1	0.22		192	41.29		2	0.43		17	3.66		0	0.00		1	0.22		44	9.46		0	0.00		0	0.00		465	94.32		28	5.68		493	0.57
Warrandyte North		20	1.63		11	0.90		13	1.06		0	0.00		1	0.08		0	0.00		12	0.98		475	38.78		5	0.41		0	0.00		290	23.67		3	0.24		113	9.22		0	0.00		1	0.08		279	22.78		0	0.00		2	0.16		1225	97.61		30	2.39		1255	1.46
Wattle Glen		8	1.24		11	1.71		5	0.78		1	0.16		0	0.00		0	0.00		13	2.02		261	40.59		1	0.16		0	0.00		214	33.28		5	0.78		47	7.31		0	0.00		1	0.16		76	11.82		0	0.00		0	0.00		643	97.57		16	2.43		659	0.76
Wesburn		23	3.54		14	2.15		3	0.46		0	0.00		0	0.00		0	0.00		33	5.08		286	44.00		2	0.31		0	0.00		183	28.15		2	0.31		34	5.23		0	0.00		5	0.77		64	9.85		1	0.15		0	0.00		650	93.80		43	6.20		693	0.80
Whittlesea		49	2.30		38	1.78		24	1.12		0	0.00		0	0.00		0	0.00		59	2.76		1009	47.28		5	0.23		0	0.00		680	31.87		22	1.03		152	7.12		0	0.00		1	0.05		95	4.45		0	0.00		0	0.00		2134	93.35		152	6.65		2286	2.65
Wollert		6	2.26		7	2.63		1	0.38		0	0.00		0	0.00		0	0.00		10	3.76		137	51.50		1	0.38		0	0.00		85	31.95		0	0.00		9	3.38		0	0.00		0	0.00		10	3.76		0	0.00		0	0.00		266	91.41		25	8.59		291	0.34
Woori Yallock		44	2.43		43	2.38		23	1.27		0	0.00		1	0.06		0	0.00		56	3.10		845	46.74		5	0.28		2	0.11		556	30.75		20	1.11		121	6.69		1	0.06		2	0.11		89	4.92		0	0.00		0	0.00		1808	95.86		78	4.14		1886	2.19
Yan Yean		7	3.76		2	1.08		2	1.08		0	0.00		0	0.00		0	0.00		4	2.15		99	53.23		0	0.00		0	0.00		38	20.43		4	2.15		7	3.76		0	0.00		1	0.54		22	11.83		0	0.00		0	0.00		186	95.88		8	4.12		194	0.23
Yarck		1	0.66		0	0.00		3	1.97		0	0.00		0	0.00		0	0.00		6	3.95		95	62.50		0	0.00		0	0.00		31	20.39		0	0.00		12	7.89		0	0.00		0	0.00		4	2.63		0	0.00		0	0.00		152	93.83		10	6.17		162	0.19
Yarra Glen		14	1.06		15	1.14		12	0.91		1	0.08		1	0.08		0	0.00		39	2.96		686	52.13		2	0.15		0	0.00		301	22.87		5	0.38		87	6.61		1	0.08		2	0.15		150	11.40		0	0.00		0	0.00		1316	97.19		38	2.81		1354	1.57
Yarra Junction		21	2.05		16	1.56		13	1.27		1	0.10		0	0.00		1	0.10		26	2.54		444	43.32		3	0.29		2	0.20		331	32.29		9	0.88		56	5.46		0	0.00		6	0.59		96	9.37		0	0.00		0	0.00		1025	92.18		87	7.82		1112	1.29
Yarrambat		12	1.65		6	0.82		17	2.33		0	0.00		0	0.00		0	0.00		12	1.65		396	54.32		0	0.00		0	0.00		187	25.65		3	0.41		61	8.37		0	0.00		0	0.00		35	4.80		0	0.00		0	0.00		729	95.54		34	4.46		763	0.89
Yea		27	2.56		18	1.71		6	0.57		0	0.00		0	0.00		0	0.00		48	4.56		563	53.47		4	0.38		0	0.00		270	25.64		0	0.00		65	6.17		0	0.00		0	0.00		52	4.94		0	0.00		0	0.00		1053	93.60		72	6.40		1125	1.31
Special Hospitals		5	6.02		1	1.20		2	2.41		0	0.00		0	0.00		0	0.00		2	2.41		33	39.76		0	0.00		1	1.20		38	45.78		0	0.00		1	1.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		83	93.26		6	6.74		89	0.10
Total Ordinary		1279	1.87		1288	1.89		855	1.25		49	0.07		24	0.04		22	0.03		2082	3.05		28683	42.05		167	0.24		41	0.06		23984	35.16		356	0.52		4523	6.63		13	0.02		104	0.15		4697	6.89		17	0.02		30	0.04		68214	94.49		3978	5.51		72192	83.77
ABSENT		209	3.47		207	3.43		98	1.63		4	0.07		1	0.02		5	0.08		169	2.80		2341	38.82		20	0.33		5	0.08		1900	31.51		37	0.61		533	8.84		1	0.02		13	0.22		480	7.96		2	0.03		5	0.08		6030	96.65		209	3.35		6239	7.24
POSTAL		107	2.65		52	1.29		85	2.11		5	0.12		4	0.10		0	0.00		200	4.96		1861	46.12		5	0.12		0	0.00		1287	31.90		19	0.47		235	5.82		0	0.00		8	0.20		162	4.01		3	0.07		2	0.05		4035	98.03		81	1.97		4116	4.78
PRE_POLL		88	3.34		54	2.05		52	1.97		3	0.11		5	0.19		3	0.11		104	3.95		1214	46.07		3	0.11		7	0.27		746	28.31		19	0.72		170	6.45		0	0.00		4	0.15		155	5.88		4	0.15		4	0.15		2635	98.36		44	1.64		2679	3.11
PROVISIONAL		27	3.00		40	4.44		11	1.22		0	0.00		0	0.00		0	0.00		26	2.89		302	33.52		6	0.67		0	0.00		377	41.84		2	0.22		56	6.22		0	0.00		1	0.11		53	5.88		0	0.00		0	0.00		901	94.54		52	5.46		953	1.11
Division Summary		1710	2.09		1641	2.01		1101	1.35		61	0.07		34	0.04		30	0.04		2581	3.15		34401	42.05		201	0.25		53	0.06		28294	34.58		433	0.53		5517	6.74		14	0.02		130	0.16		5547	6.78		26	0.03		41	0.05		81815	94.94		4364	5.06		86179	96.81
