Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

McMillan (85551)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Nar Nar Goon		12	2.11		8	1.40		9	1.58		1	0.18		0	0.00		0	0.00		24	4.21		306	53.68		1	0.18		0	0.00		175	30.70		0	0.00		24	4.21		0	0.00		0	0.00		10	1.75		0	0.00		0	0.00		570	94.53		33	5.47		603	0.73
Nar Nar Goon North		3	1.14		6	2.27		3	1.14		0	0.00		0	0.00		0	0.00		15	5.68		154	58.33		0	0.00		0	0.00		52	19.70		2	0.76		12	4.55		0	0.00		0	0.00		17	6.44		0	0.00		0	0.00		264	98.51		4	1.49		268	0.33
Narracan		4	2.05		7	3.59		6	3.08		0	0.00		0	0.00		0	0.00		20	10.26		86	44.10		0	0.00		0	0.00		41	21.03		1	0.51		16	8.21		0	0.00		1	0.51		12	6.15		0	0.00		1	0.51		195	96.06		8	3.94		203	0.25
Neerim Junction		5	2.34		1	0.47		4	1.87		0	0.00		0	0.00		0	0.00		8	3.74		111	51.87		1	0.47		1	0.47		51	23.83		2	0.93		12	5.61		0	0.00		1	0.47		17	7.94		0	0.00		0	0.00		214	93.86		14	6.14		228	0.28
Neerim South		29	3.86		20	2.66		9	1.20		0	0.00		1	0.13		0	0.00		31	4.12		394	52.39		0	0.00		0	0.00		178	23.67		7	0.93		48	6.38		1	0.13		0	0.00		33	4.39		0	0.00		1	0.13		752	96.66		26	3.34		778	0.95
Newborough		33	1.47		50	2.23		22	0.98		0	0.00		0	0.00		2	0.09		80	3.57		623	27.76		4	0.18		3	0.13		1181	52.63		8	0.36		168	7.49		1	0.04		2	0.09		66	2.94		0	0.00		1	0.04		2244	94.84		122	5.16		2366	2.87
Newborough East		22	1.68		29	2.22		13	1.00		2	0.15		0	0.00		0	0.00		54	4.13		285	21.82		2	0.15		1	0.08		782	59.88		6	0.46		87	6.66		0	0.00		0	0.00		22	1.68		1	0.08		0	0.00		1306	94.64		74	5.36		1380	1.68
Nilma		8	3.48		1	0.43		7	3.04		2	0.87		0	0.00		0	0.00		14	6.09		129	56.09		0	0.00		0	0.00		45	19.57		3	1.30		11	4.78		0	0.00		0	0.00		10	4.35		0	0.00		0	0.00		230	98.29		4	1.71		234	0.28
Noojee		6	4.44		1	0.74		2	1.48		0	0.00		0	0.00		0	0.00		13	9.63		59	43.70		0	0.00		0	0.00		32	23.70		0	0.00		8	5.93		0	0.00		0	0.00		13	9.63		1	0.74		0	0.00		135	92.47		11	7.53		146	0.18
Pakenham		60	2.28		53	2.01		25	0.95		1	0.04		0	0.00		1	0.04		107	4.06		1196	45.39		2	0.08		0	0.00		901	34.19		17	0.65		150	5.69		0	0.00		2	0.08		115	4.36		2	0.08		3	0.11		2635	95.40		127	4.60		2762	3.36
