Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Barker (87836)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Greenways		16	19.51		1	1.22		0	0.00		0	0.00		17	20.73		2	2.44		0	0.00		0	0.00		2	2.44		4	4.88		0	0.00		0	0.00		4	4.88		0	0.00		0	0.00		0	0.00		0	0.00		50	60.98		3	3.66		1	1.22		1	1.22		0	0.00		55	67.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	3.66		1	1.22		0	0.00		0	0.00		0	0.00		4	4.88		0	0.00		0	0.00		0	0.00		0	0.00		82	97.62		2	2.38		84	0.10																																																																																																									
Hindmarsh Valley		40	19.05		3	1.43		0	0.00		0	0.00		43	20.48		4	1.90		4	1.90		0	0.00		8	3.81		5	2.38		2	0.95		0	0.00		7	3.33		0	0.00		1	0.48		0	0.00		1	0.48		128	60.95		2	0.95		0	0.00		0	0.00		0	0.00		130	61.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.48		0	0.00		0	0.00		1	0.48		15	7.14		5	2.38		0	0.00		0	0.00		0	0.00		20	9.52		0	0.00		0	0.00		0	0.00		0	0.00		210	97.67		5	2.33		215	0.25																																																																																																									
Hope Forest		19	10.98		1	0.58		1	0.58		1	0.58		22	12.72		7	4.05		4	2.31		1	0.58		12	6.94		8	4.62		1	0.58		0	0.00		9	5.20		0	0.00		0	0.00		0	0.00		0	0.00		98	56.65		7	4.05		0	0.00		0	0.00		0	0.00		105	60.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		16	9.25		8	4.62		0	0.00		0	0.00		0	0.00		24	13.87		1	0.58		0	0.00		0	0.00		1	0.58		173	98.30		3	1.70		176	0.21																																																																																																									
Hynam		18	12.41		0	0.00		0	0.00		0	0.00		18	12.41		4	2.76		1	0.69		0	0.00		5	3.45		8	5.52		1	0.69		0	0.00		9	6.21		0	0.00		0	0.00		0	0.00		0	0.00		98	67.59		5	3.45		0	0.00		0	0.00		0	0.00		103	71.03		1	0.69		0	0.00		0	0.00		1	0.69		1	0.69		0	0.00		0	0.00		1	0.69		0	0.00		2	1.38		0	0.00		2	1.38		6	4.14		0	0.00		0	0.00		0	0.00		0	0.00		6	4.14		0	0.00		0	0.00		0	0.00		0	0.00		145	98.64		2	1.36		147	0.17																																																																																																									
Inman Valley		16	10.00		0	0.00		0	0.00		1	0.63		17	10.63		10	6.25		2	1.25		0	0.00		12	7.50		5	3.13		1	0.63		0	0.00		6	3.75		0	0.00		0	0.00		0	0.00		0	0.00		101	63.13		4	2.50		0	0.00		0	0.00		0	0.00		105	65.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.63		0	0.00		0	0.00		1	0.63		13	8.13		6	3.75		0	0.00		0	0.00		0	0.00		19	11.88		0	0.00		0	0.00		0	0.00		0	0.00		160	96.97		5	3.03		165	0.19																																																																																																									
Jervois		13	8.90		1	0.68		0	0.00		0	0.00		14	9.59		4	2.74		0	0.00		0	0.00		4	2.74		7	4.79		0	0.00		0	0.00		7	4.79		0	0.00		0	0.00		0	0.00		0	0.00		106	72.60		3	2.05		0	0.00		0	0.00		1	0.68		110	75.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	6.16		0	0.00		2	1.37		0	0.00		0	0.00		11	7.53		0	0.00		0	0.00		0	0.00		0	0.00		146	97.99		3	2.01		149	0.18																																																																																																									
Kalangadoo		81	25.08		3	0.93		0	0.00		2	0.62		86	26.63		5	1.55		1	0.31		0	0.00		6	1.86		26	8.05		6	1.86		0	0.00		32	9.91		0	0.00		0	0.00		0	0.00		0	0.00		167	51.70		4	1.24		1	0.31		0	0.00		1	0.31		173	53.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.31		0	0.00		1	0.31		23	7.12		2	0.62		0	0.00		0	0.00		0	0.00		25	7.74		0	0.00		0	0.00		0	0.00		0	0.00		323	98.18		6	1.82		329	0.39																																																																																																									
Karoonda		46	10.20		1	0.22		0	0.00		0	0.00		47	10.42		7	1.55		0	0.00		0	0.00		7	1.55		30	6.65		1	0.22		0	0.00		31	6.87		0	0.00		0	0.00		0	0.00		0	0.00		331	73.39		10	2.22		1	0.22		1	0.22		0	0.00		343	76.05		0	0.00		1	0.22		0	0.00		1	0.22		1	0.22		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		19	4.21		1	0.22		0	0.00		0	0.00		0	0.00		20	4.43		1	0.22		0	0.00		0	0.00		1	0.22		451	96.16		18	3.84		469	0.55																																																																																																									
Keith		130	12.62		5	0.49		0	0.00		6	0.58		141	13.69		9	0.87		3	0.29		0	0.00		12	1.17		33	3.20		7	0.68		0	0.00		40	3.88		0	0.00		0	0.00		0	0.00		0	0.00		740	71.84		27	2.62		1	0.10		2	0.19		1	0.10		771	74.85		0	0.00		2	0.19		0	0.00		2	0.19		1	0.10		1	0.10		0	0.00		2	0.19		1	0.10		1	0.10		0	0.00		2	0.19		46	4.47		12	1.17		0	0.00		0	0.00		0	0.00		58	5.63		1	0.10		1	0.10		0	0.00		2	0.19		1030	97.91		22	2.09		1052	1.24																																																																																																									
Keyneton		23	14.74		2	1.28		0	0.00		1	0.64		26	16.67		4	2.56		3	1.92		0	0.00		7	4.49		4	2.56		1	0.64		0	0.00		5	3.21		0	0.00		0	0.00		0	0.00		0	0.00		87	55.77		1	0.64		0	0.00		0	0.00		0	0.00		88	56.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		21	13.46		8	5.13		0	0.00		0	0.00		0	0.00		29	18.59		1	0.64		0	0.00		0	0.00		1	0.64		156	98.73		2	1.27		158	0.19																																																																																																									
