Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Barker (87836)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Mount Gambier Park		692	31.98		46	2.13		110	5.08		4	0.18		1090	50.37		1	0.05		1	0.05		7	0.32		211	9.75		2	0.09		2164	97.70		51	2.30		2215	2.61
Mount Gambier West		1023	32.72		63	2.01		196	6.27		2	0.06		1563	49.98		0	0.00		0	0.00		8	0.26		270	8.63		2	0.06		3127	96.57		111	3.43		3238	3.82
Mundulla		42	11.60		10	2.76		19	5.25		0	0.00		268	74.03		0	0.00		0	0.00		1	0.28		22	6.08		0	0.00		362	98.10		7	1.90		369	0.44
Murray Bridge		557	28.91		47	2.44		184	9.55		1	0.05		931	48.31		2	0.10		0	0.00		3	0.16		200	10.38		2	0.10		1927	94.79		106	5.21		2033	2.40
Murray Bridge East		241	19.10		39	3.09		85	6.74		2	0.16		763	60.46		0	0.00		0	0.00		2	0.16		129	10.22		1	0.08		1262	96.70		43	3.30		1305	1.54
Murray Bridge South		930	32.89		69	2.44		196	6.93		3	0.11		1322	46.75		5	0.18		3	0.11		11	0.39		285	10.08		4	0.14		2828	96.68		97	3.32		2925	3.45
Murray Bridge West		573	25.86		28	1.26		154	6.95		2	0.09		1260	56.86		4	0.18		3	0.14		8	0.36		182	8.21		2	0.09		2216	96.56		79	3.44		2295	2.71
Mypolonga		63	18.81		9	2.69		25	7.46		1	0.30		208	62.09		2	0.60		0	0.00		2	0.60		25	7.46		0	0.00		335	98.24		6	1.76		341	0.40
Myponga		77	19.40		15	3.78		17	4.28		0	0.00		240	60.45		0	0.00		0	0.00		2	0.50		46	11.59		0	0.00		397	98.02		8	1.98		405	0.48
Nangula		34	20.12		2	1.18		16	9.47		1	0.59		104	61.54		0	0.00		0	0.00		0	0.00		12	7.10		0	0.00		169	97.13		5	2.87		174	0.21
