Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Hindmarsh (84806)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Henley South		437	29.65		19	1.29		2	0.14		13	0.88		471	31.95		76	5.16		27	1.83		3	0.20		106	7.19		31	2.10		8	0.54		0	0.00		39	2.65		0	0.00		2	0.14		0	0.00		2	0.14		625	42.40		22	1.49		1	0.07		1	0.07		1	0.07		650	44.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		156	10.58		46	3.12		1	0.07		0	0.00		1	0.07		204	13.84		1	0.07		0	0.00		0	0.00		1	0.07		1474	97.49		38	2.51		1512	1.86																																																																																																									
Kidman Park		411	42.24		5	0.51		1	0.10		2	0.21		419	43.06		12	1.23		4	0.41		0	0.00		16	1.64		17	1.75		2	0.21		0	0.00		19	1.95		1	0.10		0	0.00		0	0.00		1	0.10		393	40.39		16	1.64		0	0.00		1	0.10		0	0.00		410	42.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		1	0.10		0	0.00		2	0.21		91	9.35		15	1.54		0	0.00		0	0.00		0	0.00		106	10.89		0	0.00		0	0.00		0	0.00		0	0.00		973	96.53		35	3.47		1008	1.24																																																																																																									
Kidman Park South		949	37.88		18	0.72		1	0.04		7	0.28		975	38.92		45	1.80		11	0.44		0	0.00		56	2.24		38	1.52		6	0.24		1	0.04		45	1.80		1	0.04		0	0.00		1	0.04		2	0.08		1121	44.75		24	0.96		2	0.08		4	0.16		1	0.04		1152	45.99		0	0.00		1	0.04		0	0.00		1	0.04		2	0.08		1	0.04		0	0.00		3	0.12		7	0.28		1	0.04		1	0.04		9	0.36		210	8.38		51	2.04		0	0.00		1	0.04		0	0.00		262	10.46		0	0.00		0	0.00		0	0.00		0	0.00		2505	95.54		117	4.46		2622	3.22																																																																																																									
Kurralta Park		513	36.41		11	0.78		3	0.21		4	0.28		531	37.69		33	2.34		16	1.14		2	0.14		51	3.62		36	2.56		9	0.64		3	0.21		48	3.41		3	0.21		0	0.00		0	0.00		3	0.21		527	37.40		19	1.35		1	0.07		1	0.07		1	0.07		549	38.96		0	0.00		0	0.00		1	0.07		1	0.07		0	0.00		1	0.07		0	0.00		1	0.07		4	0.28		1	0.07		0	0.00		5	0.35		181	12.85		37	2.63		1	0.07		0	0.00		0	0.00		219	15.54		1	0.07		0	0.00		0	0.00		1	0.07		1409	96.44		52	3.56		1461	1.79																																																																																																									
Lockleys		453	25.84		14	0.80		1	0.06		10	0.57		478	27.27		37	2.11		16	0.91		1	0.06		54	3.08		31	1.77		8	0.46		1	0.06		40	2.28		1	0.06		0	0.00		0	0.00		1	0.06		960	54.76		34	1.94		1	0.06		3	0.17		2	0.11		1000	57.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		1	0.06		140	7.99		36	2.05		1	0.06		0	0.00		1	0.06		178	10.15		1	0.06		0	0.00		0	0.00		1	0.06		1753	96.85		57	3.15		1810	2.22																																																																																																									
Lockleys North		418	34.01		6	0.49		4	0.33		10	0.81		438	35.64		14	1.14		10	0.81		1	0.08		25	2.03		36	2.93		4	0.33		1	0.08		41	3.34		0	0.00		0	0.00		0	0.00		0	0.00		558	45.40		17	1.38		0	0.00		1	0.08		1	0.08		577	46.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		115	9.36		30	2.44		1	0.08		0	0.00		0	0.00		146	11.88		1	0.08		0	0.00		0	0.00		1	0.08		1229	96.02		51	3.98		1280	1.57																																																																																																									
Mile End (Hindmarsh)		345	45.51		6	0.79		0	0.00		5	0.66		356	46.97		36	4.75		23	3.03		6	0.79		65	8.58		7	0.92		0	0.00		0	0.00		7	0.92		0	0.00		0	0.00		0	0.00		0	0.00		213	28.10		3	0.40		0	0.00		0	0.00		0	0.00		216	28.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		88	11.61		24	3.17		0	0.00		0	0.00		0	0.00		112	14.78		0	0.00		1	0.13		0	0.00		1	0.13		758	96.68		26	3.32		784	0.96																																																																																																									
Morphettville		446	34.25		8	0.61		4	0.31		6	0.46		464	35.64		21	1.61		5	0.38		1	0.08		27	2.07		49	3.76		4	0.31		0	0.00		53	4.07		2	0.15		0	0.00		0	0.00		2	0.15		572	43.93		23	1.77		1	0.08		2	0.15		1	0.08		599	46.01		0	0.00		1	0.08		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		4	0.31		0	0.00		0	0.00		4	0.31		131	10.06		17	1.31		1	0.08		0	0.00		1	0.08		150	11.52		1	0.08		0	0.00		1	0.08		2	0.15		1302	96.59		46	3.41		1348	1.66																																																																																																									
Netley		465	38.69		7	0.58		0	0.00		7	0.58		479	39.85		18	1.50		7	0.58		1	0.08		26	2.16		29	2.41		10	0.83		1	0.08		40	3.33		2	0.17		0	0.00		0	0.00		2	0.17		520	43.26		12	1.00		0	0.00		1	0.08		1	0.08		534	44.43		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		2	0.17		1	0.08		0	0.00		3	0.25		91	7.57		18	1.50		6	0.50		0	0.00		1	0.08		116	9.65		0	0.00		1	0.08		0	0.00		1	0.08		1202	95.93		51	4.07		1253	1.54																																																																																																									
Novar Gardens		430	25.09		15	0.88		3	0.18		10	0.58		458	26.72		33	1.93		10	0.58		2	0.12		45	2.63		38	2.22		10	0.58		0	0.00		48	2.80		1	0.06		0	0.00		0	0.00		1	0.06		952	55.54		31	1.81		0	0.00		1	0.06		2	0.12		986	57.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		2	0.12		0	0.00		3	0.18		150	8.75		22	1.28		0	0.00		0	0.00		0	0.00		172	10.04		1	0.06		0	0.00		0	0.00		1	0.06		1714	97.55		43	2.45		1757	2.16																																																																																																									
