Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Wakefield (86378)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Stansbury		92	19.66		6	1.28		58	12.39		0	0.00		279	59.62		0	0.00		0	0.00		5	1.07		23	4.91		5	1.07		468	94.93		25	5.07		493	0.59
Stockwell		46	14.15		12	3.69		26	8.00		1	0.31		216	66.46		1	0.31		0	0.00		0	0.00		23	7.08		0	0.00		325	97.60		8	2.40		333	0.40
Tanunda		447	15.88		88	3.13		197	7.00		3	0.11		1688	59.99		3	0.11		1	0.04		6	0.21		374	13.29		7	0.25		2814	96.97		88	3.03		2902	3.48
Truro		69	17.78		11	2.84		46	11.86		0	0.00		234	60.31		0	0.00		0	0.00		0	0.00		27	6.96		1	0.26		388	96.52		14	3.48		402	0.48
Two Wells		703	32.47		50	2.31		145	6.70		2	0.09		998	46.10		2	0.09		2	0.09		11	0.51		252	11.64		0	0.00		2165	96.01		90	3.99		2255	2.70
Waikerie		432	22.03		54	2.75		130	6.63		2	0.10		1229	62.67		2	0.10		0	0.00		4	0.20		107	5.46		1	0.05		1961	95.99		82	4.01		2043	2.45
Wallaroo		734	41.75		55	3.13		163	9.27		4	0.23		703	39.99		0	0.00		1	0.06		1	0.06		96	5.46		1	0.06		1758	95.23		88	4.77		1846	2.21
Wallaroo Mines		265	42.95		13	2.11		48	7.78		1	0.16		249	40.36		0	0.00		0	0.00		0	0.00		39	6.32		2	0.32		617	96.11		25	3.89		642	0.77
Warooka		63	15.18		9	2.17		46	11.08		0	0.00		269	64.82		0	0.00		0	0.00		1	0.24		27	6.51		0	0.00		415	96.74		14	3.26		429	0.51
Wasleys		84	28.97		10	3.45		23	7.93		0	0.00		133	45.86		0	0.00		0	0.00		0	0.00		40	13.79		0	0.00		290	97.32		8	2.68		298	0.36
Willaston - Hewett		482	28.27		42	2.46		119	6.98		1	0.06		842	49.38		2	0.12		1	0.06		0	0.00		216	12.67		0	0.00		1705	97.54		43	2.46		1748	2.09
Williamstown		325	26.42		50	4.07		75	6.10		1	0.08		589	47.89		0	0.00		3	0.24		0	0.00		186	15.12		1	0.08		1230	96.70		42	3.30		1272	1.52
Winkie		32	18.18		8	4.55		15	8.52		0	0.00		107	60.80		0	0.00		0	0.00		0	0.00		14	7.95		0	0.00		176	97.24		5	2.76		181	0.22
Yorketown		158	22.57		9	1.29		43	6.14		0	0.00		432	61.71		1	0.14		0	0.00		2	0.29		54	7.71		1	0.14		700	95.24		35	4.76		735	0.88
Special Hospitals		266	33.13		12	1.49		25	3.11		2	0.25		477	59.40		0	0.00		0	0.00		0	0.00		21	2.62		0	0.00		803	95.48		38	4.52		841	1.01
Remote Mobiles		93	62.00		6	4.00		8	5.33		0	0.00		37	24.67		0	0.00		0	0.00		1	0.67		4	2.67		1	0.67		150	98.68		2	1.32		152	0.18
Total Ordinary		18157	25.61		1983	2.80		5273	7.44		79	0.11		38547	54.38		57	0.08		31	0.04		128	0.18		6557	9.25		77	0.11		70889	96.56		2522	3.44		73411	87.97
ABSENT		1370	26.83		203	3.97		323	6.32		5	0.10		2460	48.17		2	0.04		1	0.02		12	0.23		721	14.12		10	0.20		5107	97.93		108	2.07		5215	6.25
POSTAL		436	19.16		45	1.98		234	10.29		3	0.13		1354	59.52		0	0.00		1	0.04		3	0.13		192	8.44		7	0.31		2275	98.66		31	1.34		2306	2.76
PRE_POLL		468	24.70		79	4.17		139	7.34		1	0.05		974	51.40		4	0.21		0	0.00		4	0.21		225	11.87		1	0.05		1895	98.96		20	1.04		1915	2.29
PROVISIONAL		209	35.42		36	6.10		47	7.97		0	0.00		239	40.51		0	0.00		0	0.00		0	0.00		59	10.00		0	0.00		590	98.01		12	1.99		602	0.72
Division Summary		20640	25.56		2346	2.91		6016	7.45		88	0.11		43574	53.96		63	0.08		33	0.04		147	0.18		7754	9.6		95	0.12		80756	96.77		2693	3.23		83449	96.61
