Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Sturt (86359)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Klemzig		902	37.96		23	0.97		7	0.29		17	0.72		949	39.94		73	3.07		16	0.67		2	0.08		91	3.83		98	4.12		15	0.63		0	0.00		113	4.76		4	0.17		2	0.08		0	0.00		6	0.25		888	37.37		20	0.84		1	0.04		2	0.08		3	0.13		914	38.47		0	0.00		0	0.00		1	0.04		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		1	0.04		233	9.81		62	2.61		3	0.13		1	0.04		0	0.00		299	12.58		1	0.04		0	0.00		1	0.04		2	0.08		2376	95.08		123	4.92		2499	3.02																																																																																																									
Linden Park		246	17.60		14	1.00		2	0.14		6	0.43		268	19.17		47	3.36		17	1.22		3	0.21		67	4.79		11	0.79		8	0.57		0	0.00		19	1.36		3	0.21		0	0.00		0	0.00		3	0.21		789	56.44		39	2.79		2	0.14		4	0.29		2	0.14		836	59.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		1	0.07		2	0.14		2	0.14		0	0.00		4	0.29		139	9.94		54	3.86		2	0.14		1	0.07		0	0.00		196	14.02		2	0.14		0	0.00		2	0.14		4	0.29		1398	97.29		39	2.71		1437	1.74																																																																																																									
Magill (Sturt)		610	24.53		29	1.17		5	0.20		24	0.97		668	26.86		79	3.18		32	1.29		1	0.04		112	4.50		58	2.33		8	0.32		2	0.08		68	2.73		1	0.04		1	0.04		0	0.00		2	0.08		1231	49.50		59	2.37		0	0.00		2	0.08		3	0.12		1295	52.07		1	0.04		0	0.00		0	0.00		1	0.04		1	0.04		0	0.00		0	0.00		1	0.04		6	0.24		0	0.00		0	0.00		6	0.24		261	10.49		71	2.85		0	0.00		0	0.00		0	0.00		332	13.35		1	0.04		0	0.00		1	0.04		2	0.08		2487	96.02		103	3.98		2590	3.13																																																																																																									
Magill North		739	40.99		20	1.11		4	0.22		9	0.50		772	42.82		47	2.61		19	1.05		0	0.00		66	3.66		36	2.00		13	0.72		0	0.00		49	2.72		2	0.11		1	0.06		0	0.00		3	0.17		655	36.33		29	1.61		0	0.00		2	0.11		0	0.00		686	38.05		1	0.06		1	0.06		0	0.00		2	0.11		1	0.06		0	0.00		0	0.00		1	0.06		2	0.11		0	0.00		0	0.00		2	0.11		181	10.04		39	2.16		0	0.00		0	0.00		0	0.00		220	12.20		1	0.06		0	0.00		1	0.06		2	0.11		1803	95.65		82	4.35		1885	2.28																																																																																																									
Marden		96	24.24		2	0.51		1	0.25		6	1.52		105	26.52		11	2.78		9	2.27		2	0.51		22	5.56		15	3.79		6	1.52		0	0.00		21	5.30		0	0.00		0	0.00		1	0.25		1	0.25		167	42.17		9	2.27		0	0.00		1	0.25		0	0.00		177	44.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.51		0	0.00		0	0.00		2	0.51		51	12.88		15	3.79		1	0.25		0	0.00		0	0.00		67	16.92		0	0.00		0	0.00		1	0.25		1	0.25		396	94.96		21	5.04		417	0.50																																																																																																									
Marden West (Sturt)		574	34.52		16	0.96		3	0.18		10	0.60		603	36.26		34	2.04		24	1.44		3	0.18		61	3.67		42	2.53		12	0.72		0	0.00		54	3.25		3	0.18		0	0.00		0	0.00		3	0.18		636	38.24		27	1.62		1	0.06		0	0.00		1	0.06		665	39.99		1	0.06		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		2	0.12		0	0.00		0	0.00		2	0.12		196	11.79		70	4.21		2	0.12		0	0.00		1	0.06		269	16.18		3	0.18		1	0.06		1	0.06		5	0.30		1663	93.85		109	6.15		1772	2.14																																																																																																									
Marryatville		99	20.67		4	0.84		1	0.21		4	0.84		108	22.55		9	1.88		4	0.84		1	0.21		14	2.92		8	1.67		1	0.21		1	0.21		10	2.09		0	0.00		0	0.00		0	0.00		0	0.00		240	50.10		18	3.76		0	0.00		5	1.04		0	0.00		263	54.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.42		0	0.00		2	0.42		0	0.00		1	0.21		0	0.00		1	0.21		66	13.78		12	2.51		0	0.00		1	0.21		1	0.21		80	16.70		0	0.00		1	0.21		0	0.00		1	0.21		479	97.36		13	2.64		492	0.60																																																																																																									
Maylands		508	32.77		22	1.42		2	0.13		21	1.35		553	35.68		82	5.29		40	2.58		1	0.06		123	7.94		19	1.23		8	0.52		2	0.13		29	1.87		0	0.00		1	0.06		0	0.00		1	0.06		556	35.87		17	1.10		0	0.00		1	0.06		0	0.00		574	37.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.13		0	0.00		1	0.06		3	0.19		194	12.52		70	4.52		0	0.00		1	0.06		0	0.00		265	17.10		1	0.06		0	0.00		1	0.06		2	0.13		1550	95.38		75	4.62		1625	1.97																																																																																																									
Norwood		535	26.51		36	1.78		3	0.15		28	1.39		602	29.83		103	5.10		55	2.73		2	0.10		160	7.93		21	1.04		6	0.30		1	0.05		28	1.39		0	0.00		0	0.00		0	0.00		0	0.00		836	41.43		41	2.03		1	0.05		9	0.45		0	0.00		887	43.95		1	0.05		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		5	0.25		0	0.00		0	0.00		5	0.25		246	12.19		85	4.21		1	0.05		2	0.10		0	0.00		334	16.55		0	0.00		0	0.00		1	0.05		1	0.05		2018	96.60		71	3.40		2089	2.53																																																																																																									
Norwood West		485	25.06		30	1.55		2	0.10		16	0.83		533	27.55		78	4.03		48	2.48		0	0.00		126	6.51		12	0.62		2	0.10		0	0.00		14	0.72		4	0.21		3	0.16		1	0.05		8	0.41		805	41.60		40	2.07		3	0.16		2	0.10		0	0.00		850	43.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		1	0.05		1	0.05		1	0.05		0	0.00		2	0.10		292	15.09		105	5.43		2	0.10		1	0.05		0	0.00		400	20.67		1	0.05		0	0.00		0	0.00		1	0.05		1935	97.43		51	2.57		1986	2.40																																																																																																									
