Senate - 2001 Election: South Australia																																							
First Preference Votes by Group  																																							
By Polling Place																																							

Adelaide (86538)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Unley		898	31.14		208	7.21		40	1.39		0	0.00		1229	42.61		0	0.00		1	0.03		10	0.35		495	17.16		3	0.10		2884	96.88		93	3.12		2977	3.62
Walkerville		449	19.51		119	5.17		35	1.52		3	0.13		1354	58.84		1	0.04		1	0.04		5	0.22		331	14.39		3	0.13		2301	97.87		50	2.13		2351	2.86
Walkerville North		221	26.18		46	5.45		17	2.01		0	0.00		459	54.38		0	0.00		0	0.00		1	0.12		99	11.73		1	0.12		844	96.68		29	3.32		873	1.06
Wayville		166	29.12		39	6.84		5	0.88		1	0.18		259	45.44		0	0.00		1	0.18		2	0.35		97	17.02		0	0.00		570	97.44		15	2.56		585	0.71
Special Hospitals		220	30.90		8	1.12		16	2.25		4	0.56		441	61.94		0	0.00		0	0.00		1	0.14		22	3.09		0	0.00		712	92.23		60	7.77		772	0.94
Total Ordinary		23008	34.77		3611	5.46		1552	2.35		129	0.19		27783	41.98		49	0.07		26	0.04		124	0.19		9829	14.85		66	0.10		66177	96.55		2366	3.45		68543	83.26
ABSENT		1830	30.97		396	6.70		131	2.22		10	0.17		2453	41.52		3	0.05		5	0.08		13	0.22		1063	17.99		4	0.07		5908	98.14		112	1.86		6020	7.31
POSTAL		1145	31.06		121	3.28		111	3.01		3	0.08		1921	52.10		1	0.03		0	0.00		9	0.24		370	10.04		6	0.16		3687	98.79		45	1.21		3732	4.53
PRE_POLL		836	26.54		198	6.29		56	1.78		2	0.06		1484	47.11		3	0.10		1	0.03		7	0.22		561	17.81		2	0.06		3150	98.84		37	1.16		3187	3.87
PROVISIONAL		320	39.07		51	6.23		16	1.95		2	0.24		288	35.16		0	0.00		0	0.00		1	0.12		140	17.09		1	0.12		819	97.38		22	2.62		841	1.02
Division Summary		27139	34.03		4377	5.49		1866	2.34		146	0.18		33929	42.55		56	0.07		32	0.04		154	0.19		11963	15		79	0.1		79741	96.86		2582	3.14		82323	95.13
