Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Mayo (86319)																																																																																																																																																																																																																																																											
		 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Hahndorf		252	15.53		16	0.99		0	0.00		8	0.49		276	17.01		50	3.08		24	1.48		0	0.00		74	4.56		60	3.70		18	1.11		0	0.00		78	4.81		0	0.00		0	0.00		1	0.06		1	0.06		927	57.12		35	2.16		2	0.12		1	0.06		1	0.06		966	59.52		1	0.06		1	0.06		0	0.00		2	0.12		2	0.12		1	0.06		0	0.00		3	0.18		2	0.12		3	0.18		0	0.00		5	0.31		167	10.29		46	2.83		1	0.06		0	0.00		0	0.00		214	13.19		3	0.18		1	0.06		0	0.00		4	0.25		1623	97.13		48	2.87		1671	2.01																																																																																																									
Happy Valley (Mayo)		324	22.16		12	0.82		2	0.14		8	0.55		346	23.67		25	1.71		11	0.75		0	0.00		36	2.46		47	3.21		7	0.48		0	0.00		54	3.69		0	0.00		1	0.07		0	0.00		1	0.07		764	52.26		35	2.39		0	0.00		1	0.07		0	0.00		800	54.72		1	0.07		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		1	0.07		2	0.14		184	12.59		37	2.53		0	0.00		0	0.00		0	0.00		221	15.12		0	0.00		0	0.00		1	0.07		1	0.07		1462	97.73		34	2.27		1496	1.80																																																																																																									
Harrogate		27	21.26		2	1.57		0	0.00		0	0.00		29	22.83		7	5.51		1	0.79		0	0.00		8	6.30		5	3.94		0	0.00		0	0.00		5	3.94		0	0.00		0	0.00		0	0.00		0	0.00		67	52.76		7	5.51		0	0.00		0	0.00		0	0.00		74	58.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	6.30		3	2.36		0	0.00		0	0.00		0	0.00		11	8.66		0	0.00		0	0.00		0	0.00		0	0.00		127	98.45		2	1.55		129	0.16																																																																																																									
Highbury South (Mayo)		494	20.30		30	1.23		0	0.00		17	0.70		541	22.23		56	2.30		20	0.82		2	0.08		78	3.20		62	2.55		6	0.25		3	0.12		71	2.92		2	0.08		2	0.08		1	0.04		5	0.21		1369	56.24		43	1.77		0	0.00		7	0.29		1	0.04		1420	58.34		0	0.00		2	0.08		0	0.00		2	0.08		0	0.00		0	0.00		0	0.00		0	0.00		2	0.08		0	0.00		0	0.00		2	0.08		249	10.23		61	2.51		2	0.08		1	0.04		1	0.04		314	12.90		1	0.04		0	0.00		0	0.00		1	0.04		2434	96.97		76	3.03		2510	3.02																																																																																																									
Houghton		86	13.87		6	0.97		1	0.16		5	0.81		98	15.81		12	1.94		5	0.81		0	0.00		17	2.74		15	2.42		5	0.81		0	0.00		20	3.23		2	0.32		0	0.00		0	0.00		2	0.32		356	57.42		17	2.74		1	0.16		2	0.32		0	0.00		376	60.65		1	0.16		1	0.16		0	0.00		2	0.32		4	0.65		0	0.00		1	0.16		5	0.81		0	0.00		0	0.00		0	0.00		0	0.00		81	13.06		17	2.74		0	0.00		0	0.00		0	0.00		98	15.81		1	0.16		0	0.00		1	0.16		2	0.32		620	97.79		14	2.21		634	0.76																																																																																																									
Kangarilla		91	17.14		5	0.94		0	0.00		1	0.19		97	18.27		9	1.69		10	1.88		1	0.19		20	3.77		19	3.58		4	0.75		0	0.00		23	4.33		1	0.19		0	0.00		0	0.00		1	0.19		259	48.78		18	3.39		1	0.19		3	0.56		1	0.19		282	53.11		1	0.19		0	0.00		0	0.00		1	0.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		81	15.25		25	4.71		0	0.00		0	0.00		0	0.00		106	19.96		1	0.19		0	0.00		0	0.00		1	0.19		531	98.15		10	1.85		541	0.65																																																																																																									
Langhorne Creek		52	11.13		11	2.36		0	0.00		3	0.64		66	14.13		14	3.00		7	1.50		0	0.00		21	4.50		15	3.21		4	0.86		1	0.21		20	4.28		0	0.00		0	0.00		0	0.00		0	0.00		273	58.46		15	3.21		1	0.21		1	0.21		1	0.21		291	62.31		0	0.00		0	0.00		0	0.00		0	0.00		1	0.21		0	0.00		0	0.00		1	0.21		0	0.00		0	0.00		0	0.00		0	0.00		54	11.56		14	3.00		0	0.00		0	0.00		0	0.00		68	14.56		0	0.00		0	0.00		0	0.00		0	0.00		467	98.11		9	1.89		476	0.57																																																																																																									
Lenswood		24	9.45		1	0.39		0	0.00		0	0.00		25	9.84		4	1.57		2	0.79		0	0.00		6	2.36		10	3.94		0	0.00		0	0.00		10	3.94		0	0.00		0	0.00		0	0.00		0	0.00		184	72.44		7	2.76		0	0.00		1	0.39		0	0.00		192	75.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		16	6.30		4	1.57		0	0.00		0	0.00		0	0.00		20	7.87		1	0.39		0	0.00		0	0.00		1	0.39		254	96.95		8	3.05		262	0.31																																																																																																									
Littlehampton		324	19.80		16	0.98		1	0.06		8	0.49		349	21.33		56	3.42		20	1.22		1	0.06		77	4.71		53	3.24		9	0.55		0	0.00		62	3.79		0	0.00		2	0.12		0	0.00		2	0.12		842	51.47		20	1.22		0	0.00		1	0.06		1	0.06		864	52.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	0.24		1	0.06		0	0.00		5	0.31		221	13.51		50	3.06		1	0.06		1	0.06		0	0.00		273	16.69		3	0.18		0	0.00		1	0.06		4	0.24		1636	98.02		33	1.98		1669	2.01																																																																																																									
Lobethal		214	16.13		11	0.83		3	0.23		4	0.30		232	17.48		40	3.01		9	0.68		0	0.00		49	3.69		58	4.37		8	0.60		0	0.00		66	4.97		0	0.00		1	0.08		0	0.00		1	0.08		761	57.35		26	1.96		0	0.00		3	0.23		2	0.15		792	59.68		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		152	11.45		30	2.26		3	0.23		0	0.00		0	0.00		185	13.94		0	0.00		0	0.00		1	0.08		1	0.08		1327	96.79		44	3.21		1371	1.65																																																																																																									
