Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Wakefield (86378)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Forreston		40	18.26		0	0.00		1	0.46		3	1.37		44	20.09		10	4.57		7	3.20		0	0.00		17	7.76		11	5.02		5	2.28		0	0.00		16	7.31		0	0.00		0	0.00		0	0.00		0	0.00		98	44.75		5	2.28		2	0.91		0	0.00		0	0.00		105	47.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.91		0	0.00		2	0.91		26	11.87		9	4.11		0	0.00		0	0.00		0	0.00		35	15.98		0	0.00		0	0.00		0	0.00		0	0.00		219	97.33		6	2.67		225	0.27																																																																																																									
Freeling		191	22.87		9	1.08		1	0.12		3	0.36		204	24.43		23	2.75		2	0.24		0	0.00		25	2.99		57	6.83		15	1.80		0	0.00		72	8.62		2	0.24		0	0.00		0	0.00		2	0.24		437	52.34		15	1.80		0	0.00		1	0.12		2	0.24		455	54.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		68	8.14		8	0.96		0	0.00		1	0.12		0	0.00		77	9.22		0	0.00		0	0.00		0	0.00		0	0.00		835	97.32		23	2.68		858	1.03																																																																																																									
Gawler		463	26.37		19	1.08		2	0.11		6	0.34		490	27.90		58	3.30		15	0.85		2	0.11		75	4.27		98	5.58		26	1.48		1	0.06		125	7.12		2	0.11		1	0.06		0	0.00		3	0.17		771	43.91		51	2.90		1	0.06		2	0.11		2	0.11		827	47.10		3	0.17		1	0.06		0	0.00		4	0.23		0	0.00		0	0.00		0	0.00		0	0.00		5	0.28		0	0.00		0	0.00		5	0.28		180	10.25		44	2.51		1	0.06		1	0.06		0	0.00		226	12.87		1	0.06		0	0.00		0	0.00		1	0.06		1756	96.96		55	3.04		1811	2.17																																																																																																									
Gawler East		436	22.61		19	0.99		1	0.05		12	0.62		468	24.27		45	2.33		17	0.88		1	0.05		63	3.27		82	4.25		8	0.41		3	0.16		93	4.82		0	0.00		0	0.00		0	0.00		0	0.00		1020	52.90		31	1.61		2	0.10		6	0.31		1	0.05		1060	54.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		2	0.10		202	10.48		37	1.92		0	0.00		0	0.00		0	0.00		239	12.40		2	0.10		0	0.00		1	0.05		3	0.16		1928	97.97		40	2.03		1968	2.36																																																																																																									
Gawler River		53	17.97		5	1.69		0	0.00		2	0.68		60	20.34		6	2.03		3	1.02		0	0.00		9	3.05		10	3.39		5	1.69		0	0.00		15	5.08		1	0.34		0	0.00		0	0.00		1	0.34		167	56.61		9	3.05		1	0.34		0	0.00		1	0.34		178	60.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.34		0	0.00		0	0.00		1	0.34		26	8.81		5	1.69		0	0.00		0	0.00		0	0.00		31	10.51		0	0.00		0	0.00		0	0.00		0	0.00		295	96.41		11	3.59		306	0.37																																																																																																									
Gawler South		680	28.29		23	0.96		8	0.33		12	0.50		723	30.07		80	3.33		21	0.87		0	0.00		101	4.20		115	4.78		22	0.92		1	0.04		138	5.74		1	0.04		0	0.00		0	0.00		1	0.04		1066	44.34		44	1.83		3	0.12		1	0.04		3	0.12		1117	46.46		3	0.12		0	0.00		0	0.00		3	0.12		0	0.00		1	0.04		1	0.04		2	0.08		5	0.21		2	0.08		0	0.00		7	0.29		260	10.82		50	2.08		2	0.08		0	0.00		0	0.00		312	12.98		0	0.00		0	0.00		0	0.00		0	0.00		2404	96.08		98	3.92		2502	3.00																																																																																																									
Gawler West		511	35.86		16	1.12		2	0.14		3	0.21		532	37.33		22	1.54		9	0.63		1	0.07		32	2.25		88	6.18		12	0.84		0	0.00		100	7.02		1	0.07		0	0.00		0	0.00		1	0.07		598	41.96		14	0.98		1	0.07		0	0.00		2	0.14		615	43.16		1	0.07		1	0.07		0	0.00		2	0.14		0	0.00		0	0.00		0	0.00		0	0.00		3	0.21		1	0.07		0	0.00		4	0.28		125	8.77		12	0.84		0	0.00		0	0.00		0	0.00		137	9.61		2	0.14		0	0.00		0	0.00		2	0.14		1425	95.38		69	4.62		1494	1.79																																																																																																									
Glossop		107	28.84		0	0.00		0	0.00		0	0.00		107	28.84		9	2.43		0	0.00		0	0.00		9	2.43		21	5.66		0	0.00		0	0.00		21	5.66		1	0.27		0	0.00		0	0.00		1	0.27		211	56.87		0	0.00		0	0.00		0	0.00		0	0.00		211	56.87		1	0.27		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		0	0.00		0	0.00		3	0.81		0	0.00		0	0.00		3	0.81		18	4.85		0	0.00		0	0.00		0	0.00		0	0.00		18	4.85		0	0.00		0	0.00		0	0.00		0	0.00		371	96.61		13	3.39		384	0.46																																																																																																									
Greenock		155	18.88		9	1.10		0	0.00		10	1.22		174	21.19		19	2.31		5	0.61		0	0.00		24	2.92		40	4.87		8	0.97		0	0.00		48	5.85		1	0.12		1	0.12		1	0.12		3	0.37		446	54.32		19	2.31		0	0.00		1	0.12		1	0.12		467	56.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.12		1	0.12		1	0.12		0	0.00		0	0.00		1	0.12		88	10.72		13	1.58		0	0.00		0	0.00		0	0.00		101	12.30		1	0.12		1	0.12		0	0.00		2	0.24		821	97.27		23	2.73		844	1.01																																																																																																									
Gumeracha		84	13.44		9	1.44		0	0.00		3	0.48		96	15.36		15	2.40		3	0.48		0	0.00		18	2.88		38	6.08		8	1.28		0	0.00		46	7.36		0	0.00		1	0.16		0	0.00		1	0.16		338	54.08		20	3.20		0	0.00		0	0.00		2	0.32		360	57.60		1	0.16		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		0	0.00		0	0.00		4	0.64		0	0.00		0	0.00		4	0.64		75	12.00		24	3.84		0	0.00		0	0.00		0	0.00		99	15.84		0	0.00		0	0.00		0	0.00		0	0.00		625	99.05		6	0.95		631	0.76																																																																																																									
