Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Mayo (86319)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Paracombe		41	14.75		9	3.24		9	3.24		1	0.36		182	65.47		0	0.00		0	0.00		0	0.00		35	12.59		1	0.36		278	96.86		9	3.14		287	0.34
Paradise		693	39.24		25	1.42		33	1.87		3	0.17		778	44.05		1	0.06		4	0.23		4	0.23		222	12.57		3	0.17		1766	94.90		95	5.10		1861	2.24
Piccadilly		77	15.81		35	7.19		8	1.64		0	0.00		261	53.59		0	0.00		0	0.00		2	0.41		104	21.36		0	0.00		487	97.21		14	2.79		501	0.60
Prospect Hill		12	8.51		13	9.22		7	4.96		0	0.00		93	65.96		0	0.00		0	0.00		0	0.00		16	11.35		0	0.00		141	98.60		2	1.40		143	0.17
Rostrevor		900	31.34		86	2.99		62	2.16		3	0.10		1406	48.96		3	0.10		4	0.14		2	0.07		404	14.07		2	0.07		2872	96.09		117	3.91		2989	3.59
Rostrevor South		205	24.20		33	3.90		20	2.36		0	0.00		445	52.54		0	0.00		0	0.00		2	0.24		141	16.65		1	0.12		847	96.36		32	3.64		879	1.06
Stirling East		219	18.96		86	7.45		16	1.39		0	0.00		606	52.47		2	0.17		1	0.09		2	0.17		223	19.31		0	0.00		1155	98.63		16	1.37		1171	1.41
Stirling West		362	17.00		237	11.13		31	1.46		4	0.19		1047	49.15		0	0.00		0	0.00		3	0.14		443	20.80		3	0.14		2130	98.07		42	1.93		2172	2.61
Strathalbyn		449	17.52		116	4.53		169	6.59		5	0.20		1504	58.68		6	0.23		2	0.08		8	0.31		300	11.71		4	0.16		2563	97.64		62	2.36		2625	3.16
Summertown		146	18.46		67	8.47		27	3.41		2	0.25		358	45.26		1	0.13		1	0.13		3	0.38		186	23.51		0	0.00		791	98.51		12	1.49		803	0.97
Upper Sturt		120	21.58		43	7.73		17	3.06		0	0.00		268	48.20		0	0.00		0	0.00		0	0.00		108	19.42		0	0.00		556	98.58		8	1.42		564	0.68
Uraidla		78	14.74		26	4.91		20	3.78		1	0.19		319	60.30		1	0.19		0	0.00		1	0.19		83	15.69		0	0.00		529	97.78		12	2.22		541	0.65
Willunga		392	21.92		119	6.66		61	3.41		2	0.11		918	51.34		2	0.11		2	0.11		1	0.06		290	16.22		1	0.06		1788	97.17		52	2.83		1840	2.21
Woodchester		47	17.41		14	5.19		25	9.26		0	0.00		150	55.56		0	0.00		0	0.00		0	0.00		34	12.59		0	0.00		270	97.47		7	2.53		277	0.33
Woodside		244	18.73		62	4.76		65	4.99		1	0.08		754	57.87		1	0.08		0	0.00		1	0.08		174	13.35		1	0.08		1303	97.68		31	2.32		1334	1.60
Special Hospitals		86	28.86		3	1.01		8	2.68		0	0.00		187	62.75		0	0.00		0	0.00		0	0.00		14	4.70		0	0.00		298	98.35		5	1.65		303	0.36
Total Ordinary		16260	23.34		3415	4.90		2335	3.35		88	0.13		35933	51.59		62	0.09		60	0.09		123	0.18		11307	16.23		71	0.10		69654	97.28		1948	2.72		71602	86.06
ABSENT		1455	25.38		346	6.04		188	3.28		8	0.14		2686	46.85		2	0.03		4	0.07		17	0.30		1015	17.70		12	0.21		5733	98.49		88	1.51		5821	7.00
POSTAL		518	19.50		105	3.95		113	4.25		3	0.11		1512	56.91		1	0.04		3	0.11		4	0.15		396	14.90		2	0.08		2657	99.33		18	0.67		2675	3.22
PRE_POLL		514	20.51		133	5.31		88	3.51		5	0.20		1282	51.16		2	0.08		1	0.04		8	0.32		471	18.79		2	0.08		2506	98.55		37	1.45		2543	3.06
PROVISIONAL		165	30.22		40	7.33		10	1.83		0	0.00		240	43.96		0	0.00		1	0.18		5	0.92		84	15.38		1	0.18		546	97.50		14	2.50		560	0.67
Division Summary		18912	23.32		4039	4.98		2734	3.37		104	0.13		41653	51.36		67	0.08		69	0.09		157	0.19		13273	16.37		88	0.11		81096	97.47		2105	2.53		83201	96.39
