House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Mayo (86319)											
		Candidate		"DOWNER, Alexander"		          	"BRENNAN, Delia"		             	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		Total	23	82	66.67		41	33.33		123	

	Highbury South (Mayo)										
			1st Prefs	1385	73.59		497	26.41		1882	
		"MCLAREN, John (DEM)"	260	108	41.54		152	58.46		260	
		"SPRAGG, Bill (IND)"	82	36	43.90		46	56.10		82	
		"CLARK, Dave (GRN)"	52	15	28.85		37	71.15		52	
		"THOMAS, Mike (HAN)"	75	58	77.33		17	22.67		75	
		"COOMBE, Howie F (IND)"	4	1	25.00		3	75.00		4	
		Total	473	1603	68.07		752	31.93		2355	

	Houghton										
			1st Prefs	364	83.11		74	16.89		438	
		"MCLAREN, John (DEM)"	94	28	29.79		66	70.21		94	
		"SPRAGG, Bill (IND)"	23	14	60.87		9	39.13		23	
		"CLARK, Dave (GRN)"	17	7	41.18		10	58.82		17	
		"THOMAS, Mike (HAN)"	18	14	77.78		4	22.22		18	
		"COOMBE, Howie F (IND)"	2	1	50.00		1	50.00		2	
		Total	154	428	72.30		164	27.70		592	

	Kangarilla										
			1st Prefs	276	77.75		79	22.25		355	
		"MCLAREN, John (DEM)"	102	32	31.37		70	68.63		102	
		"SPRAGG, Bill (IND)"	11	2	18.18		9	81.82		11	
		"CLARK, Dave (GRN)"	19	8	42.11		11	57.89		19	
		"THOMAS, Mike (HAN)"	16	5	31.25		11	68.75		16	
		"COOMBE, Howie F (IND)"	3	2	66.67		1	33.33		3	
		Total	151	325	64.23		181	35.77		506	

	Langhorne Creek										
			1st Prefs	192	91.43		18	8.57		210	
		"MCLAREN, John (DEM)"	17	8	47.06		9	52.94		17	
		"SPRAGG, Bill (IND)"	6	4	66.67		2	33.33		6	
		"CLARK, Dave (GRN)"	4	0	0.00		4	100.00		4	
		"THOMAS, Mike (HAN)"	9	4	44.44		5	55.56		9	
		"COOMBE, Howie F (IND)"	1	0	0.00		1	100.00		1	
		Total	37	208	84.21		39	15.79		247	

	Lenswood										
			1st Prefs	299	83.29		60	16.71		359	
		"MCLAREN, John (DEM)"	51	15	29.41		36	70.59		51	
		"SPRAGG, Bill (IND)"	16	7	43.75		9	56.25		16	
		"CLARK, Dave (GRN)"	20	7	35.00		13	65.00		20	
		"THOMAS, Mike (HAN)"	17	13	76.47		4	23.53		17	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	104	341	73.65		122	26.35		463	

	Littlehampton										
			1st Prefs	847	74.36		292	25.64		1139	
		"MCLAREN, John (DEM)"	255	102	40.00		153	60.00		255	
