Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Kingston (85398)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
O'Sullivan Beach		643	45.44		11	0.78		0	0.00		11	0.78		665	47.00		37	2.61		3	0.21		0	0.00		40	2.83		106	7.49		19	1.34		2	0.14		127	8.98		1	0.07		0	0.00		0	0.00		1	0.07		384	27.14		20	1.41		0	0.00		3	0.21		0	0.00		407	28.76		2	0.14		0	0.00		0	0.00		2	0.14		0	0.00		0	0.00		0	0.00		0	0.00		2	0.14		0	0.00		0	0.00		2	0.14		149	10.53		21	1.48		0	0.00		0	0.00		0	0.00		170	12.01		0	0.00		1	0.07		0	0.00		1	0.07		1415	97.12		42	2.88		1457	1.77																																																																																																									
Onkaparinga Hills		527	38.24		14	1.02		1	0.07		9	0.65		551	39.99		30	2.18		6	0.44		0	0.00		36	2.61		64	4.64		6	0.44		0	0.00		70	5.08		1	0.07		0	0.00		0	0.00		1	0.07		486	35.27		10	0.73		0	0.00		1	0.07		1	0.07		498	36.14		2	0.15		0	0.00		1	0.07		3	0.22		2	0.15		0	0.00		0	0.00		2	0.15		2	0.15		1	0.07		0	0.00		3	0.22		173	12.55		37	2.69		0	0.00		2	0.15		0	0.00		212	15.38		2	0.15		0	0.00		0	0.00		2	0.15		1378	97.39		37	2.61		1415	1.72																																																																																																									
Pimpala		697	34.25		24	1.18		0	0.00		11	0.54		732	35.97		25	1.23		8	0.39		1	0.05		34	1.67		67	3.29		12	0.59		0	0.00		79	3.88		2	0.10		0	0.00		0	0.00		2	0.10		855	42.01		32	1.57		0	0.00		1	0.05		0	0.00		888	43.64		2	0.10		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		1	0.05		0	0.00		2	0.10		242	11.89		52	2.56		0	0.00		0	0.00		1	0.05		295	14.50		0	0.00		0	0.00		1	0.05		1	0.05		2035	97.32		56	2.68		2091	2.54																																																																																																									
Port Noarlunga		539	34.03		18	1.14		2	0.13		10	0.63		569	35.92		61	3.85		20	1.26		3	0.19		84	5.30		81	5.11		12	0.76		1	0.06		94	5.93		2	0.13		0	0.00		1	0.06		3	0.19		579	36.55		21	1.33		0	0.00		2	0.13		1	0.06		603	38.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		195	12.31		35	2.21		0	0.00		0	0.00		0	0.00		230	14.52		1	0.06		0	0.00		0	0.00		1	0.06		1584	97.60		39	2.40		1623	1.97																																																																																																											
Reynella		918	33.42		12	0.44		6	0.22		11	0.40		947	34.47		31	1.13		6	0.22		1	0.04		38	1.38		83	3.02		26	0.95		3	0.11		112	4.08		3	0.11		1	0.04		0	0.00		4	0.15		1134	41.28		47	1.71		2	0.07		7	0.25		3	0.11		1193	43.43		2	0.07		0	0.00		0	0.00		2	0.07		1	0.04		0	0.00		0	0.00		1	0.04		8	0.29		2	0.07		0	0.00		10	0.36		374	13.61		59	2.15		1	0.04		1	0.04		0	0.00		435	15.84		5	0.18		0	0.00		0	0.00		5	0.18		2747	98.04		55	1.96		2802	3.41																																																																																																											
Reynella East		1174	33.29		33	0.94		7	0.20		18	0.51		1232	34.93		60	1.70		19	0.54		1	0.03		80	2.27		94	2.67		25	0.71		3	0.09		122	3.46		3	0.09		0	0.00		0	0.00		3	0.09		1449	41.08		39	1.11		5	0.14		1	0.03		5	0.14		1499	42.50		0	0.00		0	0.00		0	0.00		0	0.00		1	0.03		0	0.00		0	0.00		1	0.03		9	0.26		1	0.03		0	0.00		10	0.28		506	14.35		70	1.98		1	0.03		1	0.03		1	0.03		579	16.42		1	0.03		0	0.00		0	0.00		1	0.03		3527	97.00		109	3.00		3636	4.42																																																																																																											
Reynella South		1064	37.03		30	1.04		3	0.10		16	0.56		1113	38.74		52	1.81		6	0.21		1	0.03		59	2.05		124	4.32		20	0.70		1	0.03		145	5.05		0	0.00		0	0.00		0	0.00		0	0.00		1100	38.29		39	1.36		0	0.00		6	0.21		1	0.03		1146	39.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.07		1	0.03		0	0.00		3	0.10		352	12.25		51	1.78		0	0.00		0	0.00		1	0.03		404	14.06		2	0.07		1	0.03		0	0.00		3	0.10		2873	97.16		84	2.84		2957	3.59																																																																																																											
Seaford		836	36.11		32	1.38		6	0.26		12	0.52		886	38.27		66	2.85		16	0.69		1	0.04		83	3.59		132	5.70		25	1.08		2	0.09		159	6.87		2	0.09		0	0.00		0	0.00		2	0.09		830	35.85		26	1.12		1	0.04		3	0.13		1	0.04		861	37.19		1	0.04		0	0.00		1	0.04		2	0.09		1	0.04		0	0.00		0	0.00		1	0.04		1	0.04		3	0.13		0	0.00		4	0.17		269	11.62		47	2.03		0	0.00		0	0.00		0	0.00		316	13.65		1	0.04		0	0.00		0	0.00		1	0.04		2315	97.39		62	2.61		2377	2.89																																																																																																											
Seaford Rise		775	37.35		23	1.11		8	0.39		7	0.34		813	39.18		37	1.78		9	0.43		1	0.05		47	2.27		80	3.86		12	0.58		3	0.14		95	4.58		1	0.05		0	0.00		0	0.00		1	0.05		791	38.12		16	0.77		1	0.05		2	0.10		0	0.00		810	39.04		0	0.00		0	0.00		1	0.05		1	0.05		0	0.00		1	0.05		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		260	12.53		44	2.12		1	0.05		0	0.00		0	0.00		305	14.70		1	0.05		1	0.05		0	0.00		2	0.10		2075	96.96		65	3.04		2140	2.60																																																																																																											
Sellicks Beach		285	35.06		7	0.86		1	0.12		5	0.62		298	36.65		27	3.32		5	0.62		0	0.00		32	3.94		40	4.92		9	1.11		0	0.00		49	6.03		1	0.12		0	0.00		0	0.00		1	0.12		303	37.27		8	0.98		0	0.00		1	0.12		0	0.00		312	38.38		2	0.25		0	0.00		0	0.00		2	0.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.12		1	0.12		89	10.95		28	3.44		1	0.12		0	0.00		0	0.00		118	14.51		0	0.00		0	0.00		0	0.00		0	0.00		813	98.31		14	1.69		827	1.01																																																																																																											
Sheidow Park		863	33.40		25	0.97		5	0.19		10	0.39		903	34.95		55	2.13		9	0.35		2	0.08		66	2.55		86	3.33		9	0.35		0	0.00		95	3.68		0	0.00		0	0.00		0	0.00		0	0.00		1024	39.63		31	1.20		3	0.12		5	0.19		3	0.12		1066	41.25		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		5	0.19		0	0.00		0	0.00		5	0.19		377	14.59		70	2.71		0	0.00		1	0.04		0	0.00		448	17.34		0	0.00		0	0.00		0	0.00		0	0.00		2584	97.22		74	2.78		2658	3.23																																																																																																											
Trott Park		486	33.22		14	0.96		0	0.00		6	0.41		506	34.59		22	1.50		9	0.62		1	0.07		32	2.19		24	1.64		8	0.55		0	0.00		32	2.19		0	0.00		0	0.00		0	0.00		0	0.00		582	39.78		17	1.16		2	0.14		2	0.14		1	0.07		604	41.29		0	0.00		0	0.00		1	0.07		1	0.07		0	0.00		1	0.07		0	0.00		1	0.07		5	0.34		0	0.00		0	0.00		5	0.34		242	16.54		40	2.73		0	0.00		0	0.00		0	0.00		282	19.28		0	0.00		0	0.00		0	0.00		0	0.00		1463	98.39		24	1.61		1487	1.81																																																																																																											
Woodcroft		1358	31.27		35	0.81		6	0.14		18	0.41		1417	32.63		51	1.17		12	0.28		3	0.07		66	1.52		139	3.20		26	0.60		3	0.07		168	3.87		3	0.07		0	0.00		0	0.00		3	0.07		1968	45.31		66	1.52		2	0.05		2	0.05		4	0.09		2042	47.02		4	0.09		1	0.02		0	0.00		5	0.12		0	0.00		0	0.00		0	0.00		0	0.00		4	0.09		1	0.02		0	0.00		5	0.12		539	12.41		98	2.26		0	0.00		0	0.00		0	0.00		637	14.67		0	0.00		0	0.00		0	0.00		0	0.00		4343	96.53		156	3.47		4499	5.47																																																																																																											
Special Hospitals		116	33.82		2	0.58		0	0.00		0	0.00		118	34.40		3	0.87		0	0.00		0	0.00		3	0.87		6	1.75		2	0.58		0	0.00		8	2.33		0	0.00		0	0.00		0	0.00		0	0.00		195	56.85		3	0.87		0	0.00		0	0.00		0	0.00		198	57.73		1	0.29		0	0.00		0	0.00		1	0.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	3.79		2	0.58		0	0.00		0	0.00		0	0.00		15	4.37		0	0.00		0	0.00		0	0.00		0	0.00		343	95.81		15	4.19		358	0.44																																																																																																											
Total Ordinary		24682	36.03		653	0.95		103	0.15		348	0.51		25786	37.64		1553	2.27		382	0.56		32	0.05		1967	2.87		2763	4.03		447	0.65		34	0.05		3244	4.73		38	0.06		9	0.01		2	0.00		49	0.07		26234	38.29		875	1.28		33	0.05		81	0.12		37	0.05		27260	39.79		39	0.06		6	0.01		7	0.01		52	0.08		19	0.03		6	0.01		3	0.00		28	0.04		101	0.15		18	0.03		2	0.00		121	0.18		8441	12.32		1482	2.16		18	0.03		6	0.01		6	0.01		9953	14.53		34	0.05		6	0.01		12	0.02		52	0.08		68512	96.76		2293	3.24		70805	86.05																																																																																																											
