Senate - 2001 Election: Australian Capital Territory																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												


Fraser (112225)																																																																																																																																																																																																																																																												

	   		 A Australian Democrats												 B Christian Democratic Party (Fred Nile Group)												 C Australian Greens												 D Australian Labor Party (ACT Branch)												 E Liberal Party of Australia - ACT Division												 F Pauline Hanson's One Nation												Ungrouped																																																																																																																																																																																	
    			TICKET VOTES			SIEVERS			DUNDAS			Group Total			TICKET VOTES			MCCLURE			JANES			Group Total			TICKET VOTES			CORR			FAHEY			Group Total			TICKET VOTES			# LUNDY			POKE			Group Total			TICKET VOTES			# REID			HANLON			Group Total			TICKET VOTES			TARLINTON			TARLINTON			Group Total			ARNOLD			HELM			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																																																																		
    						Wayne			Roslyn Jane									Ian			Tim									Gary			Felicity									Kate			Robin									Margaret			Bill									Don			Ted						James T A			Ken																																																																																																																																																																														
Polling Places			Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																																																																																	
Kaleen South			117	6.98		43	2.56		24	1.43		184	10.97		28	1.67		19	1.13		2	0.12		49	2.92		58	3.46		33	1.97		16	0.95		107	6.38		580	34.59		141	8.41		4	0.24		725	43.23		475	28.32		58	3.46		7	0.42		540	32.20		37	2.21		10	0.60		1	0.06		48	2.86		2	0.12		22	1.31		24	1.43		1677	96.88		54	3.12		1731	1.63																																																																																																																																																															
Latham			117	5.99		37	1.89		23	1.18		177	9.06		38	1.95		6	0.31		1	0.05		45	2.30		51	2.61		30	1.54		5	0.26		86	4.40		722	36.97		122	6.25		10	0.51		854	43.73		610	31.23		81	4.15		7	0.36		698	35.74		41	2.10		11	0.56		1	0.05		53	2.71		0	0.00		40	2.05		40	2.05		1953	97.46		51	2.54		2004	1.88																																																																																																																																																															
Lyneham			241	6.59		147	4.02		47	1.28		435	11.89		23	0.63		15	0.41		2	0.05		40	1.09		279	7.63		270	7.38		93	2.54		642	17.55		1175	32.11		368	10.06		14	0.38		1557	42.55		712	19.46		129	3.53		4	0.11		845	23.09		35	0.96		13	0.36		4	0.11		52	1.42		1	0.03		87	2.38		88	2.41		3659	96.49		133	3.51		3792	3.56																																																																																																																																																															
Macgregor			133	7.50		35	1.97		19	1.07		187	10.54		24	1.35		8	0.45		0	0.00		32	1.80		64	3.61		36	2.03		9	0.51		109	6.14		683	38.50		127	7.16		9	0.51		819	46.17		464	26.16		67	3.78		6	0.34		537	30.27		44	2.48		11	0.62		1	0.06		56	3.16		1	0.06		33	1.86		34	1.92		1774	98.34		30	1.66		1804	1.70																																																																																																																																																															
Macquarie			130	7.56		75	4.36		32	1.86		237	13.78		25	1.45		20	1.16		0	0.00		45	2.62		87	5.06		73	4.24		16	0.93		176	10.23		549	31.92		156	9.07		4	0.23		709	41.22		395	22.97		66	3.84		7	0.41		468	27.21		29	1.69		11	0.64		1	0.06		41	2.38		1	0.06		43	2.50		44	2.56		1720	97.23		49	2.77		1769	1.66																																																																																																																																																															
Melba			165	7.23		77	3.37		23	1.01		265	11.61		31	1.36		11	0.48		3	0.13		45	1.97		82	3.59		41	1.80		15	0.66		138	6.04		797	34.91		164	7.18		8	0.35		969	42.44		676	29.61		95	4.16		10	0.44		781	34.21		33	1.45		6	0.26		0	0.00		39	1.71		2	0.09		44	1.93		46	2.01		2283	97.73		53	2.27		2336	2.20																																																																																																																																																															
Narrabundah			125	6.82		60	3.27		14	0.76		199	10.86		12	0.65		3	0.16		1	0.05		16	0.87		73	3.98		48	2.62		21	1.15		142	7.75		767	41.84		151	8.24		7	0.38		925	50.46		418	22.80		48	2.62		7	0.38		473	25.80		38	2.07		6	0.33		0	0.00		44	2.40		1	0.05		33	1.80		34	1.85		1833	95.82		80	4.18		1913	1.80																																																																																																																																																															
Ngunnawal			226	7.92		59	2.07		21	0.74		306	10.72		25	0.88		32	1.12		4	0.14		61	2.14		85	2.98		26	0.91		9	0.32		120	4.20		1044	36.57		154	5.39		13	0.46		1211	42.42		993	34.78		79	2.77		12	0.42		1084	37.97		43	1.51		12	0.42		2	0.07		57	2.00		0	0.00		16	0.56		16	0.56		2855	98.01		58	1.99		2913	2.74																																																																																																																																																															
Ngunnawal South			88	8.26		23	2.16		16	1.50		127	11.91		18	1.69		5	0.47		2	0.19		25	2.35		25	2.35		15	1.41		3	0.28		43	4.03		350	32.83		57	5.35		4	0.38		411	38.56		365	34.24		48	4.50		7	0.66		420	39.40		19	1.78		7	0.66		0	0.00		26	2.44		0	0.00		14	1.31		14	1.31		1066	99.44		6	0.56		1072	1.01																																																																																																																																																															
Nicholls			237	8.69		68	2.49		23	0.84		328	12.02		17	0.62		19	0.70		3	0.11		39	1.43		34	1.25		23	0.84		4	0.15		61	2.24		921	33.76		161	5.90		6	0.22		1088	39.88		991	36.33		111	4.07		14	0.51		1116	40.91		36	1.32		7	0.26		1	0.04		44	1.61		2	0.07		50	1.83		52	1.91		2728	98.16		51	1.84		2779	2.61																																																																																																																																																															
