Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	357	0.45	 	937	1.19	 	571	0.72	 	1182	1.5	 	21797	27.66	 	162	0.21	 	5512	7	 	426	0.54	 	602	0.76	 	436	0.55	 	446	0.57	 	46349	58.82	 	19	0.02	 	78796	97.86	 	1727	2.14	 	80523	96.15
 																																																	


Bonython (77877)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Bonython)		                        	0	0	 	3	3.13	 	0	0	 	2	2.08	 	54	56.25	 	0	0	 	20	20.83	 	0	0	 	0	0	 	0	0	 	0	0	 	17	17.71	 	0	0	 	96	96	 	4	4	 	100	0.13
Angle Vale		                                 	10	0.94	 	13	1.22	 	1	0.09	 	10	0.94	 	407	38.22	 	6	0.56	 	98	9.2	 	2	0.19	 	7	0.66	 	2	0.19	 	10	0.94	 	499	46.85	 	0	0	 	1065	97.89	 	23	2.11	 	1088	1.47
Brahma Lodge		                               	14	0.66	 	31	1.47	 	7	0.33	 	50	2.37	 	1124	53.27	 	8	0.38	 	230	10.9	 	5	0.24	 	6	0.28	 	20	0.95	 	10	0.47	 	604	28.63	 	1	0.05	 	2110	96.92	 	67	3.08	 	2177	2.94
Craigmore		                                  	3	0.32	 	14	1.5	 	6	0.64	 	11	1.18	 	487	52.03	 	0	0	 	112	11.97	 	2	0.21	 	4	0.43	 	2	0.21	 	2	0.21	 	293	31.3	 	0	0	 	936	98.22	 	17	1.78	 	953	1.29
Craigmore South		                            	8	0.28	 	47	1.64	 	7	0.24	 	69	2.4	 	1451	50.49	 	2	0.07	 	320	11.13	 	11	0.38	 	26	0.9	 	15	0.52	 	4	0.14	 	912	31.73	 	2	0.07	 	2874	98.56	 	42	1.44	 	2916	3.94
Direk		                                      	3	0.51	 	7	1.19	 	2	0.34	 	8	1.36	 	367	62.52	 	0	0	 	57	9.71	 	0	0	 	1	0.17	 	0	0	 	4	0.68	 	138	23.51	 	0	0	 	587	98.32	 	10	1.68	 	597	0.81
Elizabeth		                                  	6	0.75	 	7	0.88	 	5	0.63	 	13	1.63	 	377	47.3	 	6	0.75	 	95	11.92	 	3	0.38	 	6	0.75	 	7	0.88	 	2	0.25	 	270	33.88	 	0	0	 	797	97.2	 	23	2.8	 	820	1.11
Elizabeth Downs		                            	14	0.45	 	52	1.67	 	10	0.32	 	35	1.12	 	1768	56.7	 	10	0.32	 	396	12.7	 	21	0.67	 	10	0.32	 	34	1.09	 	8	0.26	 	760	24.37	 	0	0	 	3118	97.83	 	69	2.17	 	3187	4.3
Elizabeth East		                             	20	0.81	 	26	1.05	 	9	0.36	 	37	1.5	 	1298	52.61	 	7	0.28	 	277	11.23	 	19	0.77	 	8	0.32	 	46	1.86	 	16	0.65	 	703	28.5	 	1	0.04	 	2467	98.05	 	49	1.95	 	2516	3.4
Elizabeth Field		                            	19	0.95	 	38	1.9	 	4	0.2	 	14	0.7	 	1173	58.56	 	11	0.55	 	214	10.68	 	14	0.7	 	7	0.35	 	22	1.1	 	9	0.45	 	477	23.81	 	1	0.05	 	2003	96.9	 	64	3.1	 	2067	2.79
Elizabeth Grove		                            	6	0.45	 	11	0.83	 	2	0.15	 	15	1.13	 	719	54.31	 	10	0.76	 	176	13.29	 	9	0.68	 	8	0.6	 	13	0.98	 	4	0.3	 	350	26.44	 	1	0.08	 	1324	98.15	 	25	1.85	 	1349	1.82
Elizabeth North		                            	12	0.57	 	28	1.32	 	13	0.61	 	16	0.75	 	1206	56.89	 	10	0.47	 	302	14.25	 	7	0.33	 	12	0.57	 	36	1.7	 	12	0.57	 	463	21.84	 	3	0.14	 	2120	96.63	 	74	3.37	 	2194	2.96
Elizabeth Park		                             	12	0.54	 	41	1.84	 	7	0.31	 	42	1.89	 	1147	51.48	 	11	0.49	 	281	12.61	 	16	0.72	 	10	0.45	 	37	1.66	 	10	0.45	 	612	27.47	 	2	0.09	 	2228	97.89	 	48	2.11	 	2276	3.07
Elizabeth South		                            	22	0.92	 	44	1.84	 	8	0.33	 	33	1.38	 	1389	58	 	10	0.42	 	267	11.15	 	11	0.46	 	12	0.5	 	31	1.29	 	12	0.5	 	555	23.17	 	1	0.04	 	2395	96.85	 	78	3.15	 	2473	3.34
Elizabeth Vale		                             	18	0.6	 	32	1.06	 	6	0.2	 	43	1.43	 	1522	50.53	 	9	0.3	 	328	10.89	 	11	0.37	 	36	1.2	 	38	1.26	 	15	0.5	 	953	31.64	 	1	0.03	 	3012	97.63	 	73	2.37	 	3085	4.16
Elizabeth West		                             	10	0.59	 	20	1.17	 	7	0.41	 	16	0.94	 	1002	58.8	 	4	0.23	 	216	12.68	 	5	0.29	 	26	1.53	 	16	0.94	 	9	0.53	 	372	21.83	 	1	0.06	 	1704	96.43	 	63	3.57	 	1767	2.39
Hillbank		                                   	3	0.22	 	13	0.97	 	1	0.07	 	18	1.35	 	571	42.68	 	5	0.37	 	163	12.18	 	5	0.37	 	7	0.52	 	8	0.6	 	8	0.6	 	536	40.06	 	0	0	 	1338	98.31	 	23	1.69	 	1361	1.84
Munno Para		                                 	5	0.47	 	13	1.22	 	2	0.19	 	32	3.01	 	575	54.09	 	0	0	 	131	12.32	 	0	0	 	7	0.66	 	5	0.47	 	1	0.09	 	291	27.38	 	1	0.09	 	1063	98.52	 	16	1.48	 	1079	1.46
One Tree Hill		                              	0	0	 	9	1.39	 	2	0.31	 	5	0.77	 	228	35.24	 	1	0.15	 	67	10.36	 	3	0.46	 	4	0.62	 	9	1.39	 	3	0.46	 	315	48.69	 	1	0.15	 	647	98.78	 	8	1.22	 	655	0.88
Parafield Gardens		                          	14	0.85	 	25	1.52	 	4	0.24	 	29	1.76	 	996	60.47	 	7	0.43	 	193	11.72	 	7	0.43	 	3	0.18	 	16	0.97	 	8	0.49	 	345	20.95	 	0	0	 	1647	96.54	 	59	3.46	 	1706	2.3
Parafield Gardens Central		                  	23	0.53	 	39	0.9	 	14	0.32	 	44	1.02	 	2494	57.74	 	14	0.32	 	509	11.79	 	17	0.39	 	8	0.19	 	16	0.37	 	29	0.67	 	1108	25.65	 	4	0.09	 	4319	96.93	 	137	3.07	 	4456	6.02
Parafield Gardens North West		               	10	0.34	 	43	1.46	 	14	0.47	 	36	1.22	 	1594	53.94	 	6	0.2	 	317	10.73	 	10	0.34	 	12	0.41	 	7	0.24	 	16	0.54	 	888	30.05	 	2	0.07	 	2955	97.27	 	83	2.73	 	3038	4.1
Paralowie		                                  	12	0.28	 	48	1.13	 	13	0.31	 	38	0.9	 	2472	58.44	 	11	0.26	 	448	10.59	 	11	0.26	 	10	0.24	 	16	0.38	 	12	0.28	 	1137	26.88	 	2	0.05	 	4230	97.58	 	105	2.42	 	4335	5.85
Salisbury		                                  	9	0.48	 	34	1.82	 	9	0.48	 	34	1.82	 	863	46.22	 	10	0.54	 	205	10.98	 	14	0.75	 	10	0.54	 	13	0.7	 	3	0.16	 	663	35.51	 	0	0	 	1867	96.74	 	63	3.26	 	1930	2.61
Salisbury Central		                          	18	0.86	 	35	1.67	 	6	0.29	 	30	1.44	 	935	44.74	 	8	0.38	 	227	10.86	 	17	0.81	 	21	1	 	24	1.15	 	10	0.48	 	757	36.22	 	2	0.1	 	2090	95.65	 	95	4.35	 	2185	2.95
Salisbury Downs		                            	14	0.53	 	37	1.4	 	7	0.27	 	47	1.78	 	1343	50.93	 	13	0.49	 	278	10.54	 	12	0.46	 	13	0.49	 	11	0.42	 	8	0.3	 	854	32.39	 	0	0	 	2637	97.13	 	78	2.87	 	2715	3.67
Salisbury North		                            	22	0.65	 	47	1.4	 	8	0.24	 	17	0.5	 	2001	59.43	 	13	0.39	 	427	12.68	 	12	0.36	 	7	0.21	 	22	0.65	 	15	0.45	 	776	23.05	 	0	0	 	3367	96.5	 	122	3.5	 	3489	4.71
Salisbury North West		                       	19	0.57	 	45	1.35	 	4	0.12	 	48	1.44	 	2007	60.18	 	7	0.21	 	326	9.78	 	8	0.24	 	12	0.36	 	15	0.45	 	11	0.33	 	833	24.98	 	0	0	 	3335	97.49	 	86	2.51	 	3421	4.62
Salisbury Park		                             	5	0.25	 	31	1.54	 	2	0.1	 	24	1.19	 	988	49.03	 	5	0.25	 	221	10.97	 	3	0.15	 	5	0.25	 	8	0.4	 	10	0.5	 	713	35.38	 	0	0	 	2015	97.53	 	51	2.47	 	2066	2.79
Smithfield		                                 	9	0.66	 	24	1.76	 	3	0.22	 	20	1.47	 	782	57.29	 	2	0.15	 	168	12.31	 	6	0.44	 	7	0.51	 	9	0.66	 	6	0.44	 	329	24.1	 	0	0	 	1365	96.88	 	44	3.12	 	1409	1.9
Smithfield Plains		                          	18	0.99	 	22	1.21	 	2	0.11	 	9	0.5	 	1103	60.91	 	8	0.44	 	223	12.31	 	9	0.5	 	7	0.39	 	9	0.5	 	10	0.55	 	389	21.48	 	2	0.11	 	1811	96.84	 	59	3.16	 	1870	2.52
Virginia		                                   	11	0.93	 	12	1.01	 	5	0.42	 	5	0.42	 	380	32.01	 	5	0.42	 	69	5.81	 	4	0.34	 	15	1.26	 	2	0.17	 	8	0.67	 	671	56.53	 	0	0	 	1187	93.61	 	81	6.39	 	1268	1.71
Special Hospitals		                          	3	1.12	 	7	2.62	 	2	0.75	 	3	1.12	 	137	51.31	 	1	0.37	 	21	7.87	 	2	0.75	 	3	1.12	 	1	0.37	 	1	0.37	 	86	32.21	 	0	0	 	267	95.36	 	13	4.64	 	280	0.38
Total Ordinary		                             	372	0.57	 	898	1.38	 	192	0.3	 	853	1.31	 	34960	53.8	 	220	0.34	 	7382	11.36	 	276	0.42	 	330	0.51	 	510	0.78	 	286	0.44	 	18669	28.73	 	28	0.04	 	64976	97.23	 	1852	2.77	 	66828	90.21
ABSENT		                                     	23	0.57	 	112	2.8	 	14	0.35	 	70	1.75	 	2052	51.3	 	14	0.35	 	410	10.25	 	19	0.47	 	17	0.43	 	26	0.65	 	30	0.75	 	1213	30.33	 	0	0	 	4000	97.66	 	96	2.34	 	4096	5.53
POSTAL		                                     	4	0.3	 	27	2.01	 	12	0.89	 	24	1.79	 	676	50.3	 	5	0.37	 	102	7.59	 	7	0.52	 	7	0.52	 	44	3.27	 	15	1.12	 	419	31.18	 	2	0.15	 	1344	98.32	 	23	1.68	 	1367	1.85
PRE_POLL		                                   	7	0.45	 	45	2.92	 	13	0.84	 	25	1.62	 	726	47.11	 	3	0.19	 	132	8.57	 	5	0.32	 	13	0.84	 	14	0.91	 	8	0.52	 	550	35.69	 	0	0	 	1541	98.4	 	25	1.6	 	1566	2.11
PROVISIONAL		                                	4	1.83	 	4	1.83	 	0	0	 	3	1.38	 	119	54.59	 	0	0	 	21	9.63	 	2	0.92	 	2	0.92	 	1	0.46	 	0	0	 	62	28.44	 	0	0	 	218	98.64	 	3	1.36	 	221	0.3
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	410	0.57	 	1086	1.51	 	231	0.32	 	975	1.35	 	38533	53.46	 	242	0.34	 	8047	11.16	 	309	0.43	 	369	0.51	 	595	0.83	 	339	0.47	 	20913	29.01	 	30	0.04	 	72079	97.3	 	1999	2.7	 	74078	95.12
 																																																	


Boothby (85021)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bedford Park		                               	4	0.48	 	14	1.68	 	3	0.36	 	12	1.44	 	293	35.17	 	5	0.6	 	87	10.44	 	17	2.04	 	5	0.6	 	3	0.36	 	0	0	 	390	46.82	 	0	0	 	833	97.43	 	22	2.57	 	855	1.05
Belair		                                     	5	0.12	 	98	2.39	 	5	0.12	 	50	1.22	 	934	22.79	 	3	0.07	 	671	16.37	 	63	1.54	 	9	0.22	 	21	0.51	 	8	0.2	 	2228	54.37	 	3	0.07	 	4098	98.96	 	43	1.04	 	4141	5.09
Bellevue Heights		                           	6	0.28	 	49	2.28	 	5	0.23	 	15	0.7	 	518	24.06	 	3	0.14	 	255	11.84	 	10	0.46	 	5	0.23	 	10	0.46	 	4	0.19	 	1272	59.08	 	1	0.05	 	2153	99.08	 	20	0.92	 	2173	2.67
Blackwood		                                  	2	0.09	 	63	2.88	 	3	0.14	 	26	1.19	 	556	25.43	 	4	0.18	 	345	15.78	 	30	1.37	 	3	0.14	 	10	0.46	 	4	0.18	 	1139	52.1	 	1	0.05	 	2186	98.69	 	29	1.31	 	2215	2.72
Blackwood Central		                          	2	0.13	 	53	3.32	 	3	0.19	 	29	1.81	 	443	27.72	 	2	0.13	 	255	15.96	 	22	1.38	 	5	0.31	 	2	0.13	 	4	0.25	 	778	48.69	 	0	0	 	1598	98.89	 	18	1.11	 	1616	1.98
Brighton		                                   	9	0.27	 	67	1.98	 	5	0.15	 	35	1.04	 	977	28.91	 	10	0.3	 	369	10.92	 	47	1.39	 	12	0.36	 	53	1.57	 	12	0.36	 	1783	52.77	 	0	0	 	3379	98.63	 	47	1.37	 	3426	4.21
Brighton South		                             	5	0.42	 	16	1.35	 	2	0.17	 	12	1.01	 	362	30.47	 	1	0.08	 	136	11.45	 	16	1.35	 	2	0.17	 	14	1.18	 	0	0	 	620	52.19	 	2	0.17	 	1188	97.7	 	28	2.3	 	1216	1.49
Clapham		                                    	6	0.26	 	35	1.53	 	5	0.22	 	18	0.78	 	560	24.4	 	4	0.17	 	284	12.37	 	44	1.92	 	1	0.04	 	15	0.65	 	3	0.13	 	1320	57.52	 	0	0	 	2295	98.33	 	39	1.67	 	2334	2.87
Clarence Gardens		                           	2	0.22	 	23	2.58	 	0	0	 	7	0.78	 	320	35.83	 	5	0.56	 	87	9.74	 	15	1.68	 	2	0.22	 	5	0.56	 	2	0.22	 	424	47.48	 	1	0.11	 	893	98.67	 	12	1.33	 	905	1.11
Colonel Light Gardens		                      	5	0.33	 	20	1.34	 	3	0.2	 	13	0.87	 	472	31.59	 	2	0.13	 	225	15.06	 	33	2.21	 	8	0.54	 	15	1	 	2	0.13	 	696	46.59	 	0	0	 	1494	98.74	 	19	1.26	 	1513	1.86
Coromandel Valley (Boothby)		                	2	0.62	 	4	1.23	 	0	0	 	4	1.23	 	76	23.38	 	0	0	 	54	16.62	 	10	3.08	 	0	0	 	0	0	 	1	0.31	 	174	53.54	 	0	0	 	325	99.39	 	2	0.61	 	327	0.4
Darlington		                                 	9	0.4	 	29	1.28	 	10	0.44	 	19	0.84	 	992	43.89	 	3	0.13	 	236	10.44	 	30	1.33	 	20	0.88	 	53	2.35	 	11	0.49	 	847	37.48	 	1	0.04	 	2260	97.54	 	57	2.46	 	2317	2.85
Daw Park		                                   	7	0.37	 	31	1.62	 	6	0.31	 	30	1.57	 	686	35.9	 	6	0.31	 	233	12.19	 	22	1.15	 	5	0.26	 	20	1.05	 	5	0.26	 	858	44.9	 	2	0.1	 	1911	97.4	 	51	2.6	 	1962	2.41
Dover Gardens		                              	6	0.32	 	28	1.5	 	5	0.27	 	22	1.18	 	798	42.88	 	12	0.64	 	231	12.41	 	22	1.18	 	1	0.05	 	31	1.67	 	6	0.32	 	699	37.56	 	0	0	 	1861	97.49	 	48	2.51	 	1909	2.34
Eden Hills		                                 	3	0.22	 	43	3.19	 	4	0.3	 	13	0.96	 	418	31.01	 	1	0.07	 	213	15.8	 	23	1.71	 	9	0.67	 	7	0.52	 	6	0.45	 	608	45.1	 	0	0	 	1348	99.12	 	12	0.88	 	1360	1.67
Hawthorn		                                   	1	0.15	 	14	2.04	 	3	0.44	 	7	1.02	 	140	20.41	 	1	0.15	 	82	11.95	 	7	1.02	 	4	0.58	 	3	0.44	 	1	0.15	 	423	61.66	 	0	0	 	686	98.42	 	11	1.58	 	697	0.86
Hawthorndene		                               	3	0.18	 	40	2.39	 	3	0.18	 	15	0.89	 	417	24.87	 	6	0.36	 	300	17.89	 	23	1.37	 	4	0.24	 	9	0.54	 	2	0.12	 	853	50.86	 	2	0.12	 	1677	98.94	 	18	1.06	 	1695	2.08
Hawthorn West		                              	4	0.23	 	37	2.09	 	6	0.34	 	22	1.24	 	423	23.86	 	3	0.17	 	229	12.92	 	17	0.96	 	4	0.23	 	11	0.62	 	7	0.39	 	1010	56.97	 	0	0	 	1773	98.28	 	31	1.72	 	1804	2.22
Kingswood		                                  	9	0.64	 	28	1.98	 	9	0.64	 	18	1.27	 	355	25.07	 	0	0	 	186	13.14	 	26	1.84	 	6	0.42	 	7	0.49	 	3	0.21	 	769	54.31	 	0	0	 	1416	98.74	 	18	1.26	 	1434	1.76
Marino		                                     	3	0.2	 	34	2.29	 	2	0.13	 	8	0.54	 	449	30.22	 	3	0.2	 	172	11.57	 	13	0.87	 	4	0.27	 	12	0.81	 	6	0.4	 	780	52.49	 	0	0	 	1486	98.74	 	19	1.26	 	1505	1.85
Marion		                                     	7	0.56	 	28	2.25	 	0	0	 	8	0.64	 	457	36.71	 	1	0.08	 	116	9.32	 	5	0.4	 	12	0.96	 	6	0.48	 	6	0.48	 	599	48.11	 	0	0	 	1245	97.95	 	26	2.05	 	1271	1.56
Melrose Park		                               	10	0.46	 	29	1.33	 	9	0.41	 	38	1.74	 	768	35.1	 	8	0.37	 	248	11.33	 	28	1.28	 	10	0.46	 	12	0.55	 	3	0.14	 	1024	46.8	 	1	0.05	 	2188	97.81	 	49	2.19	 	2237	2.75
Mitcham		                                    	1	0.04	 	37	1.56	 	5	0.21	 	26	1.09	 	511	21.5	 	3	0.13	 	302	12.71	 	24	1.01	 	8	0.34	 	4	0.17	 	9	0.38	 	1447	60.88	 	0	0	 	2377	98.14	 	45	1.86	 	2422	2.97
Mitchell Park		                              	11	0.52	 	37	1.74	 	2	0.09	 	31	1.46	 	948	44.7	 	5	0.24	 	232	10.94	 	25	1.18	 	22	1.04	 	14	0.66	 	5	0.24	 	789	37.2	 	0	0	 	2121	97.34	 	58	2.66	 	2179	2.68
Netherby		                                   	2	0.12	 	9	0.56	 	1	0.06	 	6	0.37	 	203	12.63	 	4	0.25	 	81	5.04	 	16	1	 	16	1	 	4	0.25	 	4	0.25	 	1258	78.28	 	3	0.19	 	1607	98.77	 	20	1.23	 	1627	2
North Brighton		                             	2	0.12	 	30	1.82	 	2	0.12	 	12	0.73	 	474	28.83	 	4	0.24	 	201	12.23	 	22	1.34	 	5	0.3	 	10	0.61	 	4	0.24	 	878	53.41	 	0	0	 	1644	98.03	 	33	1.97	 	1677	2.06
Oaklands Park		                              	5	0.25	 	25	1.23	 	5	0.25	 	18	0.89	 	773	38.14	 	7	0.35	 	247	12.19	 	20	0.99	 	18	0.89	 	24	1.18	 	5	0.25	 	880	43.41	 	0	0	 	2027	98.21	 	37	1.79	 	2064	2.53
Panorama		                                   	5	0.29	 	28	1.62	 	3	0.17	 	29	1.68	 	418	24.18	 	3	0.17	 	164	9.49	 	9	0.52	 	6	0.35	 	5	0.29	 	5	0.29	 	1054	60.96	 	0	0	 	1729	98.24	 	31	1.76	 	1760	2.16
Pasadena		                                   	6	0.35	 	25	1.45	 	5	0.29	 	18	1.04	 	642	37.26	 	7	0.41	 	168	9.75	 	12	0.7	 	9	0.52	 	18	1.04	 	8	0.46	 	803	46.6	 	2	0.12	 	1723	97.57	 	43	2.43	 	1766	2.17
St Marys		                                   	5	0.19	 	43	1.6	 	7	0.26	 	44	1.64	 	1144	42.62	 	8	0.3	 	279	10.39	 	31	1.15	 	30	1.12	 	21	0.78	 	14	0.52	 	1057	39.38	 	1	0.04	 	2684	96.93	 	85	3.07	 	2769	3.4
Seacliff		                                   	2	0.1	 	46	2.31	 	3	0.15	 	10	0.5	 	614	30.84	 	3	0.15	 	240	12.05	 	38	1.91	 	6	0.3	 	19	0.95	 	5	0.25	 	1005	50.48	 	0	0	 	1991	98.22	 	36	1.78	 	2027	2.49
Seacombe Heights		                           	8	0.37	 	19	0.88	 	3	0.14	 	14	0.65	 	812	37.66	 	2	0.09	 	257	11.92	 	26	1.21	 	11	0.51	 	31	1.44	 	10	0.46	 	962	44.62	 	1	0.05	 	2156	98.72	 	28	1.28	 	2184	2.68
Seaview Downs		                              	7	0.38	 	24	1.29	 	3	0.16	 	15	0.81	 	595	31.94	 	0	0	 	171	9.18	 	20	1.07	 	5	0.27	 	12	0.64	 	5	0.27	 	1004	53.89	 	2	0.11	 	1863	98.36	 	31	1.64	 	1894	2.33
Sturt		                                      	3	0.2	 	12	0.8	 	2	0.13	 	15	1	 	569	37.98	 	11	0.73	 	168	11.21	 	6	0.4	 	10	0.67	 	12	0.8	 	4	0.27	 	686	45.79	 	0	0	 	1498	97.27	 	42	2.73	 	1540	1.89
Tonsley Park		                               	11	0.55	 	23	1.15	 	4	0.2	 	24	1.2	 	1121	56.25	 	10	0.5	 	209	10.49	 	17	0.85	 	8	0.4	 	15	0.75	 	9	0.45	 	539	27.04	 	3	0.15	 	1993	97.31	 	55	2.69	 	2048	2.52
Warradale		                                  	8	0.26	 	43	1.4	 	5	0.16	 	22	0.72	 	1105	36.08	 	8	0.26	 	285	9.3	 	28	0.91	 	13	0.42	 	45	1.47	 	6	0.2	 	1494	48.78	 	1	0.03	 	3063	98.62	 	43	1.38	 	3106	3.81
Westbourne Park		                            	7	0.44	 	34	2.14	 	4	0.25	 	10	0.63	 	521	32.75	 	3	0.19	 	182	11.44	 	16	1.01	 	4	0.25	 	6	0.38	 	7	0.44	 	797	50.09	 	0	0	 	1591	97.91	 	34	2.09	 	1625	2
West Brighton		                              	5	0.33	 	29	1.93	 	3	0.2	 	6	0.4	 	349	23.17	 	1	0.07	 	152	10.09	 	17	1.13	 	1	0.07	 	17	1.13	 	2	0.13	 	924	61.35	 	0	0	 	1506	98.62	 	21	1.38	 	1527	1.88
Special Hospitals		                          	7	1.1	 	2	0.31	 	3	0.47	 	3	0.47	 	165	25.94	 	3	0.47	 	32	5.03	 	2	0.31	 	9	1.42	 	7	1.1	 	0	0	 	403	63.36	 	0	0	 	636	95.78	 	28	4.22	 	664	0.82
Total Ordinary		                             	205	0.29	 	1249	1.77	 	151	0.21	 	724	1.03	 	22378	31.74	 	165	0.23	 	8384	11.89	 	852	1.21	 	312	0.44	 	583	0.83	 	198	0.28	 	35274	50.03	 	27	0.04	 	70502	98.2	 	1289	1.8	 	71791	88.17
ABSENT		                                     	11	0.24	 	142	3.15	 	9	0.2	 	47	1.04	 	1524	33.86	 	10	0.22	 	568	12.62	 	53	1.18	 	19	0.42	 	20	0.44	 	17	0.38	 	2080	46.21	 	1	0.02	 	4501	98.58	 	65	1.42	 	4566	5.61
POSTAL		                                     	4	0.17	 	47	1.99	 	13	0.55	 	25	1.06	 	714	30.19	 	2	0.08	 	206	8.71	 	13	0.55	 	7	0.3	 	49	2.07	 	6	0.25	 	1277	54	 	2	0.08	 	2365	99.37	 	15	0.63	 	2380	2.92
PRE_POLL		                                   	10	0.42	 	75	3.11	 	10	0.42	 	25	1.04	 	706	29.31	 	7	0.29	 	242	10.05	 	25	1.04	 	11	0.46	 	27	1.12	 	12	0.5	 	1256	52.14	 	3	0.12	 	2409	98.45	 	38	1.55	 	2447	3.01
PROVISIONAL		                                	8	3.28	 	4	1.64	 	0	0	 	3	1.23	 	95	38.93	 	1	0.41	 	19	7.79	 	4	1.64	 	0	0	 	1	0.41	 	4	1.64	 	105	43.03	 	0	0	 	244	98.39	 	4	1.61	 	248	0.3
ADJUSTMENT		                                 	-5		       	3		       	-1		       	2		       	-3		       	1		       	-7		       	0		       	0		       	0		       	-1		       	-9		       	3		       	-17		       	6		       	-11	
Division Summary		                           	233	0.29	 	1520	1.9	 	182	0.23	 	826	1.03	 	25414	31.77	 	186	0.23	 	9412	11.76	 	947	1.18	 	349	0.44	 	680	0.85	 	236	0.29	 	39983	49.98	 	36	0.04	 	80004	98.26	 	1417	1.74	 	81421	95.77
 																																																	


Grey (86386)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Andamooka		                                  	2	1.14	 	1	0.57	 	0	0	 	1	0.57	 	49	28	 	0	0	 	2	1.14	 	0	0	 	18	10.29	 	3	1.71	 	2	1.14	 	97	55.43	 	0	0	 	175	93.09	 	13	6.91	 	188	0.23
Arno Bay		                                   	1	0.45	 	2	0.9	 	13	5.86	 	3	1.35	 	31	13.96	 	0	0	 	11	4.95	 	0	0	 	2	0.9	 	0	0	 	0	0	 	159	71.62	 	0	0	 	222	97.37	 	6	2.63	 	228	0.28
Blyth		                                      	0	0	 	3	0.89	 	11	3.25	 	0	0	 	31	9.17	 	1	0.3	 	8	2.37	 	1	0.3	 	3	0.89	 	2	0.59	 	0	0	 	278	82.25	 	0	0	 	338	98.54	 	5	1.46	 	343	0.42
Booborowie		                                 	0	0	 	1	0.52	 	8	4.19	 	2	1.05	 	25	13.09	 	0	0	 	7	3.66	 	0	0	 	1	0.52	 	0	0	 	0	0	 	147	76.96	 	0	0	 	191	99.48	 	1	0.52	 	192	0.23
Booleroo Centre		                            	4	0.97	 	1	0.24	 	11	2.68	 	5	1.22	 	19	4.62	 	0	0	 	10	2.43	 	0	0	 	16	3.89	 	3	0.73	 	1	0.24	 	341	82.97	 	0	0	 	411	98.09	 	8	1.91	 	419	0.51
Brinkworth		                                 	1	0.41	 	0	0	 	7	2.85	 	0	0	 	34	13.82	 	0	0	 	6	2.44	 	0	0	 	0	0	 	0	0	 	0	0	 	198	80.49	 	0	0	 	246	98.01	 	5	1.99	 	251	0.31
Burra		                                      	3	0.35	 	9	1.06	 	27	3.17	 	4	0.47	 	195	22.89	 	1	0.12	 	61	7.16	 	22	2.58	 	8	0.94	 	13	1.53	 	1	0.12	 	507	59.51	 	1	0.12	 	852	97.04	 	26	2.96	 	878	1.07
