Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Myrtle Bank		                                	2	0.1	 	34	1.71	 	3	0.15	 	17	0.85	 	417	20.93	 	2	0.1	 	173	8.68	 	21	1.05	 	4	0.2	 	6	0.3	 	9	0.45	 	1304	65.46	 	0	0	 	1992	98.71	 	26	1.29	 	2018	2.51
Nailsworth		                                 	9	0.62	 	23	1.58	 	2	0.14	 	19	1.3	 	610	41.81	 	2	0.14	 	200	13.71	 	17	1.17	 	4	0.27	 	7	0.48	 	4	0.27	 	562	38.52	 	0	0	 	1459	97.79	 	33	2.21	 	1492	1.85
North Adelaide		                             	1	0.04	 	77	3.01	 	5	0.2	 	13	0.51	 	691	27.02	 	6	0.23	 	292	11.42	 	45	1.76	 	2	0.08	 	5	0.2	 	6	0.23	 	1414	55.3	 	0	0	 	2557	98.69	 	34	1.31	 	2591	3.22
Northfield South (Adelaide)		                	13	0.81	 	19	1.19	 	5	0.31	 	11	0.69	 	716	44.72	 	2	0.12	 	150	9.37	 	7	0.44	 	8	0.5	 	10	0.62	 	5	0.31	 	653	40.79	 	2	0.12	 	1601	96.62	 	56	3.38	 	1657	2.06
Parkside East (Adelaide)		                   	13	0.57	 	67	2.93	 	2	0.09	 	17	0.74	 	869	37.98	 	9	0.39	 	293	12.81	 	34	1.49	 	1	0.04	 	13	0.57	 	3	0.13	 	965	42.18	 	2	0.09	 	2288	97.44	 	60	2.56	 	2348	2.92
Prospect		                                   	15	0.68	 	48	2.18	 	7	0.32	 	13	0.59	 	929	42.21	 	5	0.23	 	273	12.4	 	44	2	 	5	0.23	 	13	0.59	 	2	0.09	 	844	38.35	 	3	0.14	 	2201	96.79	 	73	3.21	 	2274	2.82
Prospect Estate		                            	4	0.46	 	12	1.39	 	2	0.23	 	11	1.27	 	391	45.15	 	3	0.35	 	111	12.82	 	10	1.15	 	3	0.35	 	11	1.27	 	4	0.46	 	304	35.1	 	0	0	 	866	95.9	 	37	4.1	 	903	1.12
Prospect North		                             	7	0.57	 	23	1.87	 	4	0.32	 	8	0.65	 	535	43.39	 	9	0.73	 	147	11.92	 	18	1.46	 	0	0	 	8	0.65	 	7	0.57	 	467	37.88	 	0	0	 	1233	96.55	 	44	3.45	 	1277	1.59
Prospect South		                             	5	0.43	 	12	1.03	 	1	0.09	 	7	0.6	 	378	32.31	 	1	0.09	 	164	14.02	 	15	1.28	 	5	0.43	 	5	0.43	 	4	0.34	 	573	48.97	 	0	0	 	1170	97.83	 	26	2.17	 	1196	1.49
Prospect West		                              	15	0.65	 	46	1.99	 	8	0.35	 	16	0.69	 	969	41.84	 	7	0.3	 	308	13.3	 	45	1.94	 	1	0.04	 	9	0.39	 	5	0.22	 	885	38.21	 	2	0.09	 	2316	96.06	 	95	3.94	 	2411	2.99
Renown Park		                                	24	1.39	 	33	1.91	 	4	0.23	 	9	0.52	 	1002	57.85	 	9	0.52	 	164	9.47	 	19	1.1	 	4	0.23	 	13	0.75	 	6	0.35	 	443	25.58	 	2	0.12	 	1732	96.12	 	70	3.88	 	1802	2.24
