Senate - 1993 Election: Victoria																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Aston (79158)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bentleigh		                                  	6	0.38	 	11	0.69	 	9	0.57	 	11	0.69	 	6	0.38	 	27	1.7	 	669	42.08	 	2	0.13	 	722	45.41	 	90	5.66	 	0	0	 	29	1.82	 	8	0.5	 	1590	97.01	 	49	2.99	 	1639	2.18
Bentleigh Central		                          	12	0.5	 	7	0.29	 	14	0.59	 	7	0.29	 	11	0.46	 	27	1.13	 	1082	45.22	 	2	0.08	 	1061	44.34	 	143	5.98	 	0	0	 	22	0.92	 	5	0.21	 	2393	96.34	 	91	3.66	 	2484	3.31
Bentleigh South		                            	4	0.55	 	3	0.42	 	3	0.42	 	2	0.28	 	1	0.14	 	4	0.55	 	356	49.38	 	0	0	 	306	42.44	 	35	4.85	 	0	0	 	5	0.69	 	2	0.28	 	721	96.01	 	30	3.99	 	751	1
Bentleigh West		                             	6	0.34	 	7	0.4	 	8	0.46	 	5	0.29	 	5	0.29	 	11	0.63	 	815	46.49	 	2	0.11	 	761	43.41	 	102	5.82	 	0	0	 	28	1.6	 	3	0.17	 	1753	97.12	 	52	2.88	 	1805	2.4
Brighton		                                   	10	0.32	 	23	0.73	 	15	0.47	 	26	0.82	 	6	0.19	 	20	0.63	 	2172	68.58	 	7	0.22	 	669	21.12	 	150	4.74	 	0	0	 	58	1.83	 	11	0.35	 	3167	97.57	 	79	2.43	 	3246	4.32
Brighton Beach		                             	10	0.45	 	14	0.63	 	4	0.18	 	4	0.18	 	6	0.27	 	21	0.94	 	1704	76.24	 	3	0.13	 	327	14.63	 	104	4.65	 	0	0	 	34	1.52	 	4	0.18	 	2235	97.98	 	46	2.02	 	2281	3.03
Brighton East		                              	15	0.57	 	23	0.87	 	11	0.42	 	14	0.53	 	3	0.11	 	28	1.06	 	1539	58.27	 	3	0.11	 	827	31.31	 	147	5.57	 	1	0.04	 	20	0.76	 	10	0.38	 	2641	96.81	 	87	3.19	 	2728	3.63
Brighton High		                              	3	0.35	 	3	0.35	 	6	0.71	 	2	0.24	 	5	0.59	 	9	1.06	 	553	65.06	 	0	0	 	221	26	 	33	3.88	 	0	0	 	9	1.06	 	6	0.71	 	850	98.49	 	13	1.51	 	863	1.15
Brighton West		                              	5	0.26	 	9	0.48	 	11	0.58	 	11	0.58	 	5	0.26	 	12	0.63	 	1296	68.57	 	1	0.05	 	405	21.43	 	95	5.03	 	0	0	 	34	1.8	 	6	0.32	 	1890	96.77	 	63	3.23	 	1953	2.6
Carnegie		                                   	26	0.84	 	77	2.5	 	20	0.65	 	16	0.52	 	4	0.13	 	39	1.26	 	1196	38.77	 	6	0.19	 	1511	48.98	 	146	4.73	 	0	0	 	36	1.17	 	8	0.26	 	3085	96.44	 	114	3.56	 	3199	4.26
Carnegie East		                              	21	0.75	 	68	2.44	 	16	0.57	 	7	0.25	 	7	0.25	 	40	1.44	 	1085	38.99	 	9	0.32	 	1337	48.04	 	146	5.25	 	0	0	 	36	1.29	 	11	0.4	 	2783	96.8	 	92	3.2	 	2875	3.83
Dendy		                                      	5	0.17	 	27	0.91	 	16	0.54	 	16	0.54	 	5	0.17	 	26	0.87	 	2069	69.5	 	3	0.1	 	651	21.87	 	106	3.56	 	0	0	 	42	1.41	 	11	0.37	 	2977	97.7	 	70	2.3	 	3047	4.05
Elsternwick South		                          	12	1.22	 	9	0.91	 	1	0.1	 	8	0.81	 	3	0.3	 	6	0.61	 	495	50.3	 	3	0.3	 	379	38.52	 	50	5.08	 	0	0	 	15	1.52	 	3	0.3	 	984	96.76	 	33	3.24	 	1017	1.35
Gardenvale		                                 	12	0.69	 	10	0.57	 	9	0.52	 	16	0.92	 	2	0.11	 	19	1.09	 	1109	63.52	 	4	0.23	 	431	24.68	 	81	4.64	 	1	0.06	 	49	2.81	 	3	0.17	 	1746	97.38	 	47	2.62	 	1793	2.39
Glenhuntly		                                 	26	0.86	 	44	1.45	 	14	0.46	 	16	0.53	 	3	0.1	 	34	1.12	 	1563	51.53	 	3	0.1	 	1121	36.96	 	156	5.14	 	0	0	 	49	1.62	 	4	0.13	 	3033	96.87	 	98	3.13	 	3131	4.17
Glenhuntly East		                            	22	0.89	 	40	1.62	 	15	0.61	 	14	0.57	 	3	0.12	 	30	1.21	 	1036	41.84	 	3	0.12	 	1125	45.44	 	140	5.65	 	0	0	 	38	1.53	 	10	0.4	 	2476	96.3	 	95	3.7	 	2571	3.42
Hampton		                                    	15	0.72	 	36	1.74	 	9	0.43	 	27	1.3	 	2	0.1	 	27	1.3	 	1103	53.21	 	2	0.1	 	670	32.32	 	141	6.8	 	0	0	 	36	1.74	 	5	0.24	 	2073	96.91	 	66	3.09	 	2139	2.85
Hampton Central		                            	22	1.36	 	10	0.62	 	11	0.68	 	19	1.17	 	4	0.25	 	17	1.05	 	809	50	 	3	0.19	 	582	35.97	 	110	6.8	 	0	0	 	27	1.67	 	4	0.25	 	1618	97.59	 	40	2.41	 	1658	2.21
Highett		                                    	16	0.8	 	14	0.7	 	13	0.65	 	13	0.65	 	7	0.35	 	29	1.44	 	722	35.92	 	5	0.25	 	1025	51	 	140	6.97	 	1	0.05	 	20	1	 	5	0.25	 	2010	97.67	 	48	2.33	 	2058	2.74
Highett North		                              	4	0.65	 	5	0.82	 	4	0.65	 	2	0.33	 	1	0.16	 	3	0.49	 	264	43.07	 	0	0	 	287	46.82	 	35	5.71	 	0	0	 	7	1.14	 	1	0.16	 	613	97.3	 	17	2.7	 	630	0.84
Highett South		                              	12	0.95	 	12	0.95	 	11	0.87	 	8	0.63	 	6	0.47	 	21	1.65	 	426	33.57	 	3	0.24	 	707	55.71	 	55	4.33	 	0	0	 	7	0.55	 	1	0.08	 	1269	95.56	 	59	4.44	 	1328	1.77
Highett West		                               	6	0.63	 	16	1.68	 	4	0.42	 	5	0.53	 	2	0.21	 	9	0.95	 	405	42.59	 	2	0.21	 	428	45.01	 	55	5.78	 	1	0.11	 	17	1.79	 	1	0.11	 	951	97.14	 	28	2.86	 	979	1.3
Landcox		                                    	3	0.24	 	9	0.73	 	6	0.49	 	15	1.22	 	5	0.41	 	14	1.14	 	674	54.98	 	2	0.16	 	392	31.97	 	80	6.53	 	1	0.08	 	15	1.22	 	10	0.82	 	1226	96.99	 	38	3.01	 	1264	1.68
Ludstone		                                   	11	0.52	 	9	0.43	 	19	0.91	 	28	1.33	 	8	0.38	 	33	1.57	 	965	46	 	4	0.19	 	845	40.28	 	138	6.58	 	0	0	 	38	1.81	 	0	0	 	2098	97.31	 	58	2.69	 	2156	2.87
McKinnon		                                   	34	1.06	 	26	0.81	 	21	0.66	 	17	0.53	 	10	0.31	 	35	1.09	 	1474	45.99	 	8	0.25	 	1320	41.19	 	217	6.77	 	0	0	 	38	1.19	 	5	0.16	 	3205	96.94	 	101	3.06	 	3306	4.4
McKinnon East		                              	15	0.82	 	8	0.44	 	10	0.55	 	13	0.71	 	8	0.44	 	15	0.82	 	869	47.64	 	7	0.38	 	723	39.64	 	126	6.91	 	0	0	 	27	1.48	 	3	0.16	 	1824	97.18	 	53	2.82	 	1877	2.5
Middle Brighton		                            	9	0.45	 	22	1.11	 	11	0.55	 	17	0.86	 	8	0.4	 	15	0.76	 	1416	71.37	 	2	0.1	 	356	17.94	 	101	5.09	 	0	0	 	23	1.16	 	4	0.2	 	1984	97.49	 	51	2.51	 	2035	2.71
Moorabbin		                                  	18	0.97	 	12	0.65	 	17	0.92	 	8	0.43	 	3	0.16	 	23	1.24	 	811	43.74	 	3	0.16	 	835	45.04	 	95	5.12	 	0	0	 	18	0.97	 	11	0.59	 	1854	96.36	 	70	3.64	 	1924	2.56
Moorabbin South (Goldstein)		                	1	0.22	 	5	1.1	 	2	0.44	 	6	1.32	 	2	0.44	 	4	0.88	 	197	43.49	 	0	0	 	211	46.58	 	19	4.19	 	0	0	 	4	0.88	 	2	0.44	 	453	95.57	 	21	4.43	 	474	0.63
Moorabbin West		                             	16	1.09	 	7	0.48	 	13	0.89	 	11	0.75	 	0	0	 	20	1.37	 	509	34.77	 	2	0.14	 	801	54.71	 	64	4.37	 	0	0	 	18	1.23	 	3	0.2	 	1464	95.56	 	68	4.44	 	1532	2.04
Ormond		                                     	17	1.33	 	10	0.78	 	10	0.78	 	9	0.71	 	4	0.31	 	24	1.88	 	570	44.67	 	2	0.16	 	566	44.36	 	45	3.53	 	0	0	 	11	0.86	 	8	0.63	 	1276	96.37	 	48	3.63	 	1324	1.76
Ormond West		                                	9	0.53	 	33	1.93	 	1	0.06	 	4	0.23	 	4	0.23	 	16	0.94	 	835	48.86	 	5	0.29	 	679	39.73	 	107	6.26	 	0	0	 	16	0.94	 	0	0	 	1709	97.49	 	44	2.51	 	1753	2.33
Sandringham		                                	5	0.47	 	19	1.78	 	4	0.38	 	13	1.22	 	1	0.09	 	16	1.5	 	567	53.19	 	0	0	 	372	34.9	 	49	4.6	 	0	0	 	18	1.69	 	2	0.19	 	1066	97.35	 	29	2.65	 	1095	1.46
Sandringham North		                          	5	0.32	 	25	1.6	 	7	0.45	 	13	0.83	 	12	0.77	 	17	1.09	 	752	48.24	 	2	0.13	 	593	38.04	 	106	6.8	 	0	0	 	23	1.48	 	4	0.26	 	1559	98.05	 	31	1.95	 	1590	2.12
Valkstone		                                  	4	0.61	 	6	0.91	 	3	0.45	 	0	0	 	1	0.15	 	12	1.82	 	321	48.64	 	1	0.15	 	269	40.76	 	36	5.45	 	0	0	 	7	1.06	 	0	0	 	660	99.1	 	6	0.9	 	666	0.89
Special Hospitals		                          	18	4.48	 	3	0.75	 	2	0.5	 	3	0.75	 	3	0.75	 	7	1.74	 	263	65.42	 	2	0.5	 	88	21.89	 	10	2.49	 	0	0	 	3	0.75	 	0	0	 	402	97.34	 	11	2.66	 	413	0.55
Total Ordinary		                             	435	0.68	 	662	1.04	 	350	0.55	 	406	0.64	 	166	0.26	 	710	1.12	 	32691	51.37	 	106	0.17	 	23603	37.09	 	3453	5.43	 	5	0.01	 	877	1.38	 	174	0.27	 	63638	97.03	 	1946	2.97	 	65584	87.26
ABSENT		                                     	22	0.52	 	46	1.08	 	38	0.9	 	42	0.99	 	22	0.52	 	60	1.41	 	1977	46.59	 	9	0.21	 	1676	39.5	 	226	5.33	 	0	0	 	121	2.85	 	4	0.09	 	4243	98.29	 	74	1.71	 	4317	5.74
POSTAL		                                     	44	1.89	 	19	0.81	 	18	0.77	 	10	0.43	 	6	0.26	 	27	1.16	 	1321	56.65	 	2	0.09	 	752	32.25	 	100	4.29	 	0	0	 	30	1.29	 	3	0.13	 	2332	97.9	 	50	2.1	 	2382	3.17
PRE_POLL		                                   	15	0.59	 	13	0.51	 	15	0.59	 	17	0.67	 	15	0.59	 	33	1.3	 	1473	58.2	 	5	0.2	 	734	29	 	144	5.69	 	0	0	 	65	2.57	 	2	0.08	 	2531	98.14	 	48	1.86	 	2579	3.43
PROVISIONAL		                                	2	0.69	 	5	1.74	 	1	0.35	 	5	1.74	 	3	1.04	 	7	2.43	 	119	41.32	 	0	0	 	123	42.71	 	14	4.86	 	0	0	 	8	2.78	 	1	0.35	 	288	97.63	 	7	2.37	 	295	0.39
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	518	0.71	 	745	1.02	 	422	0.58	 	480	0.66	 	212	0.29	 	837	1.15	 	37581	51.46	 	122	0.17	 	26888	36.82	 	3937	5.39	 	5	0.01	 	1101	1.51	 	184	0.25	 	73032	97.17	 	2125	2.83	 	75157	95.99
 																																																	


Higgins (78044)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alamein		                                    	23	2.03	 	7	0.62	 	9	0.79	 	13	1.15	 	5	0.44	 	15	1.32	 	347	30.57	 	3	0.26	 	615	54.19	 	82	7.22	 	0	0	 	12	1.06	 	4	0.35	 	1135	96.02	 	47	3.98	 	1182	1.58
Armadale		                                   	2	0.17	 	12	1.03	 	4	0.34	 	10	0.86	 	4	0.34	 	14	1.2	 	691	59.36	 	2	0.17	 	331	28.44	 	54	4.64	 	0	0	 	32	2.75	 	8	0.69	 	1164	97.57	 	29	2.43	 	1193	1.6
Ashburton		                                  	17	0.74	 	46	2	 	13	0.57	 	7	0.3	 	8	0.35	 	24	1.04	 	1145	49.78	 	7	0.3	 	816	35.48	 	173	7.52	 	1	0.04	 	38	1.65	 	5	0.22	 	2300	98.04	 	46	1.96	 	2346	3.14
Burwood		                                    	10	0.9	 	8	0.72	 	9	0.81	 	5	0.45	 	10	0.9	 	13	1.17	 	600	54.15	 	2	0.18	 	364	32.85	 	70	6.32	 	0	0	 	13	1.17	 	4	0.36	 	1108	96.85	 	36	3.15	 	1144	1.53
Burwood West		                               	6	0.65	 	9	0.97	 	7	0.75	 	1	0.11	 	4	0.43	 	3	0.32	 	586	63.15	 	3	0.32	 	243	26.19	 	55	5.93	 	0	0	 	10	1.08	 	1	0.11	 	928	97.68	 	22	2.32	 	950	1.27
Camberwell		                                 	4	0.39	 	17	1.67	 	6	0.59	 	14	1.38	 	3	0.29	 	10	0.98	 	583	57.33	 	2	0.2	 	301	29.6	 	46	4.52	 	0	0	 	31	3.05	 	0	0	 	1017	97.79	 	23	2.21	 	1040	1.39
Camberwell Middle		                          	4	0.3	 	11	0.82	 	7	0.52	 	5	0.37	 	4	0.3	 	12	0.89	 	841	62.71	 	0	0	 	379	28.26	 	55	4.1	 	0	0	 	20	1.49	 	3	0.22	 	1341	98.03	 	27	1.97	 	1368	1.83
Camberwell South		                           	7	0.3	 	37	1.6	 	14	0.61	 	11	0.48	 	10	0.43	 	32	1.38	 	1297	56.1	 	1	0.04	 	691	29.89	 	162	7.01	 	0	0	 	41	1.77	 	9	0.39	 	2312	97.27	 	65	2.73	 	2377	3.18
Carnegie North		                             	10	0.53	 	14	0.74	 	8	0.42	 	18	0.95	 	8	0.42	 	13	0.68	 	1029	54.07	 	1	0.05	 	669	35.16	 	100	5.25	 	0	0	 	32	1.68	 	1	0.05	 	1903	98.4	 	31	1.6	 	1934	2.59
Chadstone		                                  	18	0.77	 	32	1.38	 	13	0.56	 	9	0.39	 	8	0.34	 	30	1.29	 	1067	45.89	 	6	0.26	 	975	41.94	 	130	5.59	 	0	0	 	29	1.25	 	8	0.34	 	2325	96.75	 	78	3.25	 	2403	3.22
Darling		                                    	6	0.3	 	10	0.51	 	8	0.4	 	10	0.51	 	3	0.15	 	19	0.96	 	1265	64.02	 	2	0.1	 	506	25.61	 	97	4.91	 	0	0	 	45	2.28	 	5	0.25	 	1976	98.36	 	33	1.64	 	2009	2.69
Ferndale		                                   	5	0.57	 	13	1.49	 	3	0.34	 	6	0.69	 	3	0.34	 	7	0.8	 	508	58.12	 	2	0.23	 	262	29.98	 	47	5.38	 	0	0	 	17	1.95	 	1	0.11	 	874	98.87	 	10	1.13	 	884	1.18
Gardiner		                                   	13	0.65	 	23	1.16	 	17	0.86	 	9	0.45	 	6	0.3	 	26	1.31	 	995	50.13	 	7	0.35	 	717	36.12	 	126	6.35	 	0	0	 	34	1.71	 	12	0.6	 	1985	97.5	 	51	2.5	 	2036	2.73
Glen Iris		                                  	12	0.41	 	62	2.12	 	11	0.38	 	22	0.75	 	7	0.24	 	29	0.99	 	1659	56.6	 	6	0.2	 	869	29.65	 	195	6.65	 	1	0.03	 	52	1.77	 	6	0.2	 	2931	98.29	 	51	1.71	 	2982	4
Glen Iris South		                            	7	0.5	 	19	1.37	 	9	0.65	 	12	0.86	 	17	1.22	 	8	0.58	 	762	54.82	 	7	0.5	 	416	29.93	 	112	8.06	 	0	0	 	19	1.37	 	2	0.14	 	1390	97.82	 	31	2.18	 	1421	1.9
Hartwell West		                              	6	0.96	 	6	0.96	 	2	0.32	 	4	0.64	 	2	0.32	 	4	0.64	 	365	58.31	 	0	0	 	186	29.71	 	40	6.39	 	0	0	 	9	1.44	 	2	0.32	 	626	96.9	 	20	3.1	 	646	0.87
Hawksburn		                                  	15	0.45	 	53	1.57	 	9	0.27	 	18	0.53	 	4	0.12	 	34	1.01	 	1880	55.8	 	3	0.09	 	1104	32.77	 	173	5.14	 	1	0.03	 	61	1.81	 	14	0.42	 	3369	97.45	 	88	2.55	 	3457	4.63
Hawksburn Central		                          	8	0.49	 	15	0.91	 	7	0.43	 	10	0.61	 	3	0.18	 	12	0.73	 	639	38.96	 	2	0.12	 	815	49.7	 	87	5.3	 	0	0	 	38	2.32	 	4	0.24	 	1640	96.81	 	54	3.19	 	1694	2.27
Kooyong Park		                               	5	0.32	 	7	0.44	 	1	0.06	 	14	0.88	 	1	0.06	 	5	0.32	 	1327	83.88	 	3	0.19	 	143	9.04	 	53	3.35	 	0	0	 	19	1.2	 	4	0.25	 	1582	97.65	 	38	2.35	 	1620	2.17
Malvern		                                    	13	0.57	 	30	1.32	 	11	0.48	 	15	0.66	 	6	0.26	 	15	0.66	 	1311	57.68	 	2	0.09	 	715	31.46	 	104	4.58	 	0	0	 	40	1.76	 	11	0.48	 	2273	97.18	 	66	2.82	 	2339	3.13
Malvern Central		                            	10	0.44	 	42	1.83	 	8	0.35	 	14	0.61	 	3	0.13	 	22	0.96	 	1176	51.33	 	11	0.48	 	849	37.06	 	108	4.71	 	0	0	 	41	1.79	 	7	0.31	 	2291	97.32	 	63	2.68	 	2354	3.15
Malvern East		                               	9	0.26	 	72	2.09	 	22	0.64	 	22	0.64	 	10	0.29	 	36	1.04	 	1723	49.97	 	7	0.2	 	1249	36.22	 	225	6.53	 	1	0.03	 	63	1.83	 	9	0.26	 	3448	97.32	 	95	2.68	 	3543	4.75
Malvern Lower		                              	6	0.31	 	13	0.68	 	6	0.31	 	18	0.94	 	4	0.21	 	8	0.42	 	1405	73.6	 	3	0.16	 	358	18.75	 	57	2.99	 	0	0	 	27	1.41	 	4	0.21	 	1909	98.1	 	37	1.9	 	1946	2.61
Malvern South		                              	21	0.71	 	81	2.72	 	15	0.5	 	24	0.81	 	6	0.2	 	32	1.08	 	1720	57.82	 	8	0.27	 	892	29.98	 	121	4.07	 	1	0.03	 	47	1.58	 	7	0.24	 	2975	97.16	 	87	2.84	 	3062	4.1
Malvern West		                               	9	0.52	 	33	1.89	 	5	0.29	 	13	0.75	 	5	0.29	 	13	0.75	 	962	55.22	 	3	0.17	 	567	32.55	 	101	5.8	 	0	0	 	24	1.38	 	7	0.4	 	1742	96.56	 	62	3.44	 	1804	2.42
Orrong		                                     	9	0.58	 	27	1.73	 	7	0.45	 	8	0.51	 	2	0.13	 	19	1.22	 	694	44.46	 	3	0.19	 	684	43.82	 	75	4.8	 	0	0	 	25	1.6	 	8	0.51	 	1561	96.06	 	64	3.94	 	1625	2.18
Prahran		                                    	34	1.31	 	63	2.42	 	14	0.54	 	18	0.69	 	5	0.19	 	22	0.85	 	710	27.29	 	4	0.15	 	1513	58.15	 	158	6.07	 	0	0	 	52	2	 	9	0.35	 	2602	95.17	 	132	4.83	 	2734	3.66
Prahran East		                               	10	0.6	 	23	1.37	 	12	0.72	 	17	1.01	 	1	0.06	 	16	0.95	 	624	37.21	 	8	0.48	 	838	49.97	 	90	5.37	 	0	0	 	33	1.97	 	5	0.3	 	1677	96.66	 	58	3.34	 	1735	2.32
South Yarra		                                	8	1.03	 	7	0.9	 	1	0.13	 	9	1.16	 	0	0	 	9	1.16	 	295	37.92	 	2	0.26	 	411	52.83	 	27	3.47	 	0	0	 	9	1.16	 	0	0	 	778	95.11	 	40	4.89	 	818	1.1
South Yarra Central		                        	3	0.28	 	20	1.84	 	4	0.37	 	13	1.19	 	3	0.28	 	10	0.92	 	534	49.04	 	7	0.64	 	410	37.65	 	63	5.79	 	0	0	 	19	1.74	 	3	0.28	 	1089	98.64	 	15	1.36	 	1104	1.48
Toorak		                                     	8	0.3	 	12	0.44	 	9	0.33	 	20	0.74	 	4	0.15	 	16	0.59	 	2204	81.72	 	2	0.07	 	322	11.94	 	68	2.52	 	0	0	 	24	0.89	 	8	0.3	 	2697	96.94	 	85	3.06	 	2782	3.73
Toorak Central		                             	6	0.45	 	12	0.9	 	4	0.3	 	6	0.45	 	1	0.08	 	8	0.6	 	917	68.79	 	4	0.3	 	279	20.93	 	69	5.18	 	0	0	 	27	2.03	 	0	0	 	1333	97.73	 	31	2.27	 	1364	1.83
Toorak West		                                	2	0.14	 	7	0.49	 	11	0.77	 	6	0.42	 	0	0	 	4	0.28	 	1124	78.27	 	0	0	 	208	14.48	 	49	3.41	 	0	0	 	15	1.04	 	10	0.7	 	1436	97.49	 	37	2.51	 	1473	1.97
Windsor		                                    	18	1.27	 	18	1.27	 	8	0.56	 	8	0.56	 	4	0.28	 	12	0.85	 	489	34.46	 	3	0.21	 	718	50.6	 	104	7.33	 	5	0.35	 	28	1.97	 	4	0.28	 	1419	95.17	 	72	4.83	 	1491	2
Special Hospitals		                          	8	3.81	 	0	0	 	0	0	 	1	0.48	 	2	0.95	 	2	0.95	 	148	70.48	 	0	0	 	47	22.38	 	2	0.95	 	0	0	 	0	0	 	0	0	 	210	94.59	 	12	5.41	 	222	0.3
Total Ordinary		                             	352	0.57	 	861	1.4	 	294	0.48	 	410	0.67	 	166	0.27	 	554	0.9	 	33622	54.81	 	126	0.21	 	20462	33.36	 	3278	5.34	 	10	0.02	 	1026	1.67	 	185	0.3	 	61346	97.25	 	1736	2.75	 	63082	84.52
ABSENT		                                     	20	0.38	 	72	1.38	 	39	0.75	 	54	1.03	 	17	0.33	 	58	1.11	 	2733	52.27	 	14	0.27	 	1769	33.83	 	266	5.09	 	2	0.04	 	168	3.21	 	17	0.33	 	5229	98.2	 	96	1.8	 	5325	7.14
POSTAL		                                     	37	1.34	 	17	0.62	 	16	0.58	 	12	0.43	 	10	0.36	 	31	1.12	 	1815	65.67	 	5	0.18	 	636	23.01	 	123	4.45	 	0	0	 	48	1.74	 	14	0.51	 	2764	97.74	 	64	2.26	 	2828	3.79
PRE_POLL		                                   	8	0.27	 	28	0.95	 	14	0.48	 	15	0.51	 	11	0.37	 	18	0.61	 	1847	62.89	 	7	0.24	 	756	25.74	 	126	4.29	 	0	0	 	99	3.37	 	8	0.27	 	2937	98.19	 	54	1.81	 	2991	4.01
PROVISIONAL		                                	8	2.03	 	2	0.51	 	5	1.27	 	2	0.51	 	0	0	 	5	1.27	 	187	47.46	 	1	0.25	 	151	38.32	 	24	6.09	 	0	0	 	7	1.78	 	2	0.51	 	394	96.81	 	13	3.19	 	407	0.55
ADJUSTMENT		                                 	0		       	-1		       	0		       	-1		       	0		       	0		       	-1		       	0		       	1		       	-1		       	0		       	-1		       	-4		       	-8		       	7		       	-1	
Division Summary		                           	425	0.58	 	979	1.35	 	368	0.51	 	492	0.68	 	204	0.28	 	666	0.92	 	40203	55.33	 	153	0.21	 	23775	32.72	 	3816	5.25	 	12	0.02	 	1347	1.85	 	222	0.31	 	72662	97.36	 	1970	2.64	 	74632	95.63
 																																																	


Holt (73379)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Cleeland		                                   	38	1.15	 	11	0.33	 	28	0.85	 	8	0.24	 	26	0.79	 	95	2.87	 	1192	36	 	2	0.06	 	1745	52.7	 	97	2.93	 	0	0	 	30	0.91	 	39	1.18	 	3311	94.76	 	183	5.24	 	3494	4.94
Dandenong		                                  	22	1.03	 	8	0.37	 	11	0.51	 	8	0.37	 	18	0.84	 	44	2.05	 	852	39.78	 	4	0.19	 	1081	50.47	 	56	2.61	 	0	0	 	20	0.93	 	18	0.84	 	2142	95.54	 	100	4.46	 	2242	3.17
Dandenong North		                            	37	1.42	 	11	0.42	 	22	0.84	 	9	0.35	 	15	0.58	 	72	2.76	 	721	27.65	 	2	0.08	 	1600	61.35	 	91	3.49	 	0	0	 	16	0.61	 	12	0.46	 	2608	95.92	 	111	4.08	 	2719	3.85
Dandenong West		                             	21	1.05	 	32	1.61	 	20	1	 	3	0.15	 	15	0.75	 	46	2.31	 	593	29.75	 	3	0.15	 	1179	59.16	 	50	2.51	 	0	0	 	16	0.8	 	15	0.75	 	1993	94.23	 	122	5.77	 	2115	2.99
Doveton		                                    	28	1.18	 	4	0.17	 	16	0.68	 	5	0.21	 	24	1.01	 	47	1.98	 	600	25.34	 	2	0.08	 	1524	64.36	 	90	3.8	 	0	0	 	14	0.59	 	14	0.59	 	2368	94.57	 	136	5.43	 	2504	3.54
Doveton North		                              	9	0.56	 	10	0.62	 	9	0.56	 	2	0.12	 	13	0.81	 	51	3.17	 	312	19.39	 	7	0.44	 	1160	72.09	 	27	1.68	 	0	0	 	5	0.31	 	4	0.25	 	1609	94.81	 	88	5.19	 	1697	2.4
Doveton West		                               	24	1.68	 	5	0.35	 	18	1.26	 	6	0.42	 	6	0.42	 	35	2.46	 	346	24.28	 	1	0.07	 	929	65.19	 	41	2.88	 	0	0	 	13	0.91	 	1	0.07	 	1425	94.18	 	88	5.82	 	1513	2.14
Endeavour Hills		                            	20	0.59	 	30	0.88	 	18	0.53	 	9	0.26	 	33	0.97	 	69	2.03	 	1223	35.91	 	4	0.12	 	1831	53.76	 	118	3.46	 	0	0	 	32	0.94	 	19	0.56	 	3406	97.01	 	105	2.99	 	3511	4.97
Endeavour Hills East		                       	17	0.48	 	21	0.59	 	13	0.37	 	8	0.23	 	22	0.62	 	40	1.13	 	1355	38.33	 	7	0.2	 	1853	52.42	 	152	4.3	 	0	0	 	25	0.71	 	22	0.62	 	3535	96.8	 	117	3.2	 	3652	5.17
Endeavour Hills North		                      	6	0.38	 	14	0.88	 	4	0.25	 	1	0.06	 	17	1.07	 	19	1.19	 	624	39.17	 	1	0.06	 	834	52.35	 	51	3.2	 	0	0	 	12	0.75	 	10	0.63	 	1593	97.31	 	44	2.69	 	1637	2.32
