Senate - 1993 Election		
National List of Candidates		


Candidate	Party/Group Name	State
"KING, Michael"	Natural Law Party	WA
"KITSON, David A L"	Australians Against Further Immigration	NSW
"KLEIN, Gennie"	Republican Party of Australia	NSW
"KNOWLES, Sue"	Liberal	WA
"KOEHLER, John"	Citizens Electoral Councils of Australia Group	QLD

"LANGLEY, David"	Republican Party of Australia	WA
"LAVERY, Priscilla"		NSW
"LAVERY, Rosemarie"		NSW
"LEE, David"	National Party	WA
"LEES, Meg"	Australian Democrats	SA
"LEVY, Laurie"	Independents' Network	VIC
"LIEW, Dr Alex"		SA

"MACDONALD, Sandy"	National Party	NSW
"MACGIBBON, David"	Liberal	QLD
"MAGUIRE, Graham"	Australian Labor Party	SA
"MAIN, Peter"	Australian Democrats	ACT
"MARGETTS, Dee"	The Greens (WA)	WA
"MARTIN, Anne"	Natural Law Party	SA
"MASON, Ngaire"	Natural Law Party	VIC
"MCCALLUM, Nola"	National Party	SA
"MCCARTHY, Darby"	A.I.P.P.	QLD
"MCCAUSLAND, John Allan"	Liberal	WA
"MCCORMACK, Denis"	Australians Against Further Immigration	VIC
"MCDONALD, Rosalie Ann"	Australian Labor Party	SA
"MCGAURAN, Julian John"	National Party	VIC
"MCKAY, Alistair"	Pensioner and Citizen Initiated Referendum Alliance	VIC
"MCKAY, Neil"	Pensioner and Citizen Initiated Referendum Alliance	VIC
"MCKENZIE, David"	Australian Labor Party (ALP)	VIC
"MCLEAN, Ian"	Australian Labor Party (ALP)	QLD
"MCLENNAN, Graham Clarke"	Call to Australia (Fred Nile) Group	NSW
"MCMULLAN, Bob"	Australian Labor Party	ACT
"MCSHANE, Frances"	Tasmania Senate Team	TAS
"MICO, Domenic"	Australian Democrats	ACT
"MILLER, Helen"	Abolish Self Government Coalition	ACT
"MILTON, Malcolm Joshua"	Independent	NSW
"MINCHIN, Nick"	Liberal	SA
"MOFFATT, Gordon"	Independent	VIC
"MOLLOY, Laurence John"	Citizens Electoral Councils of Australia Group	WA
"MOORE, Evonne"	Australians Against Further Immigration	SA
"MORRIS, Dulcie"	Natural Law Party	SA
"MULHOLLAND, John"	D.L.P. - Democratic Labor Party	VIC
"MURPHY, Shayne"	Australian Labor Party	TAS

"NASRULLAH, Bilal"	Republican Party of Australia	SA
"NESCI, Frank"		WA
"NESCI, Paul John"		WA

"O'CHEE, Bill"	National Party	QLD
"O'CONNELL, Suzanne"	Australian Shooters Party	NSW
"O'ROURKE, Anne"	Independents' Network	VIC
"ORR, Ted"	Australian Shooters Party	NSW

"PARER, Warwick"	Liberal	QLD
"PAVLEKOVICH-SMITH, Ivan"	Independent	VIC
"PAYNE, Marise Ann"	Liberal	NSW
"PETHERBRIDGE, Tim"	Independent	VIC
"PINNIGER, John"	Australian Democrats	VIC
"PITT, A. R."	The Confederate Action Party of Australia	QLD
"POULOS, Patricia"		NSW
"POULSEN, Ron"		NSW
"POWELL, Janet"	Independents' Network	VIC
"PRESTON, Betty"	Grey Power	SA

"REID, Margaret"	Liberal	ACT
"REYNOLDS, Margaret"	Australian Labor Party (ALP)	QLD
"RICE, Mark"	Independent	SA
"RICHARDSON, Graham Frederick"	Australian Labor Party	NSW
"RICHARDSON, Roland"	The Confederate Action Party of Australia	WA
"RING, Patty"	Australian Labor Party (ALP)	NT
"ROBERTS, Neil"	Australian Labor Party	WA
"RODWAY, David"	Call to Australia (Fred Nile) Group	SA
"ROGERS, Beryl"	Call to Australia (Fred Nile) Group	WA
"ROGERS, Don"	Call to Australia (Fred Nile) Group	WA
"ROLO, Lord"		NSW
"ROPER, Stephen"		VIC
"ROTARU, Alex"	Citizens Electoral Councils of Australia Group	VIC
"ROWE, Michael"	D.L.P. - Democratic Labor Party	VIC
"ROYLANCE, Frances"	Grey Power	NSW
"RYAN, Glen"	Call to Australia (Fred Nile) Group	NSW

"SANTA CLAUS, O"		NSW
"SCHIRRIPA, Douglas"		SA
"SCHOLLBACH, Robert"		NSW
"SCURFIELD, Lorna"	Natural Law Party	VIC
"SEALE, John Digby"	Citizens Electoral Councils of Australia Group	WA
"SEATON, David"	Natural Law Party	ACT
"SHEEHAN, Maureen"	Australian Labor Party	ACT
"SHERLOCK, Joe"	Independent	QLD
"SHORT, Jim"	Liberal	VIC
"SIBRAA, Kerry"	Australian Labor Party	NSW
"SIMS, Alan"	Call to Australia (Fred Nile) Group	QLD
"SIRNA, Enzo"	Liberal	WA
"SMITH, E.C. (Ean)"	Independent	SA
"SMITH, Joe"	Australians Against Further Immigration	SA
"SMITH, Mike"	Natural Law Party	NSW
"SMITH, Sylvia Dianne"		QLD
"SOWADA, Karin"	Australian Democrats	NSW
"SPENCER, Naomi"	Queensland Greens	QLD
"SPENCER, Robyn Marion"	Australians Against Further Immigration	VIC
"SPIER, Lucinda"	Liberal	ACT
"SPROULE, Alan"	Tasmania Senate Team	TAS
"SQUIRRELL, David"	Call to Australia (Fred Nile) Group	SA
"STEAD, Cecily"	The Greens	NSW
"STEAR, Kathryn"	Australian Democrats	VIC
"STEPHEN, David"	Australian Democrats	TAS
"STEVENS, David Richard"		NSW
"STIRLING, Karen"		NSW
"STOTT DESPOJA, Natasha"	Australian Democrats	SA
"STRATTON, Rodney"	Republican Party of Australia	WA
"SWIFT, Stephen"	Australian Democrats	SA

"TAMBLING, Grant"	Country Liberal	NT
"TATE, Michael"	Australian Labor Party	TAS
"TCHEN, Tsebin"	Liberal	VIC
"TEAGUE, Richard C."	The Confederate Action Party of Australia	QLD
"TEALE, Leonard"		NSW
"TICKLE, Patricia"	Australian Democrats	SA
"TIERNEY, John"	Liberal	NSW
"TOSCANO, Joe"		VIC
"TROETH, Judith"	Liberal	VIC
"TRUMAN, Bob"	Country Liberal	NT
"TUCAK, John Damian"	Independent	WA
"TUCKER, Kerrie"	The Greens	ACT
"TURBAYNE, David"	The Greens	ACT

"UEBERGANG, K John"	The Confederate Action Party of Australia	NSW

"VANSTONE, Amanda"	Liberal	SA
"VAUGHAN, Salli"	Grey Power	WA
"VESCIO, Michael"		NSW

"WALL, Bill"	Liberal	VIC
"WALLACE, Joy"	The Greens	NSW
"WALTERS, Tony"	Australian Democrats	QLD
"WARD, Colin"		NSW
"WARNER, Julie"	Citizens Electoral Councils of Australia Group	QLD
"WEATHERLAKE, Ian A"	Australians Against Further Immigration	NSW
"WEEDON, Barry"		QLD
"WEISSMANN, Gerhard"	The Green Party South Australia	SA
"WELLS, Dr Geoff"	Natural Law Party	SA
"WHEATLEY, Pamela Eileen"		NSW
