Senate - 1993 Election: Tasmania																																																																																																																									
First Preference Votes by Candidate																																																																																																																									
By Polling Place																																																																																																																									


Bass (66119)																																																																																																																									

	   		 A Tasmanian Independent Senator Brian Harradine Group									 B Australian Labor Party (Tasmanian Branch)																		 C Tasmania Senate Team												 D Tasmanian Greens															 E Call to Australia (Fred Nile) Group												 F Natural Law Party												 G Australian Democrats												 H Liberal Party of Australia - Tasmanian Division															Ungrouped													
    			TICKET VOTES			# HARRADINE			Group Total			TICKET VOTES			# TATE			# COATES			# MURPHY			AULICH			Group Total			TICKET VOTES			SPROULE			MCSHANE			Group Total			TICKET VOTES			HENDERSON			JONES			FRY			Group Total			TICKET VOTES			HOPSON			HOPSON			Group Total			TICKET VOTES			BROSZCZYK			DAVIES			Group Total			TICKET VOTES			HARMSEN			STEPHEN			Group Total			TICKET VOTES			# ARCHER			# GIBSON			ABETZ			Group Total			JAMIESON			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Brian									Michael			John			Shayne			Terry									Alan			Frances									Judy			Peter			Marion									Philip			Janelle									Greg			Caroline									Patsy			David									Brian			Brian			Eric						Ian													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Invermay		                                   	71	5.42	 	60	4.58	 	131	10	 	560	42.75	 	69	5.27	 	7	0.53	 	10	0.76	 	25	1.91	 	671	51.22	 	8	0.61	 	2	0.15	 	3	0.23	 	13	0.99	 	43	3.28	 	22	1.68	 	1	0.08	 	1	0.08	 	67	5.11	 	1	0.08	 	0	0	 	0	0	 	1	0.08	 	2	0.15	 	0	0	 	0	0	 	2	0.15	 	20	1.53	 	5	0.38	 	1	0.08	 	26	1.98	 	352	26.87	 	38	2.9	 	5	0.38	 	3	0.23	 	398	30.38	 	1	0.08	 	1	0.08	 	1310	96.11	 	53	3.89	 	1363	2.14
Karoola		                                    	13	4.41	 	12	4.07	 	25	8.47	 	63	21.36	 	13	4.41	 	0	0	 	4	1.36	 	1	0.34	 	81	27.46	 	1	0.34	 	2	0.68	 	1	0.34	 	4	1.36	 	13	4.41	 	10	3.39	 	0	0	 	0	0	 	23	7.8	 	1	0.34	 	1	0.34	 	0	0	 	2	0.68	 	0	0	 	0	0	 	0	0	 	0	0	 	3	1.02	 	1	0.34	 	0	0	 	4	1.36	 	137	46.44	 	16	5.42	 	1	0.34	 	2	0.68	 	156	52.88	 	0	0	 	0	0	 	295	95.78	 	13	4.22	 	308	0.48
Kings Meadows		                              	87	5.58	 	54	3.47	 	141	9.05	 	571	36.65	 	63	4.04	 	10	0.64	 	9	0.58	 	32	2.05	 	685	43.97	 	11	0.71	 	3	0.19	 	0	0	 	14	0.9	 	35	2.25	 	10	0.64	 	0	0	 	0	0	 	45	2.89	 	4	0.26	 	0	0	 	0	0	 	4	0.26	 	0	0	 	0	0	 	0	0	 	0	0	 	29	1.86	 	6	0.39	 	1	0.06	 	36	2.31	 	557	35.75	 	67	4.3	 	4	0.26	 	5	0.32	 	633	40.63	 	0	0	 	0	0	 	1558	97.13	 	46	2.87	 	1604	2.52
Lady Barron		                                	4	2.86	 	6	4.29	 	10	7.14	 	33	23.57	 	3	2.14	 	0	0	 	1	0.71	 	1	0.71	 	38	27.14	 	0	0	 	0	0	 	0	0	 	0	0	 	7	5	 	2	1.43	 	0	0	 	0	0	 	9	6.43	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	2.86	 	0	0	 	0	0	 	4	2.86	 	68	48.57	 	8	5.71	 	1	0.71	 	1	0.71	 	78	55.71	 	1	0.71	 	1	0.71	 	140	100	 	0	0	 	140	0.22
Launceston		                                 	25	3.83	 	29	4.44	 	54	8.27	 	238	36.45	 	41	6.28	 	0	0	 	4	0.61	 	6	0.92	 	289	44.26	 	2	0.31	 	1	0.15	 	0	0	 	3	0.46	 	37	5.67	 	31	4.75	 	0	0	 	1	0.15	 	69	10.57	 	1	0.15	 	1	0.15	 	1	0.15	 	3	0.46	 	0	0	 	1	0.15	 	0	0	 	1	0.15	 	9	1.38	 	3	0.46	 	2	0.31	 	14	2.14	 	188	28.79	 	27	4.13	 	3	0.46	 	1	0.15	 	219	33.54	 	1	0.15	 	1	0.15	 	653	97.03	 	20	2.97	 	673	1.06
Launceston Central		                         	38	4.32	 	37	4.21	 	75	8.53	 	228	25.94	 	47	5.35	 	5	0.57	 	4	0.46	 	10	1.14	 	294	33.45	 	2	0.23	 	2	0.23	 	1	0.11	 	5	0.57	 	75	8.53	 	46	5.23	 	3	0.34	 	0	0	 	124	14.11	 	2	0.23	 	0	0	 	0	0	 	2	0.23	 	2	0.23	 	0	0	 	0	0	 	2	0.23	 	12	1.37	 	2	0.23	 	1	0.11	 	15	1.71	 	313	35.61	 	34	3.87	 	7	0.8	 	4	0.46	 	358	40.73	 	4	0.46	 	4	0.46	 	879	97.99	 	18	2.01	 	897	1.41
Launceston East		                            	93	5.62	 	57	3.44	 	150	9.06	 	434	26.21	 	53	3.2	 	5	0.3	 	10	0.6	 	13	0.79	 	515	31.1	 	4	0.24	 	5	0.3	 	3	0.18	 	12	0.72	 	99	5.98	 	65	3.93	 	2	0.12	 	1	0.06	 	167	10.08	 	3	0.18	 	3	0.18	 	0	0	 	6	0.36	 	1	0.06	 	0	0	 	3	0.18	 	4	0.24	 	29	1.75	 	14	0.85	 	3	0.18	 	46	2.78	 	648	39.13	 	86	5.19	 	14	0.85	 	8	0.48	 	756	45.65	 	0	0	 	0	0	 	1656	98.69	 	22	1.31	 	1678	2.64
Launceston South		                           	143	6.15	 	115	4.95	 	258	11.1	 	786	33.81	 	114	4.9	 	8	0.34	 	11	0.47	 	36	1.55	 	955	41.08	 	9	0.39	 	8	0.34	 	3	0.13	 	20	0.86	 	100	4.3	 	36	1.55	 	2	0.09	 	0	0	 	138	5.94	 	8	0.34	 	8	0.34	 	0	0	 	16	0.69	 	5	0.22	 	0	0	 	3	0.13	 	8	0.34	 	25	1.08	 	4	0.17	 	0	0	 	29	1.25	 	763	32.82	 	108	4.65	 	17	0.73	 	9	0.39	 	897	38.58	 	4	0.17	 	4	0.17	 	2325	97	 	72	3	 	2397	3.77
Launceston West		                            	119	5.64	 	95	4.5	 	214	10.15	 	602	28.54	 	89	4.22	 	2	0.09	 	9	0.43	 	25	1.19	 	727	34.47	 	12	0.57	 	2	0.09	 	1	0.05	 	15	0.71	 	128	6.07	 	95	4.5	 	0	0	 	2	0.09	 	225	10.67	 	13	0.62	 	4	0.19	 	0	0	 	17	0.81	 	2	0.09	 	2	0.09	 	4	0.19	 	8	0.38	 	23	1.09	 	13	0.62	 	0	0	 	36	1.71	 	742	35.18	 	105	4.98	 	15	0.71	 	5	0.24	 	867	41.11	 	0	0	 	0	0	 	2109	98.18	 	39	1.82	 	2148	3.38
Lebrina		                                    	13	6.37	 	8	3.92	 	21	10.29	 	59	28.92	 	4	1.96	 	0	0	 	0	0	 	6	2.94	 	69	33.82	 	3	1.47	 	0	0	 	0	0	 	3	1.47	 	14	6.86	 	2	0.98	 	0	0	 	0	0	 	16	7.84	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.98	 	0	0	 	0	0	 	2	0.98	 	85	41.67	 	7	3.43	 	0	0	 	0	0	 	92	45.1	 	1	0.49	 	1	0.49	 	204	99.51	 	1	0.49	 	205	0.32
