Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Carbunup River		                             	4	1.76	 	0	0	 	24	10.57	 	1	0.44	 	22	9.69	 	165	72.69	 	1	0.44	 	5	2.2	 	5	2.2	 	0	0	 	0	0	 	227	97.42	 	6	2.58	 	233	0.32
Carey Park		                                 	28	1.35	 	3	0.14	 	71	3.43	 	3	0.14	 	1151	55.55	 	683	32.96	 	1	0.05	 	111	5.36	 	20	0.97	 	0	0	 	1	0.05	 	2072	97.19	 	60	2.81	 	2132	2.9
Carey Park South		                           	12	1.26	 	1	0.11	 	33	3.47	 	0	0	 	484	50.84	 	371	38.97	 	1	0.11	 	42	4.41	 	8	0.84	 	0	0	 	0	0	 	952	97.64	 	23	2.36	 	975	1.33
Centennial Park		                            	20	1.9	 	2	0.19	 	26	2.47	 	2	0.19	 	293	27.83	 	584	55.46	 	7	0.66	 	46	4.37	 	73	6.93	 	0	0	 	0	0	 	1053	96.87	 	34	3.13	 	1087	1.48
Chowerup		                                   	0	0	 	0	0	 	1	1.47	 	0	0	 	5	7.35	 	46	67.65	 	0	0	 	3	4.41	 	13	19.12	 	0	0	 	0	0	 	68	100	 	0	0	 	68	0.09
Clifton Park		                               	11	1.54	 	1	0.14	 	28	3.93	 	2	0.28	 	259	36.38	 	358	50.28	 	0	0	 	41	5.76	 	11	1.54	 	1	0.14	 	0	0	 	712	99.16	 	6	0.84	 	718	0.98
Coral Park		                                 	21	1.45	 	2	0.14	 	63	4.35	 	3	0.21	 	600	41.41	 	665	45.89	 	2	0.14	 	66	4.55	 	25	1.73	 	2	0.14	 	0	0	 	1449	97.97	 	30	2.03	 	1479	2.01
Cowaramup		                                  	3	0.67	 	0	0	 	45	10	 	0	0	 	65	14.44	 	298	66.22	 	2	0.44	 	25	5.56	 	11	2.44	 	0	0	 	1	0.22	 	450	99.12	 	4	0.88	 	454	0.62
Dardanup		                                   	9	1.51	 	0	0	 	35	5.86	 	1	0.17	 	119	19.93	 	383	64.15	 	0	0	 	29	4.86	 	18	3.02	 	2	0.34	 	1	0.17	 	597	97.39	 	16	2.61	 	613	0.83
Deanmill		                                   	7	3.54	 	0	0	 	11	5.56	 	0	0	 	81	40.91	 	88	44.44	 	1	0.51	 	3	1.52	 	7	3.54	 	0	0	 	0	0	 	198	97.54	 	5	2.46	 	203	0.28
Denmark		                                    	10	0.73	 	1	0.07	 	195	14.21	 	0	0	 	357	26.02	 	626	45.63	 	2	0.15	 	62	4.52	 	116	8.45	 	2	0.15	 	1	0.07	 	1372	98.07	 	27	1.93	 	1399	1.9
Dinninup		                                   	2	1.39	 	1	0.69	 	6	4.17	 	1	0.69	 	21	14.58	 	75	52.08	 	0	0	 	4	2.78	 	34	23.61	 	0	0	 	0	0	 	144	98.63	 	2	1.37	 	146	0.2
Donnybrook		                                 	4	0.32	 	4	0.32	 	52	4.11	 	1	0.08	 	312	24.68	 	737	58.31	 	1	0.08	 	81	6.41	 	68	5.38	 	4	0.32	 	0	0	 	1264	96.71	 	43	3.29	 	1307	1.78
Dunsborough		                                	13	1.36	 	0	0	 	117	12.2	 	1	0.1	 	204	21.27	 	558	58.19	 	1	0.1	 	36	3.75	 	27	2.82	 	2	0.21	 	0	0	 	959	98.56	 	14	1.44	 	973	1.32
Eaton		                                      	23	1.17	 	2	0.1	 	69	3.52	 	2	0.1	 	816	41.65	 	903	46.09	 	1	0.05	 	115	5.87	 	26	1.33	 	1	0.05	 	1	0.05	 	1959	98.1	 	38	1.9	 	1997	2.72
Elgin		                                      	0	0	 	0	0	 	5	2.98	 	0	0	 	8	4.76	 	130	77.38	 	0	0	 	15	8.93	 	9	5.36	 	0	0	 	1	0.6	 	168	100	 	0	0	 	168	0.23
Elleker		                                    	2	0.7	 	2	0.7	 	44	15.38	 	0	0	 	76	26.57	 	117	40.91	 	1	0.35	 	19	6.64	 	21	7.34	 	0	0	 	4	1.4	 	286	97.28	 	8	2.72	 	294	0.4
Emu Point		                                  	2	0.54	 	1	0.27	 	11	2.98	 	0	0	 	87	23.58	 	215	58.27	 	0	0	 	21	5.69	 	32	8.67	 	0	0	 	0	0	 	369	98.4	 	6	1.6	 	375	0.51
Ferguson		                                   	0	0	 	0	0	 	8	5.56	 	0	0	 	22	15.28	 	97	67.36	 	0	0	 	1	0.69	 	16	11.11	 	0	0	 	0	0	 	144	97.3	 	4	2.7	 	148	0.2
Gelorup		                                    	6	0.61	 	4	0.4	 	61	6.16	 	1	0.1	 	236	23.81	 	586	59.13	 	2	0.2	 	72	7.27	 	23	2.32	 	0	0	 	0	0	 	991	98.51	 	15	1.49	 	1006	1.37
Greenbushes		                                	7	1.84	 	1	0.26	 	17	4.47	 	0	0	 	151	39.74	 	173	45.53	 	2	0.53	 	15	3.95	 	14	3.68	 	0	0	 	0	0	 	380	96.69	 	13	3.31	 	393	0.54
Jardee		                                     	0	0	 	0	0	 	3	2.78	 	0	0	 	43	39.81	 	55	50.93	 	0	0	 	6	5.56	 	1	0.93	 	0	0	 	0	0	 	108	98.18	 	2	1.82	 	110	0.15
Karridale		                                  	0	0	 	1	0.47	 	42	19.63	 	0	0	 	32	14.95	 	121	56.54	 	0	0	 	14	6.54	 	4	1.87	 	0	0	 	0	0	 	214	99.53	 	1	0.47	 	215	0.29
King River		                                 	8	2.45	 	1	0.31	 	18	5.52	 	0	0	 	77	23.62	 	176	53.99	 	1	0.31	 	13	3.99	 	32	9.82	 	0	0	 	0	0	 	326	98.19	 	6	1.81	 	332	0.45
Kirup		                                      	3	1.42	 	1	0.47	 	9	4.25	 	0	0	 	50	23.58	 	115	54.25	 	0	0	 	7	3.3	 	23	10.85	 	0	0	 	4	1.89	 	212	97.7	 	5	2.3	 	217	0.3
Kudardup		                                   	1	0.56	 	0	0	 	7	3.93	 	0	0	 	49	27.53	 	112	62.92	 	0	0	 	6	3.37	 	3	1.69	 	0	0	 	0	0	 	178	100	 	0	0	 	178	0.24
Little Grove		                               	21	2.24	 	3	0.32	 	60	6.4	 	2	0.21	 	209	22.28	 	539	57.46	 	1	0.11	 	54	5.76	 	48	5.12	 	0	0	 	1	0.11	 	938	98.84	 	11	1.16	 	949	1.29
Lockyer		                                    	50	2.26	 	4	0.18	 	126	5.7	 	7	0.32	 	912	41.23	 	907	41	 	8	0.36	 	99	4.48	 	96	4.34	 	1	0.05	 	2	0.09	 	2212	96.98	 	69	3.02	 	2281	3.11
Lowden		                                     	3	1.58	 	0	0	 	12	6.32	 	0	0	 	31	16.32	 	114	60	 	0	0	 	8	4.21	 	22	11.58	 	0	0	 	0	0	 	190	98.96	 	2	1.04	 	192	0.26
Lower Kalgan		                               	7	2.99	 	0	0	 	8	3.42	 	1	0.43	 	44	18.8	 	104	44.44	 	1	0.43	 	15	6.41	 	54	23.08	 	0	0	 	0	0	 	234	97.91	 	5	2.09	 	239	0.33
Lower King		                                 	4	0.65	 	1	0.16	 	25	4.07	 	1	0.16	 	137	22.31	 	308	50.16	 	1	0.16	 	49	7.98	 	88	14.33	 	0	0	 	0	0	 	614	98.56	 	9	1.44	 	623	0.85
Ludlow		                                     	0	0	 	0	0	 	12	7.27	 	0	0	 	16	9.7	 	115	69.7	 	0	0	 	7	4.24	 	13	7.88	 	0	0	 	2	1.21	 	165	98.21	 	3	1.79	 	168	0.23
Manjimup		                                   	75	2.9	 	6	0.23	 	90	3.47	 	5	0.19	 	876	33.82	 	1342	51.81	 	6	0.23	 	138	5.33	 	52	2.01	 	0	0	 	0	0	 	2590	96.86	 	84	3.14	 	2674	3.64
Manjimup East		                              	16	2.54	 	2	0.32	 	26	4.12	 	1	0.16	 	239	37.88	 	308	48.81	 	1	0.16	 	23	3.65	 	15	2.38	 	0	0	 	0	0	 	631	97.83	 	14	2.17	 	645	0.88
Manypeaks		                                  	0	0	 	1	0.41	 	5	2.06	 	1	0.41	 	31	12.76	 	146	60.08	 	3	1.23	 	7	2.88	 	49	20.16	 	0	0	 	0	0	 	243	95.29	 	12	4.71	 	255	0.35
Margaret River		                             	8	0.49	 	3	0.18	 	276	16.91	 	1	0.06	 	465	28.49	 	796	48.77	 	0	0	 	65	3.98	 	17	1.04	 	0	0	 	1	0.06	 	1632	98.08	 	32	1.92	 	1664	2.27
Mayanup		                                    	5	4.39	 	0	0	 	0	0	 	0	0	 	0	0	 	78	68.42	 	0	0	 	2	1.75	 	29	25.44	 	0	0	 	0	0	 	114	99.13	 	1	0.87	 	115	0.16
Middlesex		                                  	0	0	 	1	0.88	 	10	8.77	 	0	0	 	20	17.54	 	74	64.91	 	1	0.88	 	3	2.63	 	5	4.39	 	0	0	 	0	0	 	114	99.13	 	1	0.87	 	115	0.16
Middleton Beach		                            	11	1.34	 	1	0.12	 	40	4.88	 	0	0	 	181	22.07	 	484	59.02	 	0	0	 	39	4.76	 	63	7.68	 	0	0	 	1	0.12	 	820	98.56	 	12	1.44	 	832	1.13
Nannup		                                     	2	0.36	 	0	0	 	80	14.49	 	1	0.18	 	165	29.89	 	241	43.66	 	1	0.18	 	34	6.16	 	28	5.07	 	0	0	 	0	0	 	552	96.5	 	20	3.5	 	572	0.78
Napier		                                     	0	0	 	0	0	 	6	4.14	 	0	0	 	22	15.17	 	62	42.76	 	0	0	 	14	9.66	 	41	28.28	 	0	0	 	0	0	 	145	99.32	 	1	0.68	 	146	0.2
Northcliffe		                                	6	1.34	 	0	0	 	57	12.72	 	1	0.22	 	129	28.79	 	225	50.22	 	2	0.45	 	20	4.46	 	7	1.56	 	0	0	 	1	0.22	 	448	97.39	 	12	2.61	 	460	0.63
Parryville		                                 	0	0	 	0	0	 	11	8.21	 	0	0	 	23	17.16	 	88	65.67	 	0	0	 	4	2.99	 	8	5.97	 	0	0	 	0	0	 	134	97.1	 	4	2.9	 	138	0.19
Pemberton		                                  	8	0.97	 	1	0.12	 	63	7.63	 	1	0.12	 	272	32.93	 	420	50.85	 	2	0.24	 	44	5.33	 	15	1.82	 	0	0	 	0	0	 	826	97.64	 	20	2.36	 	846	1.15
Perth (Forrest)		                            	4	4.4	 	0	0	 	2	2.2	 	0	0	 	29	31.87	 	50	54.95	 	0	0	 	5	5.49	 	0	0	 	0	0	 	1	1.1	 	91	98.91	 	1	1.09	 	92	0.13
Picton		                                     	11	1.88	 	2	0.34	 	15	2.57	 	0	0	 	219	37.5	 	301	51.54	 	0	0	 	22	3.77	 	13	2.23	 	1	0.17	 	0	0	 	584	98.15	 	11	1.85	 	595	0.81
Quinninup		                                  	0	0	 	0	0	 	12	15.38	 	1	1.28	 	26	33.33	 	33	42.31	 	1	1.28	 	4	5.13	 	1	1.28	 	0	0	 	0	0	 	78	95.12	 	4	4.88	 	82	0.11
Redmond		                                    	3	2.97	 	0	0	 	2	1.98	 	0	0	 	12	11.88	 	61	60.4	 	0	0	 	3	2.97	 	20	19.8	 	0	0	 	0	0	 	101	100	 	0	0	 	101	0.14
Rosa Brook		                                 	0	0	 	0	0	 	26	19.55	 	0	0	 	21	15.79	 	74	55.64	 	0	0	 	5	3.76	 	6	4.51	 	1	0.75	 	0	0	 	133	99.25	 	1	0.75	 	134	0.18
Scotsdale		                                  	2	0.96	 	0	0	 	22	10.53	 	0	0	 	42	20.1	 	117	55.98	 	0	0	 	13	6.22	 	13	6.22	 	0	0	 	0	0	 	209	98.58	 	3	1.42	 	212	0.29
Sealinks		                                   	24	1.51	 	3	0.19	 	44	2.77	 	2	0.13	 	441	27.79	 	982	61.88	 	1	0.06	 	62	3.91	 	26	1.64	 	0	0	 	2	0.13	 	1587	97.36	 	43	2.64	 	1630	2.22
South Bunbury		                              	11	1	 	2	0.18	 	67	6.07	 	0	0	 	443	40.16	 	502	45.51	 	3	0.27	 	57	5.17	 	17	1.54	 	1	0.09	 	0	0	 	1103	97.1	 	33	2.9	 	1136	1.55
South Stirling		                             	0	0	 	0	0	 	0	0	 	0	0	 	2	3.64	 	36	65.45	 	0	0	 	1	1.82	 	16	29.09	 	0	0	 	0	0	 	55	100	 	0	0	 	55	0.07
Spencer Park		                               	29	1.55	 	5	0.27	 	64	3.43	 	2	0.11	 	684	36.64	 	879	47.08	 	1	0.05	 	90	4.82	 	112	6	 	0	0	 	1	0.05	 	1867	97.65	 	45	2.35	 	1912	2.6
Tingledale		                                 	0	0	 	0	0	 	14	7.69	 	1	0.55	 	36	19.78	 	106	58.24	 	0	0	 	9	4.95	 	16	8.79	 	0	0	 	0	0	 	182	98.91	 	2	1.09	 	184	0.25
Vasse		                                      	5	0.59	 	1	0.12	 	64	7.55	 	3	0.35	 	157	18.51	 	562	66.27	 	3	0.35	 	33	3.89	 	16	1.89	 	0	0	 	4	0.47	 	848	98.72	 	11	1.28	 	859	1.17
Villa Maria		                                	5	1.1	 	0	0	 	26	5.7	 	0	0	 	136	29.82	 	253	55.48	 	1	0.22	 	25	5.48	 	8	1.75	 	1	0.22	 	1	0.22	 	456	98.06	 	9	1.94	 	465	0.63
Walpole		                                    	2	0.56	 	1	0.28	 	28	7.87	 	1	0.28	 	96	26.97	 	198	55.62	 	0	0	 	19	5.34	 	11	3.09	 	0	0	 	0	0	 	356	97	 	11	3	 	367	0.5
Wellstead		                                  	1	0.79	 	0	0	 	3	2.36	 	0	0	 	16	12.6	 	75	59.06	 	0	0	 	2	1.57	 	30	23.62	 	0	0	 	0	0	 	127	99.22	 	1	0.78	 	128	0.17
Witchcliffe		                                	1	0.35	 	1	0.35	 	64	22.61	 	0	0	 	35	12.37	 	159	56.18	 	1	0.35	 	8	2.83	 	14	4.95	 	0	0	 	0	0	 	283	98.95	 	3	1.05	 	286	0.39
Withers		                                    	20	1.12	 	3	0.17	 	72	4.03	 	1	0.06	 	993	55.6	 	578	32.36	 	4	0.22	 	101	5.66	 	14	0.78	 	0	0	 	0	0	 	1786	97.86	 	39	2.14	 	1825	2.48
Wollaston		                                  	3	0.36	 	2	0.24	 	17	2.06	 	0	0	 	298	36.03	 	428	51.75	 	0	0	 	63	7.62	 	14	1.69	 	1	0.12	 	1	0.12	 	827	97.99	 	17	2.01	 	844	1.15
Yakamia		                                    	32	2.27	 	3	0.21	 	67	4.76	 	2	0.14	 	429	30.49	 	749	53.23	 	5	0.36	 	67	4.76	 	50	3.55	 	2	0.14	 	1	0.07	 	1407	97.24	 	40	2.76	 	1447	1.97
Yallingup		                                  	3	0.99	 	1	0.33	 	56	18.42	 	0	0	 	67	22.04	 	165	54.28	 	0	0	 	8	2.63	 	4	1.32	 	0	0	 	0	0	 	304	98.7	 	4	1.3	 	308	0.42
Yanmah		                                     	1	0.88	 	0	0	 	9	7.96	 	0	0	 	19	16.81	 	77	68.14	 	0	0	 	5	4.42	 	1	0.88	 	0	0	 	1	0.88	 	113	97.41	 	3	2.59	 	116	0.16
Yoongarillup		                               	5	2.87	 	0	0	 	3	1.72	 	1	0.57	 	22	12.64	 	120	68.97	 	0	0	 	10	5.75	 	13	7.47	 	0	0	 	0	0	 	174	99.43	 	1	0.57	 	175	0.24
Yornup		                                     	3	2.38	 	0	0	 	2	1.59	 	0	0	 	19	15.08	 	88	69.84	 	1	0.79	 	4	3.17	 	9	7.14	 	0	0	 	0	0	 	126	96.92	 	4	3.08	 	130	0.18
Special Hospitals		                          	2	0.57	 	1	0.29	 	2	0.57	 	2	0.57	 	111	31.71	 	218	62.29	 	0	0	 	4	1.14	 	10	2.86	 	0	0	 	0	0	 	350	95.37	 	17	4.63	 	367	0.5
Prison Mobiles		                             	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0
Total Ordinary		                             	816	1.28	 	120	0.19	 	3922	6.15	 	83	0.13	 	20108	31.53	 	32923	51.62	 	111	0.17	 	3157	4.95	 	2436	3.82	 	44	0.07	 	64	0.1	 	63784	97.76	 	1462	2.24	 	65246	88.83
ABSENT		                                     	69	1.39	 	15	0.3	 	428	8.59	 	7	0.14	 	1443	28.98	 	2548	51.16	 	3	0.06	 	251	5.04	 	210	4.22	 	2	0.04	 	4	0.08	 	4980	99.03	 	49	0.97	 	5029	6.85
POSTAL		                                     	21	1.76	 	3	0.25	 	65	5.45	 	2	0.17	 	335	28.1	 	636	53.36	 	7	0.59	 	50	4.19	 	67	5.62	 	4	0.34	 	2	0.17	 	1192	98.92	 	13	1.08	 	1205	1.64
PRE_POLL		                                   	23	1.44	 	6	0.38	 	100	6.27	 	4	0.25	 	481	30.18	 	867	54.39	 	1	0.06	 	67	4.2	 	43	2.7	 	0	0	 	2	0.13	 	1594	99.07	 	15	0.93	 	1609	2.19
PROVISIONAL		                                	5	1.38	 	1	0.28	 	44	12.15	 	0	0	 	144	39.78	 	136	37.57	 	1	0.28	 	17	4.7	 	13	3.59	 	0	0	 	1	0.28	 	362	98.91	 	4	1.09	 	366	0.5
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	2		       	3		       	-1		       	-1		       	1		       	0		       	0		       	4		       	-7		       	-3	
Division Summary		                           	934	1.3	 	145	0.2	 	4559	6.34	 	96	0.13	 	22513	31.3	 	37113	51.61	 	122	0.17	 	3541	4.92	 	2770	3.85	 	50	0.07	 	73	0.1	 	71916	97.91	 	1536	2.09	 	73452	97.06
 																																											


Fremantle (74947)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Attadale		                                   	19	0.6	 	15	0.47	 	169	5.32	 	6	0.19	 	622	19.58	 	2207	69.47	 	1	0.03	 	122	3.84	 	12	0.38	 	0	0	 	4	0.13	 	3177	99.1	 	29	0.9	 	3206	4.44
Beaconsfield		                               	25	1.29	 	19	0.98	 	204	10.52	 	3	0.15	 	1046	53.95	 	543	28	 	1	0.05	 	88	4.54	 	2	0.1	 	8	0.41	 	0	0	 	1939	92.86	 	149	7.14	 	2088	2.89
Bibra Lake		                                 	17	0.85	 	8	0.4	 	89	4.43	 	4	0.2	 	867	43.11	 	924	45.95	 	1	0.05	 	88	4.38	 	4	0.2	 	2	0.1	 	7	0.35	 	2011	98.39	 	33	1.61	 	2044	2.83
Bicton		                                     	28	0.91	 	26	0.85	 	222	7.22	 	3	0.1	 	1062	34.55	 	1603	52.15	 	0	0	 	114	3.71	 	13	0.42	 	1	0.03	 	2	0.07	 	3074	98.4	 	50	1.6	 	3124	4.33
Coogee Beach		                               	13	1.23	 	2	0.19	 	51	4.82	 	2	0.19	 	450	42.49	 	499	47.12	 	1	0.09	 	36	3.4	 	2	0.19	 	1	0.09	 	2	0.19	 	1059	96.54	 	38	3.46	 	1097	1.52
Coolbellup		                                 	14	0.96	 	8	0.55	 	94	6.43	 	1	0.07	 	995	68.01	 	302	20.64	 	1	0.07	 	46	3.14	 	2	0.14	 	0	0	 	0	0	 	1463	96.5	 	53	3.5	 	1516	2.1
Coolbellup East		                            	14	0.83	 	2	0.12	 	94	5.57	 	1	0.06	 	1148	68.05	 	358	21.22	 	3	0.18	 	62	3.68	 	1	0.06	 	4	0.24	 	0	0	 	1687	97.07	 	51	2.93	 	1738	2.41
East Fremantle		                             	13	0.57	 	31	1.36	 	322	14.12	 	5	0.22	 	1021	44.76	 	770	33.76	 	3	0.13	 	106	4.65	 	6	0.26	 	1	0.04	 	3	0.13	 	2281	95.28	 	113	4.72	 	2394	3.32
Fremantle		                                  	16	0.93	 	42	2.43	 	311	17.99	 	6	0.35	 	817	47.25	 	442	25.56	 	4	0.23	 	83	4.8	 	5	0.29	 	1	0.06	 	2	0.12	 	1729	96.43	 	64	3.57	 	1793	2.48
Hamilton Hill East		                         	26	1.38	 	4	0.21	 	100	5.31	 	6	0.32	 	1112	59.02	 	551	29.25	 	1	0.05	 	70	3.72	 	4	0.21	 	7	0.37	 	3	0.16	 	1884	94.58	 	108	5.42	 	1992	2.76
Hamilton Hill North		                        	37	1.79	 	10	0.48	 	97	4.68	 	7	0.34	 	1157	55.84	 	692	33.4	 	2	0.1	 	54	2.61	 	9	0.43	 	7	0.34	 	0	0	 	2072	94.01	 	132	5.99	 	2204	3.05
Hamilton Hill South		                        	12	1	 	5	0.42	 	50	4.18	 	2	0.17	 	766	64.05	 	309	25.84	 	0	0	 	50	4.18	 	0	0	 	1	0.08	 	1	0.08	 	1196	94.4	 	71	5.6	 	1267	1.76
Hilton		                                     	18	1.02	 	16	0.9	 	120	6.78	 	3	0.17	 	1080	61.02	 	448	25.31	 	2	0.11	 	76	4.29	 	6	0.34	 	0	0	 	1	0.06	 	1770	95.78	 	78	4.22	 	1848	2.56
Jandakot		                                   	6	0.62	 	4	0.42	 	68	7.07	 	1	0.1	 	310	32.22	 	532	55.3	 	0	0	 	38	3.95	 	2	0.21	 	0	0	 	1	0.1	 	962	97.66	 	23	2.34	 	985	1.36
Kardinya (Fremantle)		                       	3	0.49	 	0	0	 	21	3.45	 	2	0.33	 	228	37.44	 	331	54.35	 	0	0	 	23	3.78	 	0	0	 	1	0.16	 	0	0	 	609	96.36	 	23	3.64	 	632	0.88
Kardinya West		                              	0	0	 	2	0.6	 	14	4.2	 	0	0	 	150	45.05	 	156	46.85	 	0	0	 	8	2.4	 	3	0.9	 	0	0	 	0	0	 	333	97.65	 	8	2.35	 	341	0.47
Melville Heights		                           	16	0.95	 	5	0.3	 	76	4.53	 	1	0.06	 	687	40.97	 	807	48.12	 	0	0	 	76	4.53	 	6	0.36	 	0	0	 	3	0.18	 	1677	98.13	 	32	1.87	 	1709	2.37
Melville South		                             	8	0.78	 	3	0.29	 	53	5.16	 	0	0	 	355	34.57	 	552	53.75	 	0	0	 	54	5.26	 	1	0.1	 	0	0	 	1	0.1	 	1027	98.85	 	12	1.15	 	1039	1.44
Munster		                                    	10	1.22	 	2	0.24	 	38	4.63	 	3	0.37	 	344	41.95	 	384	46.83	 	1	0.12	 	28	3.41	 	7	0.85	 	3	0.37	 	0	0	 	820	94.69	 	46	5.31	 	866	1.2
Myaree		                                     	12	0.56	 	9	0.42	 	160	7.47	 	4	0.19	 	704	32.88	 	1137	53.11	 	1	0.05	 	107	5	 	6	0.28	 	1	0.05	 	0	0	 	2141	98.48	 	33	1.52	 	2174	3.01
Naval Base		                                 	3	0.64	 	3	0.64	 	23	4.91	 	3	0.64	 	213	45.51	 	197	42.09	 	1	0.21	 	22	4.7	 	3	0.64	 	0	0	 	0	0	 	468	98.53	 	7	1.47	 	475	0.66
North Fremantle		                            	9	1.06	 	33	3.89	 	150	17.67	 	0	0	 	347	40.87	 	257	30.27	 	1	0.12	 	47	5.54	 	3	0.35	 	0	0	 	2	0.24	 	849	97.36	 	23	2.64	 	872	1.21
Palmyra		                                    	17	0.67	 	21	0.83	 	200	7.91	 	6	0.24	 	1191	47.09	 	957	37.84	 	2	0.08	 	119	4.71	 	13	0.51	 	2	0.08	 	1	0.04	 	2529	97.01	 	78	2.99	 	2607	3.61
Palmyra North		                              	9	1.96	 	2	0.43	 	50	10.87	 	0	0	 	175	38.04	 	195	42.39	 	1	0.22	 	24	5.22	 	4	0.87	 	0	0	 	0	0	 	460	96.03	 	19	3.97	 	479	0.66
Perth (Fremantle)		                          	1	1.52	 	0	0	 	6	9.09	 	0	0	 	31	46.97	 	23	34.85	 	0	0	 	5	7.58	 	0	0	 	0	0	 	0	0	 	66	97.06	 	2	2.94	 	68	0.09
Richmond		                                   	15	0.61	 	35	1.43	 	224	9.17	 	5	0.2	 	783	32.04	 	1272	52.05	 	3	0.12	 	95	3.89	 	7	0.29	 	3	0.12	 	2	0.08	 	2444	98.15	 	46	1.85	 	2490	3.45
Rottnest		                                   	2	0.92	 	4	1.83	 	23	10.55	 	1	0.46	 	59	27.06	 	114	52.29	 	0	0	 	14	6.42	 	1	0.46	 	0	0	 	0	0	 	218	99.54	 	1	0.46	 	219	0.3
Samson		                                     	27	1.28	 	4	0.19	 	87	4.11	 	3	0.14	 	1020	48.2	 	877	41.45	 	3	0.14	 	83	3.92	 	6	0.28	 	5	0.24	 	1	0.05	 	2116	96.93	 	67	3.07	 	2183	3.02
South Fremantle		                            	6	0.49	 	22	1.8	 	203	16.61	 	2	0.16	 	539	44.11	 	373	30.52	 	0	0	 	66	5.4	 	5	0.41	 	4	0.33	 	2	0.16	 	1222	96.22	 	48	3.78	 	1270	1.76
South Lake		                                 	27	1.09	 	12	0.49	 	110	4.45	 	3	0.12	 	1375	55.58	 	869	35.13	 	1	0.04	 	63	2.55	 	12	0.49	 	1	0.04	 	1	0.04	 	2474	97.59	 	61	2.41	 	2535	3.51
Spearwood		                                  	25	0.99	 	9	0.35	 	97	3.82	 	4	0.16	 	1487	58.64	 	819	32.29	 	4	0.16	 	79	3.12	 	8	0.32	 	2	0.08	 	2	0.08	 	2536	96.17	 	101	3.83	 	2637	3.65
Spearwood South		                            	24	0.97	 	5	0.2	 	135	5.43	 	7	0.28	 	1407	56.57	 	844	33.94	 	0	0	 	52	2.09	 	9	0.36	 	4	0.16	 	0	0	 	2487	95.76	 	110	4.24	 	2597	3.6
Spearwood West		                             	22	0.77	 	12	0.42	 	162	5.7	 	8	0.28	 	1679	59.1	 	858	30.2	 	3	0.11	 	80	2.82	 	10	0.35	 	7	0.25	 	0	0	 	2841	95.05	 	148	4.95	 	2989	4.14
Wattleup		                                   	4	0.54	 	6	0.8	 	22	2.95	 	1	0.13	 	451	60.46	 	233	31.23	 	0	0	 	23	3.08	 	6	0.8	 	0	0	 	0	0	 	746	95.03	 	39	4.97	 	785	1.09
White Gum Valley		                           	17	0.98	 	10	0.58	 	192	11.05	 	4	0.23	 	987	56.79	 	447	25.72	 	1	0.06	 	66	3.8	 	7	0.4	 	5	0.29	 	2	0.12	 	1738	93.59	 	119	6.41	 	1857	2.57
Willagee		                                   	9	0.76	 	1	0.08	 	48	4.05	 	0	0	 	778	65.65	 	294	24.81	 	2	0.17	 	48	4.05	 	4	0.34	 	0	0	 	1	0.08	 	1185	97.05	 	36	2.95	 	1221	1.69
Willagee East		                              	8	0.51	 	8	0.51	 	93	5.98	 	3	0.19	 	720	46.33	 	666	42.86	 	2	0.13	 	51	3.28	 	3	0.19	 	0	0	 	0	0	 	1554	97	 	48	3	 	1602	2.22
Yangebup		                                   	27	0.93	 	13	0.45	 	166	5.72	 	5	0.17	 	1584	54.58	 	984	33.91	 	1	0.03	 	107	3.69	 	6	0.21	 	4	0.14	 	5	0.17	 	2902	97.94	 	61	2.06	 	2963	4.1
Special Hospitals		                          	4	0.68	 	3	0.51	 	12	2.03	 	1	0.17	 	274	46.36	 	287	48.56	 	1	0.17	 	7	1.18	 	2	0.34	 	0	0	 	0	0	 	591	98.34	 	10	1.66	 	601	0.83
Total Ordinary		                             	563	0.9	 	416	0.67	 	4356	6.99	 	116	0.19	 	30021	48.16	 	24113	38.68	 	48	0.08	 	2380	3.82	 	200	0.32	 	75	0.12	 	49	0.08	 	62337	96.64	 	2170	3.36	 	64507	89.36
