Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
POSTAL		                                     	12	0.78	 	4	0.26	 	74	4.81	 	5	0.32	 	650	42.24	 	708	46	 	1	0.06	 	49	3.18	 	31	2.01	 	3	0.19	 	2	0.13	 	1539	99.48	 	8	0.52	 	1547	2
PRE_POLL		                                   	21	1.07	 	3	0.15	 	95	4.84	 	7	0.36	 	907	46.18	 	850	43.28	 	3	0.15	 	60	3.05	 	16	0.81	 	1	0.05	 	1	0.05	 	1964	99.24	 	15	0.76	 	1979	2.56
PROVISIONAL		                                	2	0.67	 	1	0.33	 	21	7	 	0	0	 	173	57.67	 	90	30	 	1	0.33	 	8	2.67	 	4	1.33	 	0	0	 	0	0	 	300	98.36	 	5	1.64	 	305	0.39
ADJUSTMENT		                                 	-3		       	2		       	-4		       	0		       	-1		       	-1		       	0		       	-1		       	0		       	0		       	-1		       	-9		       	9		       	0	
Division Summary		                           	961	1.27	 	174	0.23	 	3159	4.17	 	93	0.12	 	35648	47.04	 	32172	42.45	 	42	0.06	 	2646	3.49	 	769	1.01	 	61	0.08	 	65	0.09	 	75790	98.14	 	1440	1.86	 	77230	96.09
 																																											


Canning (70453)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Armadale		                                   	159	4.9	 	5	0.15	 	112	3.45	 	2	0.06	 	1481	45.67	 	1338	41.26	 	5	0.15	 	109	3.36	 	22	0.68	 	4	0.12	 	6	0.19	 	3243	97.45	 	85	2.55	 	3328	4.91
Armadale East		                              	71	3.56	 	10	0.5	 	93	4.66	 	2	0.1	 	665	33.33	 	1052	52.73	 	3	0.15	 	82	4.11	 	7	0.35	 	1	0.05	 	9	0.45	 	1995	98.52	 	30	1.48	 	2025	2.99
Armadale North		                             	38	2.88	 	5	0.38	 	52	3.95	 	1	0.08	 	562	42.64	 	597	45.3	 	0	0	 	56	4.25	 	4	0.3	 	0	0	 	3	0.23	 	1318	97.92	 	28	2.08	 	1346	1.99
Armadale South		                             	27	4.47	 	4	0.66	 	12	1.99	 	1	0.17	 	218	36.09	 	318	52.65	 	0	0	 	23	3.81	 	0	0	 	0	0	 	1	0.17	 	604	96.95	 	19	3.05	 	623	0.92
Armadale West		                              	44	3.13	 	3	0.21	 	51	3.62	 	3	0.21	 	721	51.21	 	518	36.79	 	1	0.07	 	54	3.84	 	10	0.71	 	0	0	 	3	0.21	 	1408	97.85	 	31	2.15	 	1439	2.12
Beckenham		                                  	52	3.56	 	6	0.41	 	61	4.18	 	3	0.21	 	640	43.81	 	631	43.19	 	3	0.21	 	58	3.97	 	3	0.21	 	4	0.27	 	0	0	 	1461	96.95	 	46	3.05	 	1507	2.22
Bedfordale		                                 	13	3.05	 	0	0	 	20	4.69	 	1	0.23	 	94	22.07	 	269	63.15	 	0	0	 	26	6.1	 	0	0	 	1	0.23	 	2	0.47	 	426	99.07	 	4	0.93	 	430	0.63
Byford		                                     	50	2.75	 	4	0.22	 	50	2.75	 	3	0.17	 	670	36.91	 	972	53.55	 	1	0.06	 	55	3.03	 	7	0.39	 	1	0.06	 	2	0.11	 	1815	97.79	 	41	2.21	 	1856	2.74
Canning Vale		                               	19	2.39	 	2	0.25	 	35	4.41	 	1	0.13	 	264	33.25	 	434	54.66	 	1	0.13	 	30	3.78	 	7	0.88	 	1	0.13	 	0	0	 	794	99.25	 	6	0.75	 	800	1.18
Forrestdale		                                	7	0.75	 	1	0.11	 	48	5.12	 	2	0.21	 	341	36.39	 	498	53.15	 	1	0.11	 	36	3.84	 	3	0.32	 	0	0	 	0	0	 	937	97.5	 	24	2.5	 	961	1.42
Gosnells		                                   	74	4	 	5	0.27	 	95	5.14	 	2	0.11	 	817	44.16	 	777	42	 	1	0.05	 	64	3.46	 	7	0.38	 	3	0.16	 	5	0.27	 	1850	97.68	 	44	2.32	 	1894	2.8
Gosnells Central		                           	79	3.36	 	2	0.09	 	108	4.6	 	5	0.21	 	867	36.93	 	1171	49.87	 	1	0.04	 	101	4.3	 	6	0.26	 	3	0.13	 	5	0.21	 	2348	97.27	 	66	2.73	 	2414	3.56
Gosnells South		                             	53	1.65	 	11	0.34	 	137	4.25	 	2	0.06	 	1649	51.2	 	1228	38.12	 	3	0.09	 	124	3.85	 	9	0.28	 	2	0.06	 	3	0.09	 	3221	98.08	 	63	1.92	 	3284	4.85
Gosnells West		                              	52	2.08	 	10	0.4	 	101	4.04	 	3	0.12	 	1152	46.1	 	1024	40.98	 	1	0.04	 	133	5.32	 	13	0.52	 	5	0.2	 	5	0.2	 	2499	97.88	 	54	2.12	 	2553	3.77
Huntingdale		                                	68	2.59	 	7	0.27	 	116	4.42	 	2	0.08	 	1216	46.31	 	1084	41.28	 	4	0.15	 	113	4.3	 	7	0.27	 	4	0.15	 	5	0.19	 	2626	98.61	 	37	1.39	 	2663	3.93
Jarrahdale		                                 	8	2.14	 	1	0.27	 	25	6.7	 	1	0.27	 	168	45.04	 	150	40.21	 	1	0.27	 	15	4.02	 	4	1.07	 	0	0	 	0	0	 	373	97.9	 	8	2.1	 	381	0.56
Kelmscott		                                  	66	3.32	 	6	0.3	 	96	4.83	 	2	0.1	 	982	49.37	 	742	37.31	 	0	0	 	76	3.82	 	7	0.35	 	5	0.25	 	7	0.35	 	1989	97.84	 	44	2.16	 	2033	3
Kelmscott East		                             	76	3.65	 	9	0.43	 	165	7.93	 	6	0.29	 	655	31.46	 	1081	51.92	 	1	0.05	 	79	3.79	 	6	0.29	 	1	0.05	 	3	0.14	 	2082	98.11	 	40	1.89	 	2122	3.13
Kelmscott North		                            	46	3.14	 	7	0.48	 	82	5.6	 	3	0.2	 	523	35.72	 	724	49.45	 	1	0.07	 	64	4.37	 	8	0.55	 	2	0.14	 	4	0.27	 	1464	98.85	 	17	1.15	 	1481	2.19
Kenwick		                                    	54	2.62	 	4	0.19	 	90	4.36	 	4	0.19	 	951	46.05	 	877	42.47	 	3	0.15	 	67	3.24	 	11	0.53	 	1	0.05	 	3	0.15	 	2065	97.5	 	53	2.5	 	2118	3.13
Langford (Canning)		                         	3	1.37	 	0	0	 	2	0.91	 	0	0	 	131	59.82	 	67	30.59	 	0	0	 	9	4.11	 	3	1.37	 	1	0.46	 	3	1.37	 	219	97.77	 	5	2.23	 	224	0.33
Maddington		                                 	54	1.63	 	6	0.18	 	139	4.19	 	8	0.24	 	1717	51.75	 	1241	37.4	 	6	0.18	 	126	3.8	 	14	0.42	 	2	0.06	 	5	0.15	 	3318	97.67	 	79	2.33	 	3397	5.01
Maddington North		                           	20	2.22	 	3	0.33	 	45	4.99	 	2	0.22	 	409	45.34	 	382	42.35	 	4	0.44	 	28	3.1	 	6	0.67	 	2	0.22	 	1	0.11	 	902	96.78	 	30	3.22	 	932	1.38
Mundijong		                                  	11	1.39	 	8	1.01	 	55	6.95	 	1	0.13	 	247	31.23	 	436	55.12	 	2	0.25	 	21	2.65	 	7	0.88	 	0	0	 	3	0.38	 	791	97.65	 	19	2.35	 	810	1.2
Oakford		                                    	6	1.02	 	2	0.34	 	31	5.26	 	1	0.17	 	187	31.75	 	338	57.39	 	2	0.34	 	15	2.55	 	3	0.51	 	3	0.51	 	1	0.17	 	589	98.17	 	11	1.83	 	600	0.89
Perth (Canning)		                            	1	1.18	 	0	0	 	5	5.88	 	2	2.35	 	44	51.76	 	29	34.12	 	0	0	 	4	4.71	 	0	0	 	0	0	 	0	0	 	85	98.84	 	1	1.16	 	86	0.13
Serpentine		                                 	10	1.29	 	1	0.13	 	39	5.02	 	2	0.26	 	199	25.61	 	502	64.61	 	1	0.13	 	14	1.8	 	9	1.16	 	0	0	 	0	0	 	777	98.6	 	11	1.4	 	788	1.16
Strawberry Fields		                          	37	2.2	 	2	0.12	 	66	3.93	 	1	0.06	 	859	51.16	 	631	37.58	 	3	0.18	 	66	3.93	 	5	0.3	 	5	0.3	 	4	0.24	 	1679	97.73	 	39	2.27	 	1718	2.54
Thornlie		                                   	79	2.13	 	9	0.24	 	142	3.82	 	3	0.08	 	1557	41.9	 	1763	47.44	 	3	0.08	 	137	3.69	 	18	0.48	 	2	0.05	 	3	0.08	 	3716	98.44	 	59	1.56	 	3775	5.57
Thornlie East		                              	65	1.87	 	5	0.14	 	150	4.32	 	5	0.14	 	1557	44.88	 	1523	43.9	 	2	0.06	 	131	3.78	 	12	0.35	 	9	0.26	 	10	0.29	 	3469	98.16	 	65	1.84	 	3534	5.22
