Senate - 1993 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66119)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Total Ordinary		                             	6260	11.84	 	23245	43.95	 	478	0.9	 	3937	7.44	 	232	0.44	 	59	0.11	 	1067	2.02	 	17589	33.26	 	24	0.05	 	52891	97.64	 	1280	2.36	 	54171	88.44
ABSENT		                                     	362	10.16	 	1645	46.16	 	42	1.18	 	350	9.82	 	14	0.39	 	7	0.2	 	74	2.08	 	1069	29.99	 	1	0.03	 	3564	98.29	 	62	1.71	 	3626	5.92
POSTAL		                                     	190	11.26	 	644	38.17	 	8	0.47	 	124	7.35	 	6	0.36	 	0	0	 	28	1.66	 	684	40.55	 	3	0.18	 	1687	99.29	 	12	0.71	 	1699	2.77
PRE_POLL		                                   	158	9.96	 	620	39.07	 	11	0.69	 	177	11.15	 	8	0.5	 	4	0.25	 	37	2.33	 	569	35.85	 	3	0.19	 	1587	99.06	 	15	0.94	 	1602	2.62
PROVISIONAL		                                	19	12.42	 	83	54.25	 	1	0.65	 	10	6.54	 	2	1.31	 	0	0	 	7	4.58	 	31	20.26	 	0	0	 	153	98.08	 	3	1.92	 	156	0.25
ADJUSTMENT		                                 	0		       	-2		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-2		       	2		       	0	
Division Summary		                           	6989	11.67	 	26235	43.81	 	540	0.9	 	4598	7.68	 	262	0.44	 	70	0.12	 	1213	2.03	 	19942	33.3	 	31	0.05	 	59880	97.76	 	1374	2.24	 	61254	97
 																																					


Lyons (65695)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Avoca		                                      	9	3.54	 	127	50	 	5	1.97	 	13	5.12	 	6	2.36	 	0	0	 	4	1.57	 	90	35.43	 	0	0	 	254	96.95	 	8	3.05	 	262	0.41
Bagdad		                                     	27	4.39	 	329	53.5	 	4	0.65	 	35	5.69	 	4	0.65	 	1	0.16	 	8	1.3	 	207	33.66	 	0	0	 	615	95.94	 	26	4.06	 	641	1
Barrington		                                 	19	8.92	 	61	28.64	 	3	1.41	 	7	3.29	 	4	1.88	 	0	0	 	3	1.41	 	116	54.46	 	0	0	 	213	98.16	 	4	1.84	 	217	0.34
Beaconsfield		                               	79	7.73	 	534	52.25	 	9	0.88	 	56	5.48	 	10	0.98	 	0	0	 	12	1.17	 	322	31.51	 	0	0	 	1022	95.87	 	44	4.13	 	1066	1.67
Beauty Point		                               	81	10.44	 	371	47.81	 	10	1.29	 	27	3.48	 	1	0.13	 	1	0.13	 	6	0.77	 	278	35.82	 	1	0.13	 	776	97.12	 	23	2.88	 	799	1.25
Bicheno		                                    	35	6.22	 	225	39.96	 	9	1.6	 	34	6.04	 	3	0.53	 	3	0.53	 	8	1.42	 	245	43.52	 	1	0.18	 	563	96.24	 	22	3.76	 	585	0.92
Bishopsbourne		                              	10	6.94	 	29	20.14	 	3	2.08	 	5	3.47	 	5	3.47	 	0	0	 	1	0.69	 	91	63.19	 	0	0	 	144	96	 	6	4	 	150	0.23
Bothwell		                                   	30	6.51	 	205	44.47	 	9	1.95	 	7	1.52	 	2	0.43	 	1	0.22	 	0	0	 	207	44.9	 	0	0	 	461	96.44	 	17	3.56	 	478	0.75
Bracknell		                                  	34	8.31	 	130	31.78	 	7	1.71	 	42	10.27	 	1	0.24	 	0	0	 	3	0.73	 	191	46.7	 	1	0.24	 	409	96.69	 	14	3.31	 	423	0.66
Brighton		                                   	90	8.65	 	555	53.37	 	7	0.67	 	25	2.4	 	1	0.1	 	1	0.1	 	12	1.15	 	348	33.46	 	1	0.1	 	1040	98.48	 	16	1.52	 	1056	1.65
Broadmarsh		                                 	8	4.82	 	49	29.52	 	2	1.2	 	10	6.02	 	1	0.6	 	2	1.2	 	2	1.2	 	92	55.42	 	0	0	 	166	98.81	 	2	1.19	 	168	0.26
Bronte		                                     	10	7.94	 	49	38.89	 	2	1.59	 	7	5.56	 	0	0	 	0	0	 	6	4.76	 	51	40.48	 	1	0.79	 	126	97.67	 	3	2.33	 	129	0.2
Buckland		                                   	6	4.69	 	51	39.84	 	1	0.78	 	6	4.69	 	0	0	 	0	0	 	0	0	 	64	50	 	0	0	 	128	96.24	 	5	3.76	 	133	0.21
Campania		                                   	37	8.55	 	188	43.42	 	4	0.92	 	16	3.7	 	1	0.23	 	0	0	 	5	1.15	 	182	42.03	 	0	0	 	433	98.41	 	7	1.59	 	440	0.69
Campbell Town		                              	64	7.91	 	466	57.6	 	7	0.87	 	28	3.46	 	5	0.62	 	1	0.12	 	15	1.85	 	222	27.44	 	1	0.12	 	809	96.89	 	26	3.11	 	835	1.31
Carrick		                                    	27	7.05	 	126	32.9	 	12	3.13	 	25	6.53	 	0	0	 	0	0	 	1	0.26	 	192	50.13	 	0	0	 	383	98.46	 	6	1.54	 	389	0.61
Chudleigh		                                  	21	8.11	 	65	25.1	 	2	0.77	 	19	7.34	 	1	0.39	 	0	0	 	3	1.16	 	148	57.14	 	0	0	 	259	95.93	 	11	4.07	 	270	0.42
Claude Road		                                	10	6.13	 	50	30.67	 	2	1.23	 	15	9.2	 	0	0	 	1	0.61	 	7	4.29	 	78	47.85	 	0	0	 	163	97.6	 	4	2.4	 	167	0.26
Colebrook		                                  	21	8.94	 	109	46.38	 	3	1.28	 	15	6.38	 	0	0	 	0	0	 	3	1.28	 	84	35.74	 	0	0	 	235	96.71	 	8	3.29	 	243	0.38
Coles Bay		                                  	7	5.38	 	44	33.85	 	1	0.77	 	18	13.85	 	0	0	 	0	0	 	1	0.77	 	59	45.38	 	0	0	 	130	99.24	 	1	0.76	 	131	0.21
Copping		                                    	18	9.38	 	69	35.94	 	3	1.56	 	29	15.1	 	0	0	 	0	0	 	2	1.04	 	71	36.98	 	0	0	 	192	96.97	 	6	3.03	 	198	0.31
Cressy		                                     	46	6.22	 	322	43.57	 	8	1.08	 	24	3.25	 	1	0.14	 	0	0	 	11	1.49	 	327	44.25	 	0	0	 	739	96.73	 	25	3.27	 	764	1.2
Deloraine		                                  	186	9.1	 	617	30.2	 	22	1.08	 	175	8.57	 	6	0.29	 	0	0	 	24	1.17	 	1013	49.58	 	0	0	 	2043	97.24	 	58	2.76	 	2101	3.29
Dodges Ferry		                               	118	8.42	 	729	52	 	8	0.57	 	163	11.63	 	7	0.5	 	3	0.21	 	28	2	 	346	24.68	 	0	0	 	1402	98.04	 	28	1.96	 	1430	2.24
Dromedary		                                  	15	6.28	 	140	58.58	 	1	0.42	 	14	5.86	 	1	0.42	 	0	0	 	2	0.84	 	66	27.62	 	0	0	 	239	97.15	 	7	2.85	 	246	0.39
Dunalley		                                   	33	8.55	 	181	46.89	 	4	1.04	 	30	7.77	 	0	0	 	0	0	 	0	0	 	138	35.75	 	0	0	 	386	98.22	 	7	1.78	 	393	0.62
Eaglehawk Neck		                             	20	7.63	 	103	39.31	 	4	1.53	 	30	11.45	 	0	0	 	0	0	 	4	1.53	 	101	38.55	 	0	0	 	262	97.04	 	8	2.96	 	270	0.42
Elizabeth Town		                             	31	8.59	 	71	19.67	 	6	1.66	 	41	11.36	 	0	0	 	0	0	 	9	2.49	 	202	55.96	 	1	0.28	 	361	97.3	 	10	2.7	 	371	0.58
Ellendale		                                  	14	7.65	 	75	40.98	 	1	0.55	 	13	7.1	 	0	0	 	0	0	 	2	1.09	 	78	42.62	 	0	0	 	183	96.83	 	6	3.17	 	189	0.3
Epping		                                     	6	4.11	 	51	34.93	 	3	2.05	 	2	1.37	 	1	0.68	 	0	0	 	0	0	 	83	56.85	 	0	0	 	146	97.99	 	3	2.01	 	149	0.23
Evandale		                                   	84	8.28	 	371	36.59	 	12	1.18	 	96	9.47	 	4	0.39	 	0	0	 	18	1.78	 	429	42.31	 	0	0	 	1014	97.59	 	25	2.41	 	1039	1.63
Exeter		                                     	116	9.68	 	406	33.89	 	9	0.75	 	120	10.02	 	8	0.67	 	4	0.33	 	19	1.59	 	516	43.07	 	0	0	 	1198	97.48	 	31	2.52	 	1229	1.92
Fingal		                                     	38	10.33	 	211	57.34	 	5	1.36	 	13	3.53	 	0	0	 	1	0.27	 	0	0	 	99	26.9	 	1	0.27	 	368	97.61	 	9	2.39	 	377	0.59
Forcett		                                    	14	7.22	 	85	43.81	 	0	0	 	14	7.22	 	0	0	 	1	0.52	 	0	0	 	80	41.24	 	0	0	 	194	96.52	 	7	3.48	 	201	0.31
Frankford		                                  	15	9.87	 	46	30.26	 	2	1.32	 	12	7.89	 	1	0.66	 	2	1.32	 	1	0.66	 	73	48.03	 	0	0	 	152	98.06	 	3	1.94	 	155	0.24
Glengarry		                                  	16	5.82	 	87	31.64	 	5	1.82	 	21	7.64	 	1	0.36	 	0	0	 	11	4	 	133	48.36	 	1	0.36	 	275	97.52	 	7	2.48	 	282	0.44
Glenora		                                    	30	10.38	 	148	51.21	 	4	1.38	 	14	4.84	 	4	1.38	 	0	0	 	6	2.08	 	83	28.72	 	0	0	 	289	95.07	 	15	4.93	 	304	0.48
Granton		                                    	23	10.04	 	90	39.3	 	0	0	 	5	2.18	 	0	0	 	0	0	 	5	2.18	 	106	46.29	 	0	0	 	229	97.86	 	5	2.14	 	234	0.37
Gravelly Beach		                             	47	8.5	 	208	37.61	 	5	0.9	 	82	14.83	 	0	0	 	0	0	 	8	1.45	 	203	36.71	 	0	0	 	553	98.22	 	10	1.78	 	563	0.88
Greens Beach		                               	7	4.86	 	48	33.33	 	1	0.69	 	10	6.94	 	2	1.39	 	0	0	 	0	0	 	76	52.78	 	0	0	 	144	97.96	 	3	2.04	 	147	0.23
Gretna		                                     	5	2.99	 	63	37.72	 	1	0.6	 	1	0.6	 	1	0.6	 	0	0	 	4	2.4	 	92	55.09	 	0	0	 	167	96.53	 	6	3.47	 	173	0.27
Hadspen		                                    	74	8.64	 	366	42.76	 	8	0.93	 	36	4.21	 	8	0.93	 	0	0	 	18	2.1	 	346	40.42	 	0	0	 	856	97.49	 	22	2.51	 	878	1.37
Hagley		                                     	19	7.12	 	34	12.73	 	3	1.12	 	10	3.75	 	2	0.75	 	0	0	 	4	1.5	 	195	73.03	 	0	0	 	267	97.8	 	6	2.2	 	273	0.43
Hamilton		                                   	9	4.86	 	103	55.68	 	6	3.24	 	3	1.62	 	0	0	 	0	0	 	1	0.54	 	63	34.05	 	0	0	 	185	94.87	 	10	5.13	 	195	0.31
Kempton		                                    	31	9.09	 	174	51.03	 	4	1.17	 	23	6.74	 	0	0	 	0	0	 	4	1.17	 	105	30.79	 	0	0	 	341	96.88	 	11	3.13	 	352	0.55
Koonya		                                     	4	3.54	 	42	37.17	 	1	0.88	 	23	20.35	 	1	0.88	 	0	0	 	1	0.88	 	41	36.28	 	0	0	 	113	97.41	 	3	2.59	 	116	0.18
Lachlan		                                    	23	8.55	 	143	53.16	 	2	0.74	 	22	8.18	 	1	0.37	 	0	0	 	6	2.23	 	72	26.77	 	0	0	 	269	96.76	 	9	3.24	 	278	0.44
Latrobe		                                    	240	10.3	 	1084	46.54	 	20	0.86	 	92	3.95	 	12	0.52	 	2	0.09	 	33	1.42	 	845	36.28	 	1	0.04	 	2329	96.96	 	73	3.04	 	2402	3.76
Legana (Lyons)		                             	46	8.57	 	145	27	 	3	0.56	 	45	8.38	 	13	2.42	 	2	0.37	 	12	2.23	 	271	50.47	 	0	0	 	537	98.9	 	6	1.1	 	543	0.85
Levendale		                                  	6	5.26	 	51	44.74	 	0	0	 	6	5.26	 	2	1.75	 	0	0	 	0	0	 	49	42.98	 	0	0	 	114	95.8	 	5	4.2	 	119	0.19
Longford		                                   	165	8.45	 	829	42.45	 	41	2.1	 	75	3.84	 	6	0.31	 	5	0.26	 	27	1.38	 	800	40.96	 	5	0.26	 	1953	96.68	 	67	3.32	 	2020	3.16
Lower Barrington		                           	26	10.88	 	62	25.94	 	2	0.84	 	18	7.53	 	0	0	 	1	0.42	 	5	2.09	 	125	52.3	 	0	0	 	239	98.35	 	4	1.65	 	243	0.38
Magra		                                      	35	8.97	 	231	59.23	 	3	0.77	 	6	1.54	 	3	0.77	 	1	0.26	 	3	0.77	 	108	27.69	 	0	0	 	390	96.3	 	15	3.7	 	405	0.63
Mathinna		                                   	8	6.11	 	86	65.65	 	1	0.76	 	6	4.58	 	0	0	 	0	0	 	2	1.53	 	28	21.37	 	0	0	 	131	97.04	 	4	2.96	 	135	0.21
Maydena		                                    	19	8.15	 	102	43.78	 	1	0.43	 	12	5.15	 	0	0	 	0	0	 	3	1.29	 	96	41.2	 	0	0	 	233	98.73	 	3	1.27	 	236	0.37
Meander		                                    	18	7.86	 	49	21.4	 	1	0.44	 	53	23.14	 	0	0	 	1	0.44	 	2	0.87	 	105	45.85	 	0	0	 	229	98.28	 	4	1.72	 	233	0.36
Midway Point		                               	145	10.21	 	699	49.23	 	9	0.63	 	64	4.51	 	7	0.49	 	0	0	 	23	1.62	 	471	33.17	 	2	0.14	 	1420	97.06	 	43	2.94	 	1463	2.29
Mole Creek		                                 	24	5.54	 	112	25.87	 	6	1.39	 	18	4.16	 	1	0.23	 	0	0	 	6	1.39	 	266	61.43	 	0	0	 	433	96.87	 	14	3.13	 	447	0.7
Molesworth		                                 	29	10.21	 	127	44.72	 	4	1.41	 	29	10.21	 	2	0.7	 	0	0	 	10	3.52	 	83	29.23	 	0	0	 	284	99.3	 	2	0.7	 	286	0.45
Moriarty		                                   	18	7.63	 	38	16.1	 	3	1.27	 	17	7.2	 	1	0.42	 	0	0	 	2	0.85	 	156	66.1	 	1	0.42	 	236	98.74	 	3	1.26	 	239	0.37
New Norfolk		                                	258	10.09	 	1492	58.35	 	17	0.66	 	85	3.32	 	4	0.16	 	3	0.12	 	34	1.33	 	661	25.85	 	3	0.12	 	2557	96.31	 	98	3.69	 	2655	4.16
New Norfolk North		                          	107	9.81	 	695	63.7	 	4	0.37	 	25	2.29	 	3	0.27	 	3	0.27	 	10	0.92	 	244	22.36	 	0	0	 	1091	98.38	 	18	1.62	 	1109	1.74
Nubeena		                                    	29	6.86	 	171	40.43	 	4	0.95	 	29	6.86	 	1	0.24	 	1	0.24	 	10	2.36	 	178	42.08	 	0	0	 	423	97.24	 	12	2.76	 	435	0.68
Oatlands		                                   	49	7.11	 	274	39.77	 	51	7.4	 	32	4.64	 	4	0.58	 	0	0	 	2	0.29	 	277	40.2	 	0	0	 	689	96.36	 	26	3.64	 	715	1.12
Orford		                                     	44	9.98	 	146	33.11	 	7	1.59	 	26	5.9	 	0	0	 	2	0.45	 	4	0.91	 	212	48.07	 	0	0	 	441	96.92	 	14	3.08	 	455	0.71
Ouse		                                       	28	8.36	 	144	42.99	 	4	1.19	 	12	3.58	 	1	0.3	 	0	0	 	5	1.49	 	141	42.09	 	0	0	 	335	97.95	 	7	2.05	 	342	0.54
Parattah		                                   	25	14.45	 	66	38.15	 	9	5.2	 	7	4.05	 	1	0.58	 	0	0	 	4	2.31	 	61	35.26	 	0	0	 	173	96.65	 	6	3.35	 	179	0.28
Perth		                                      	130	8.85	 	600	40.84	 	41	2.79	 	72	4.9	 	1	0.07	 	3	0.2	 	13	0.88	 	608	41.39	 	1	0.07	 	1469	97.35	 	40	2.65	 	1509	2.36
Pontville		                                  	33	9.3	 	171	48.17	 	4	1.13	 	16	4.51	 	3	0.85	 	0	0	 	13	3.66	 	114	32.11	 	1	0.28	 	355	98.07	 	7	1.93	 	362	0.57
Port Arthur		                                	21	11.35	 	67	36.22	 	3	1.62	 	13	7.03	 	0	0	 	0	0	 	3	1.62	 	78	42.16	 	0	0	 	185	96.35	 	7	3.65	 	192	0.3
Port Sorell		                                	119	8.76	 	473	34.83	 	14	1.03	 	104	7.66	 	8	0.59	 	1	0.07	 	28	2.06	 	610	44.92	 	1	0.07	 	1358	98.12	 	26	1.88	 	1384	2.17
Primrose Sands		                             	40	12.31	 	197	60.62	 	0	0	 	18	5.54	 	0	0	 	0	0	 	3	0.92	 	67	20.62	 	0	0	 	325	96.15	 	13	3.85	 	338	0.53
Pyengana		                                   	15	11.9	 	34	26.98	 	2	1.59	 	9	7.14	 	1	0.79	 	0	0	 	2	1.59	 	63	50	 	0	0	 	126	96.18	 	5	3.82	 	131	0.21
Queenstown		                                 	145	9.25	 	696	44.42	 	30	1.91	 	18	1.15	 	5	0.32	 	4	0.26	 	7	0.45	 	662	42.25	 	0	0	 	1567	96.49	 	57	3.51	 	1624	2.54
Queenstown South		                           	26	12.32	 	82	38.86	 	2	0.95	 	2	0.95	 	1	0.47	 	0	0	 	1	0.47	 	96	45.5	 	1	0.47	 	211	98.14	 	4	1.86	 	215	0.34
Railton		                                    	97	11.24	 	385	44.61	 	6	0.7	 	47	5.45	 	2	0.23	 	3	0.35	 	17	1.97	 	304	35.23	 	2	0.23	 	863	95.36	 	42	4.64	 	905	1.42
Richmond		                                   	83	9.71	 	388	45.38	 	3	0.35	 	72	8.42	 	0	0	 	1	0.12	 	17	1.99	 	291	34.04	 	0	0	 	855	95.85	 	37	4.15	 	892	1.4
Rosebery		                                   	65	8.53	 	481	63.12	 	1	0.13	 	10	1.31	 	1	0.13	 	2	0.26	 	6	0.79	 	178	23.36	 	18	2.36	 	762	97.32	 	21	2.68	 	783	1.23
Ross		                                       	17	4.52	 	179	47.61	 	2	0.53	 	11	2.93	 	1	0.27	 	0	0	 	4	1.06	 	162	43.09	 	0	0	 	376	96.91	 	12	3.09	 	388	0.61
Rossarden		                                  	10	14.29	 	39	55.71	 	0	0	 	5	7.14	 	0	0	 	0	0	 	1	1.43	 	15	21.43	 	0	0	 	70	94.59	 	4	5.41	 	74	0.12
St Helens		                                  	130	8.73	 	624	41.91	 	14	0.94	 	87	5.84	 	19	1.28	 	3	0.2	 	27	1.81	 	584	39.22	 	1	0.07	 	1489	96.56	 	53	3.44	 	1542	2.41
St Marys		                                   	58	9.32	 	336	54.02	 	6	0.96	 	47	7.56	 	15	2.41	 	0	0	 	6	0.96	 	154	24.76	 	0	0	 	622	96.58	 	22	3.42	 	644	1.01
Saltwater River		                            	7	7.87	 	47	52.81	 	1	1.12	 	3	3.37	 	0	0	 	0	0	 	0	0	 	31	34.83	 	0	0	 	89	98.89	 	1	1.11	 	90	0.14
Sassafras		                                  	20	8.44	 	47	19.83	 	2	0.84	 	5	2.11	 	3	1.27	 	0	0	 	0	0	 	160	67.51	 	0	0	 	237	99.16	 	2	0.84	 	239	0.37
Scamander		                                  	41	7.54	 	279	51.29	 	4	0.74	 	50	9.19	 	4	0.74	 	3	0.55	 	6	1.1	 	157	28.86	 	0	0	 	544	96.97	 	17	3.03	 	561	0.88
Sheffield		                                  	121	11.75	 	334	32.43	 	5	0.49	 	45	4.37	 	19	1.84	 	3	0.29	 	24	2.33	 	478	46.41	 	1	0.1	 	1030	96.99	 	32	3.01	 	1062	1.66
Sidmouth		                                   	55	11.11	 	163	32.93	 	8	1.62	 	40	8.08	 	8	1.62	 	0	0	 	13	2.63	 	206	41.62	 	2	0.4	 	495	98.8	 	6	1.2	 	501	0.78
Sorell		                                     	155	10.61	 	602	41.2	 	11	0.75	 	82	5.61	 	11	0.75	 	0	0	 	18	1.23	 	580	39.7	 	2	0.14	 	1461	97.27	 	41	2.73	 	1502	2.35
Strahan		                                    	40	9.52	 	171	40.71	 	16	3.81	 	16	3.81	 	0	0	 	0	0	 	5	1.19	 	171	40.71	 	1	0.24	 	420	97	 	13	3	 	433	0.68
Swansea		                                    	42	7.17	 	248	42.32	 	13	2.22	 	34	5.8	 	1	0.17	 	2	0.34	 	5	0.85	 	241	41.13	 	0	0	 	586	96.22	 	23	3.78	 	609	0.95
Tarraleah		                                  	13	7.83	 	90	54.22	 	2	1.2	 	5	3.01	 	2	1.2	 	0	0	 	2	1.2	 	52	31.33	 	0	0	 	166	98.22	 	3	1.78	 	169	0.26
Tea Tree		                                   	17	9.71	 	48	27.43	 	3	1.71	 	13	7.43	 	1	0.57	 	0	0	 	1	0.57	 	92	52.57	 	0	0	 	175	99.43	 	1	0.57	 	176	0.28
Triabunna		                                  	51	6.8	 	369	49.2	 	10	1.33	 	19	2.53	 	1	0.13	 	1	0.13	 	5	0.67	 	293	39.07	 	1	0.13	 	750	97.53	 	19	2.47	 	769	1.2
Tullah		                                     	35	15.7	 	100	44.84	 	0	0	 	9	4.04	 	0	0	 	0	0	 	1	0.45	 	76	34.08	 	2	0.9	 	223	96.12	 	9	3.88	 	232	0.36
Tunbridge		                                  	7	6.48	 	61	56.48	 	3	2.78	 	2	1.85	 	0	0	 	0	0	 	1	0.93	 	33	30.56	 	1	0.93	 	108	96.43	 	4	3.57	 	112	0.18
Tunnack		                                    	18	9.28	 	54	27.84	 	15	7.73	 	5	2.58	 	0	0	 	0	0	 	0	0	 	102	52.58	 	0	0	 	194	96.04	 	8	3.96	 	202	0.32
Wesley Vale		                                	40	10.44	 	87	22.72	 	2	0.52	 	52	13.58	 	0	0	 	0	0	 	7	1.83	 	195	50.91	 	0	0	 	383	98.46	 	6	1.54	 	389	0.61
Westbury		                                   	120	9.64	 	449	36.06	 	21	1.69	 	85	6.83	 	7	0.56	 	0	0	 	18	1.45	 	545	43.78	 	0	0	 	1245	94.75	 	69	5.25	 	1314	2.06
Westerway		                                  	11	4.91	 	110	49.11	 	2	0.89	 	11	4.91	 	0	0	 	0	0	 	4	1.79	 	85	37.95	 	1	0.45	 	224	94.51	 	13	5.49	 	237	0.37
West Kentish		                               	13	7.3	 	45	25.28	 	2	1.12	 	12	6.74	 	0	0	 	3	1.69	 	5	2.81	 	98	55.06	 	0	0	 	178	97.8	 	4	2.2	 	182	0.28
Whitemore		                                  	5	3.6	 	9	6.47	 	30	21.58	 	1	0.72	 	0	0	 	0	0	 	4	2.88	 	90	64.75	 	0	0	 	139	99.29	 	1	0.71	 	140	0.22
Wilmot		                                     	24	8.39	 	80	27.97	 	3	1.05	 	22	7.69	 	1	0.35	 	0	0	 	7	2.45	 	147	51.4	 	2	0.7	 	286	98.28	 	5	1.72	 	291	0.46
Zeehan		                                     	38	6.3	 	322	53.4	 	3	0.5	 	15	2.49	 	2	0.33	 	1	0.17	 	6	1	 	206	34.16	 	10	1.66	 	603	95.11	 	31	4.89	 	634	0.99
Special Hospitals		                          	13	11.4	 	59	51.75	 	5	4.39	 	1	0.88	 	1	0.88	 	0	0	 	0	0	 	35	30.7	 	0	0	 	114	98.28	 	2	1.72	 	116	0.18
Prison Mobiles		                             	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0
Total Ordinary		                             	4861	8.77	 	23875	43.08	 	709	1.28	 	3151	5.69	 	273	0.49	 	73	0.13	 	765	1.38	 	21640	39.05	 	69	0.12	 	55416	97.06	 	1677	2.94	 	57093	89.39
ABSENT		                                     	271	7.71	 	1479	42.09	 	52	1.48	 	306	8.71	 	9	0.26	 	6	0.17	 	71	2.02	 	1319	37.54	 	1	0.03	 	3514	98.27	 	62	1.73	 	3576	5.6
POSTAL		                                     	173	8.66	 	789	39.51	 	21	1.05	 	113	5.66	 	9	0.45	 	1	0.05	 	25	1.25	 	861	43.11	 	5	0.25	 	1997	98.62	 	28	1.38	 	2025	3.17
PRE_POLL		                                   	59	6.26	 	329	34.93	 	11	1.17	 	115	12.21	 	6	0.64	 	4	0.42	 	28	2.97	 	389	41.3	 	1	0.11	 	942	98.64	 	13	1.36	 	955	1.5
PROVISIONAL		                                	15	6.98	 	113	52.56	 	1	0.47	 	14	6.51	 	1	0.47	 	0	0	 	5	2.33	 	66	30.7	 	0	0	 	215	96.85	 	7	3.15	 	222	0.35
ADJUSTMENT		                                 	-4		       	-2		       	0		       	1		       	0		       	0		       	0		       	-2		       	-2		       	-9		       	10		       	1	
Division Summary		                           	5375	8.66	 	26583	42.82	 	794	1.28	 	3700	5.96	 	298	0.48	 	84	0.14	 	894	1.44	 	24273	39.1	 	74	0.12	 	62075	97.19	 	1797	2.81	 	63872	97.23
 																																					
