Senate - 1993 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66119)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Abbotsham		                                  	10	6.94	 	36	25	 	0	0	 	7	4.86	 	0	0	 	0	0	 	0	0	 	91	63.19	 	0	0	 	144	98.63	 	2	1.37	 	146	0.23
Acton		                                      	195	9.24	 	1374	65.12	 	20	0.95	 	34	1.61	 	11	0.52	 	1	0.05	 	26	1.23	 	447	21.18	 	2	0.09	 	2110	96.79	 	70	3.21	 	2180	3.5
Addison Street		                             	76	10.05	 	359	47.49	 	4	0.53	 	26	3.44	 	3	0.4	 	0	0	 	14	1.85	 	273	36.11	 	1	0.13	 	756	97.55	 	19	2.45	 	775	1.24
Blythe Heads		                               	21	8.97	 	107	45.73	 	1	0.43	 	7	2.99	 	0	0	 	0	0	 	6	2.56	 	92	39.32	 	0	0	 	234	96.69	 	8	3.31	 	242	0.39
Boat Harbour		                               	17	5.69	 	75	25.08	 	2	0.67	 	23	7.69	 	3	1	 	0	0	 	1	0.33	 	176	58.86	 	2	0.67	 	299	99.01	 	3	0.99	 	302	0.48
Brooklyn		                                   	44	6.94	 	350	55.21	 	8	1.26	 	14	2.21	 	0	0	 	0	0	 	9	1.42	 	209	32.97	 	0	0	 	634	98.75	 	8	1.25	 	642	1.03
Burnie		                                     	157	11.67	 	535	39.78	 	11	0.82	 	83	6.17	 	2	0.15	 	1	0.07	 	16	1.19	 	538	40	 	2	0.15	 	1345	97.39	 	36	2.61	 	1381	2.22
Burnie South		                               	56	10.94	 	235	45.9	 	2	0.39	 	16	3.13	 	0	0	 	0	0	 	6	1.17	 	195	38.09	 	2	0.39	 	512	98.08	 	10	1.92	 	522	0.84
Calder		                                     	7	10.14	 	13	18.84	 	0	0	 	10	14.49	 	0	0	 	0	0	 	0	0	 	39	56.52	 	0	0	 	69	98.57	 	1	1.43	 	70	0.11
Cooee		                                      	113	12.38	 	341	37.35	 	5	0.55	 	35	3.83	 	9	0.99	 	2	0.22	 	15	1.64	 	392	42.94	 	1	0.11	 	913	96.82	 	30	3.18	 	943	1.51
Cuprona		                                    	10	7.19	 	39	28.06	 	1	0.72	 	6	4.32	 	0	0	 	0	0	 	1	0.72	 	82	58.99	 	0	0	 	139	97.89	 	3	2.11	 	142	0.23
Currie		                                     	72	8.36	 	254	29.5	 	9	1.05	 	40	4.65	 	5	0.58	 	1	0.12	 	13	1.51	 	467	54.24	 	0	0	 	861	95.99	 	36	4.01	 	897	1.44
