House of Representatives -1996 Election : Tasmania																														
First Preference Votes and TCP																														
By Candidate by Polling Place																														


Bass (66017)																														

		# SMITH			SMITH			NICKLASON			BUTLER			FORMAL			INFORMAL			TOTAL										
		Warwick		          	Silvia		         	Kristina		           	Debbie		         			     			     			     	Two Candidate Preferred		    			    		
		LP			ALP			TG			DEM					 			 			 	# SMITH LP			 SMITH ALP			 EXHAUSTED 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Upper Burnie	                                	59	4.18	 	640	45.39	 	668	47.38	 	43	3.05	 	1410	96.91	 	45	3.09	 	1455	2.37	 	705	50.04	 	704	49.96	 	1
Valley Road	                                 	44	3.02	 	619	42.46	 	739	50.69	 	56	3.84	 	1458	97.2	 	42	2.8	 	1500	2.44	 	679	46.6	 	778	53.4	 	1
Waratah	                                     	7	5.51	 	70	55.12	 	43	33.86	 	7	5.51	 	127	97.69	 	3	2.31	 	130	0.21	 	79	62.2	 	48	37.8	 	0
West Wynyard	                                	48	5.27	 	388	42.59	 	436	47.86	 	39	4.28	 	911	97.33	 	25	2.67	 	936	1.52	 	439	48.19	 	472	51.81	 	0
Wivenhoe	                                    	19	4.57	 	168	40.38	 	211	50.72	 	18	4.33	 	416	96.3	 	16	3.7	 	432	0.7	 	185	44.47	 	231	55.53	 	0
Wynyard	                                     	135	6.52	 	771	37.23	 	1075	51.91	 	90	4.35	 	2071	97.32	 	57	2.68	 	2128	3.46	 	908	43.99	 	1156	56.01	 	7
Wynyard East	                                	22	4.28	 	219	42.61	 	249	48.44	 	24	4.67	 	514	95.19	 	26	4.81	 	540	0.88	 	248	48.25	 	266	51.75	 	0
Yolla	                                       	47	11.14	 	135	31.99	 	219	51.9	 	21	4.98	 	422	98.14	 	8	1.86	 	430	0.7	 	174	41.43	 	246	58.57	 	2
Special Hospitals	                           	25	5.22	 	146	30.48	 	295	61.59	 	13	2.71	 	479	97.36	 	13	2.64	 	492	0.8	 	172	35.91	 	307	64.09	 	0
Total Ordinary	                              	2622	5.18	 	19677	38.86	 	26410	52.16	 	1924	3.8	 	50633	97.27	 	1422	2.73	 	52055	84.74	 	22466	44.44	 	28087	55.56	 	80
ABSENT	                                      	266	7.47	 	1310	36.81	 	1832	51.48	 	151	4.24	 	3559	97.72	 	83	2.28	 	3642	5.93	 	1567	44.09	 	1987	55.91	 	5
POSTAL	                                      	185	7.18	 	771	29.91	 	1508	58.49	 	114	4.42	 	2578	99.42	 	15	0.58	 	2593	4.22	 	969	37.59	 	1609	62.41	 	0
PRE_POLL	                                    	224	9.9	 	793	35.06	 	1136	50.22	 	109	4.82	 	2262	98.52	 	34	1.48	 	2296	3.74	 	1012	44.8	 	1247	55.2	 	3
PROVISIONAL	                                 	78	9.64	 	377	46.6	 	315	38.94	 	39	4.82	 	809	96.2	 	32	3.8	 	841	1.37	 	459	56.81	 	349	43.19	 	1
Division Summary	                            	3375	5.64	 	22928	38.31	 	31201	52.14	 	2337	3.91	 	59841	97.42	 	1586	2.58	 	61427	96.81	 	26473	44.3	 	33279	55.7	 	89				
 																																	


Denison (67097)																																	

		WELDRICK			# KERR			DUDGEON			STEPHEN			WREN			FORMAL			INFORMAL			TOTAL										
		Karen		        	Duncan		         	Rachel		         	Sarah		        	Ingrid		         			     			     			     	Two Candidate Preferred		    			    		
		TG			ALP			DEM						LP					 			 			 	# KERR ALP			 WREN LP			 EXHAUSTED 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Abbotsfield	                                 	61	4.02	 	1016	67.02	 	44	2.9	 	15	0.99	 	380	25.07	 	1516	96.99	 	47	3.01	 	1563	2.42	 	1092	72.08	 	423	27.92	 	1	
Albuera	                                     	78	17.49	 	195	43.72	 	25	5.61	 	2	0.45	 	146	32.74	 	446	98.89	 	5	1.11	 	451	0.7	 	272	61.82	 	168	38.18	 	6	
Austins Ferry	                               	48	3.66	 	788	60.02	 	40	3.05	 	6	0.46	 	431	32.83	 	1313	97.99	 	27	2.01	 	1340	2.08	 	850	64.74	 	463	35.26	 	0	
Battery Point	                               	130	11.56	 	472	41.96	 	53	4.71	 	8	0.71	 	462	41.07	 	1125	98.77	 	14	1.23	 	1139	1.76	 	613	54.73	 	507	45.27	 	5	
Bowen Road	                                  	95	4.98	 	1214	63.66	 	71	3.72	 	14	0.73	 	513	26.9	 	1907	97	 	59	3	 	1966	3.05	 	1333	70.12	 	568	29.88	 	6	
Brent Street	                                	26	3.51	 	449	60.68	 	26	3.51	 	4	0.54	 	235	31.76	 	740	97.5	 	19	2.5	 	759	1.18	 	489	66.08	 	251	33.92	 	0	
Cascades	                                    	166	17.17	 	489	50.57	 	54	5.58	 	10	1.03	 	248	25.65	 	967	97.09	 	29	2.91	 	996	1.54	 	677	70.3	 	286	29.7	 	4
