House of Representatives - 1996 Election 							
Swing to ALP 							
By Division by Polling Place							

New South Wales							

Banks							

Polling Place	Formal	MELHAM		SPARKES		Swing	Exh
Yaamba	146	19	13.01	127	86.99	-1.27	0
Yeppoon	4093	1645	40.36	2431	59.64	-6.47	17
ABSENT	4993	2392	48.03	2588	51.97	-	13
POSTAL	4053	1563	38.58	2488	61.42	-	2
PRE POLL	2133	986	46.33	1142	53.67	-	5
PROVISIONAL	419	239	57.18	179	42.82	-	1
Division Total	78097	36153	46.38	41801	53.62	-6.4	143


Dawson							

Polling Place	Formal	GILBERT		KELLY		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Airlie Beach	720	206	28.69	512	71.31	-3.74	2
Airville	370	40	10.81	330	89.19	-9.19	0
Alligator Creek	968	421	43.49	547	56.51	-1.3	0
Andergrove	3128	1391	44.57	1730	55.43	-6.45	7
Ayr	2101	691	33	1403	67	-9.45	7
Ayr Hospital	1163	435	37.44	727	62.56	-10.2	1
Bloomsbury	334	93	27.84	241	72.16	-3.29	0
Bowen	2614	1311	50.23	1299	49.77	-8.16	4
Bowen Hospital	251	119	47.41	132	52.59	-9.44	0
Brandon	798	227	28.45	571	71.55	-8.06	0
Brisbane City (Dawson)	68	14	20.59	54	79.41	-3.8	0
Bucasia	1249	506	40.54	742	59.46	-7.53	1
Calen	397	111	27.96	286	72.04	-5.29	0
Cannonvale Beach	1585	489	31.03	1087	68.97	-7.59	9
Carmila	226	66	29.2	160	70.8	-5.2	0
Chelona	434	111	25.58	323	74.42	-5.91	0
Clare	305	46	15.08	259	84.92	-6.41	0
Collinsville	905	658	72.87	245	27.13	-3.83	2
Collinsville Hospital	130	85	65.38	45	34.62	-5.83	0
Coningsby	539	169	31.35	370	68.65	-5.78	0
Conway Beach	187	56	30.11	130	69.89	-6.44	1
Coppabella	107	84	78.5	23	21.5	2.14	0
Cunningham Home	348	152	43.68	196	56.32	-8.99	0
Dalbeg	43	5	11.63	38	88.37	-6.37	0
Dundula	689	352	51.16	336	48.84	-3.57	1
East Ayr	1429	496	34.76	931	65.24	-10.16	2
Eimeo	1708	642	37.68	1062	62.32	-7.56	4
Emmanuel	1631	556	34.17	1071	65.83	-6.05	4
Eton	426	121	28.4	305	71.6	-10.86	0
Eungella	187	62	33.88	121	66.12	-0.64	4
Farleigh	457	143	31.29	314	68.71	-6.09	0
Finch Hatton	322	113	35.09	209	64.91	-6.27	0
Fitzgerald	2120	941	44.45	1176	55.55	-3.99	3
Gargett	217	46	21.2	171	78.8	-7.83	0
Giru	564	156	27.71	407	72.29	-9.51	1
Glenden	558	366	65.59	192	34.41	-4.63	0
Glenella	812	281	34.65	530	65.35	-2.1	1
Good Shepherd Lodge	108	42	38.89	66	61.11	-1.82	0
Goose Ponds	1575	740	47.19	828	52.81	-7.54	7
Grendon Street	691	376	54.41	315	45.59	1.01	0
Gumlu	181	60	33.15	121	66.85	-12.13	0
Habana	346	110	31.88	235	68.12	-1	1
Hampden	445	113	25.51	330	74.49	-3.46	2
Home Hill	2178	652	29.96	1524	70.04	-10.57	2
Homebush	300	76	25.42	223	74.58	-3.24	1
Homefield	987	405	41.12	580	58.88	-0.74	2
Inkerman	201	38	18.91	163	81.09	-2.8	0
Jarvisfield	330	49	14.89	280	85.11	-4.93	1
Kalamia	356	104	29.21	252	70.79	-9	0
Kelsey Creek	110	29	26.36	81	73.64	3.71	0
Koumala	456	108	23.74	347	76.26	-8.96	1
Lower Gregory	206	49	23.79	157	76.21	-1.11	0
Mackay	1248	606	48.67	639	51.33	-3.12	3
Mackay East	533	223	41.84	310	58.16	-11.58	0
Mackay Hospital	689	286	41.57	402	58.43	-7.84	1
Mackay Mater Hospital	423	143	34.05	277	65.95	-7.87	3
Mackay South	2560	1213	47.48	1342	52.52	-6.36	5
Mackay West	2261	1005	44.53	1252	55.47	-6.21	4
Marian	757	303	40.03	454	59.97	-5.99	0
Merinda	536	249	46.46	287	53.54	-2.56	0
Millaroo	81	11	13.58	70	86.42	-6.03	0
Mirani	665	211	31.83	452	68.17	-4.28	2
Mount Julian	264	90	34.22	173	65.78	1.69	1
Mount Ossa	184	25	13.66	158	86.34	-12.13	1
Nebo	220	68	30.91	152	69.09	-3.56	0
Nebo Road	1323	479	36.29	841	63.71	-6.08	3
Nome	869	325	37.53	541	62.47	-10.89	3
North Eton	149	55	36.91	94	63.09	-2.06	0
North Mackay	959	458	47.91	498	52.09	-5.73	3
Oakenden	89	20	22.47	69	77.53	-7.63	0
Osborne	243	32	13.17	211	86.83	-3.73	0
Parkside	497	168	33.94	327	66.06	-11.09	2
Pindi Pindi	117	21	17.95	96	82.05	-0.97	0
Pinnacle	147	34	23.13	113	76.87	0.11	0
Planlands	445	172	38.65	273	61.35	-1.16	0
Pleystowe	317	97	30.6	220	69.4	-3.2	0
Proserpine	2063	680	33.03	1379	66.97	-5.42	4
Proserpine Hospital	585	238	40.68	347	59.32	-0.16	0
Queens Beach	1135	538	47.48	595	52.52	-8.09	2
Racecourse	381	129	33.95	251	66.05	2.57	1
Sarina	2803	1502	53.62	1299	46.38	-6.51	2
Sarina Beach	343	142	41.4	201	58.6	-5.73	0
Sarina Range	134	40	29.85	94	70.15	0.93	0
Scottville	210	148	70.48	62	29.52	-0.02	0
Seaforth	673	227	33.73	446	66.27	-4.21	0
Septimus	104	7	6.73	97	93.27	-3.07	0
Shinfield	227	88	38.77	139	61.23	-5.23	0
Slade Point	1810	916	50.69	891	49.31	-6.85	3
Special Hospital Team 1	71	24	34.29	46	65.71	-	1
Special Hospital Team 2	21	8	38.1	13	61.9	-	0
Special Hospital Team 3	24	4	17.39	19	82.61	-	1
Special Hospital Team 4	145	63	43.45	82	56.55	-	0
Victoria Park	2409	1156	48.13	1246	51.87	-5.17	7
Walkerston	1619	611	37.74	1008	62.26	-4.01	0
Yalboroo	76	18	23.68	58	76.32	-16.32	0
ABSENT	4012	1653	41.34	2346	58.66	-	13
POSTAL	2654	994	37.48	1658	62.52	-	2
PRE POLL	3154	1252	39.73	1899	60.27	-	3
PROVISIONAL	557	300	53.86	257	46.14	-	0
Division Total	79346	31744	40.08	47461	59.92	-5.96	141


Dickson							

Polling Place	Formal	LAVARCH		SMITH		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Albany Creek (Dickson)	4321	1730	40.08	2586	59.92	-7.96	5
Albany Creek South	2791	1040	37.34	1745	62.66	-4.95	6
Arana Hills	1391	665	47.88	724	52.12	-4.68	2
Bray Park	4622	2444	52.97	2170	47.03	-4.05	8
Brisbane City (Dickson)	214	114	53.77	98	46.23	-14.56	2
Closeburn	550	162	29.56	386	70.44	-8.12	2
Dakabin	576	278	48.43	296	51.57	-3.41	2
Eatons Hill	2236	829	37.17	1401	62.83	-9.75	6
Everton Hills	2527	1063	42.15	1459	57.85	-9.75	5
Everton Park	1400	664	47.5	734	52.5	-7.21	2
Everton Park North	2276	869	38.3	1400	61.7	-7.97	7
Ferny Grove	2879	1291	45.03	1576	54.97	-2.08	12
Ferny Hills	3173	1476	46.64	1689	53.36	-6.11	8
Ferny Hills North	2827	1318	46.75	1501	53.25	-3.96	8
Gaythorne (Dickson)	491	226	46.22	263	53.78	-5.69	2
Grovely	2583	1369	53.08	1210	46.92	-17.35	4
Kallangur	4515	2382	52.85	2125	47.15	-4.05	8
Kallangur East	1375	722	52.62	650	47.38	-4.25	3
Kallangur West	615	338	54.96	277	45.04	-4.33	0
Keperra	2424	1138	47.06	1280	52.94	-4.18	6
Kurwongbah	1988	1000	50.51	980	49.49	-4.98	8
Lawnton	3168	1671	52.76	1496	47.24	-4.95	1
Mitchelton	1684	820	48.69	864	51.31	-9.22	0
Mitchelton East	713	341	47.83	372	52.17	-6.47	0
Mount Nebo	312	181	58.58	128	41.42	1.54	3
Murrumba Downs	1628	722	44.4	904	55.6	-7.85	2
Oxford Park	1555	846	54.48	707	45.52	-7.67	2
Petrie (Dickson)	2196	1062	48.52	1127	51.48	-2.06	7
Samford	2830	910	32.26	1911	67.74	-3.52	9
Special Hospital Team 1	139	67	48.91	70	51.09	-	2
Stafford Heights (Dickson)	139	43	30.94	96	69.06	-20.98	0
Stafford West (Dickson)	803	316	39.7	480	60.3	-14.77	7
Strathpine	2239	1133	50.72	1101	49.28	-5.12	5
Strathpine East	1392	743	53.49	646	46.51	-4.75	3
Strathpine West	2107	1122	53.35	981	46.65	-4.23	4
ABSENT	5119	2424	47.53	2676	52.47	-	19
POSTAL	2845	1362	47.87	1483	52.13	-	0
PRE POLL	2319	1063	45.92	1252	54.08	-	4
PROVISIONAL	196	107	54.59	89	45.41	-	0
Division Total	77158	36051	46.83	40933	53.17	-5.72	174


Fadden							

Polling Place	Formal	MERLEHAN		JULL		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Alberton	390	98	25.13	292	74.87	-17.92	0
Arundel	3687	1059	28.74	2626	71.26	-13.56	2
Biggera Waters (Fadden)	2083	675	32.45	1405	67.55	-11.8	3
Brisbane City (Fadden)	117	35	29.91	82	70.09	-18.23	0
Canowindra	644	187	29.04	457	70.96	-11.25	0
Capalaba School (Fadden)	637	184	28.98	451	71.02	-14	2
Carbrook	910	270	29.74	638	70.26	-14.72	2
Chatswood Hills	2033	665	32.77	1364	67.23	-14.67	4
Coochiemudlo Island	249	99	39.76	150	60.24	-9.55	0
Coombabah	2497	806	32.36	1685	67.64	-14.23	6
Coomera (Fadden)	675	208	30.86	466	69.14	-11.51	1
Eight Mile Plains (Fadden)	1908	689	36.24	1212	63.76	-13.14	7
Helensvale	2808	928	33.06	1879	66.94	-7.78	1
Helensvale North	1759	505	28.79	1249	71.21	-12.02	5
Hope Island	913	207	22.67	706	77.33	-9.31	0
Jacobs Well	311	87	28.16	222	71.84	-11.93	2
Kimberley Park	1466	472	32.31	989	67.69	-11.47	5
Lamb Island	158	62	39.24	96	60.76	-19.73	0
Macleay Island	609	273	44.83	336	55.17	-13.6	0
Mt Cotton	736	216	29.39	519	70.61	-10.41	1
Paradise Lakes	1168	419	36.09	742	63.91	-12.68	7
Paradise Point	2923	726	24.91	2189	75.09	-12.76	8
Redland Bay	2880	983	34.2	1891	65.8	-10.04	6
Rochedale (Fadden)	817	243	30.04	566	69.96	-18.43	8
Rochedale South	2935	1129	38.61	1795	61.39	-9.89	11
Runaway Bay	3884	949	24.46	2931	75.54	-22	4
Russell Island	542	255	47.4	283	52.6	-11.43	4
Shailer Park (Fadden)	3833	1251	32.76	2568	67.24	-13.87	14
Slacks Creek (Fadden)	3746	1334	35.67	2406	64.33	-10.66	6
Special Hospital Team 1	225	26	11.56	199	88.44	-	0
Special Hospital Team 2	242	27	11.16	215	88.84	-	0
Springwood Central	2343	760	32.55	1575	67.45	-12.11	8
Springwood Road	4255	1467	34.62	2771	65.38	-12.67	17
Victoria Point	3544	1228	34.69	2312	65.31	-13.69	4
Victoria Point South	1347	499	37.1	846	62.9	-10.48	2
Woongoolba	731	195	26.75	534	73.25	-14.21	2
ABSENT	5184	1858	35.98	3306	64.02	-	20
POSTAL	2050	605	29.56	1442	70.44	-	3
PRE POLL	3167	900	28.5	2258	71.5	-	9
PROVISIONAL	228	83	36.73	143	63.27	-	2
Division Total	70634	22662	32.16	47796	67.84	-12.68	176


Fairfax							

Polling Place	Formal	MARCONI		SOMLYAY		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Bli Bli	2211	688	31.15	1521	68.85	-9.4	2
Boreen Point	334	125	37.99	204	62.01	-10.14	5
Brisbane City (Fairfax)	76	36	47.37	40	52.63	-4.76	0
Buderim	5356	1263	23.63	4083	76.37	-5.16	10
Buderim Garden Village	1473	314	21.42	1152	78.58	-5.63	7
Buderim South	555	93	16.79	461	83.21	-12.88	1
Burnside	1864	548	29.54	1307	70.46	-10.46	9
Coolum Beach	4301	1799	41.98	2486	58.02	-13.62	16
Cooran	465	212	45.79	251	54.21	-10.02	2
Cooroy	2637	819	31.19	1807	68.81	-6.54	11
Diddillibah	695	196	28.28	497	71.72	-9.61	2
Eudlo	639	277	43.9	354	56.1	-4.42	8
Eumundi	1894	599	31.91	1278	68.09	-6.67	17
Federal	140	44	31.43	96	68.57	-8.91	0
Forest Glen	1158	281	24.37	872	75.63	-11.49	5
Kenilworth	548	154	28.21	392	71.79	-5.47	2
Kin Kin	332	108	32.73	222	67.27	-2.35	2
Kuluin	2162	718	33.33	1436	66.67	-6.74	8
Kureelpa	439	104	23.74	334	76.26	-7.3	1
Mapleton	934	291	31.46	634	68.54	-12.62	9
Maroochydore (Fairfax)	1653	530	32.14	1119	67.86	-9.6	4
Maroochydore East (Fairfax)	1048	379	36.2	668	63.8	-5.56	1
Montville	555	154	28.05	395	71.95	-6.65	6
Mountain Creek	2580	695	26.99	1880	73.01	-6.57	5
Mudjimba	993	412	41.87	572	58.13	-15.49	9
Nambour	1943	663	34.35	1267	65.65	-9.16	13
Nambour Hospital	1614	533	33.17	1074	66.83	-6.04	7
Nambour South	1682	602	35.9	1075	64.1	-5.15	5
Noosa Heads	3264	1127	34.69	2122	65.31	-6.68	15
Noosaville	2791	788	28.36	1991	71.64	-11.49	12
Noosaville West	961	265	27.75	690	72.25	-13.17	6
North Arm	270	88	32.84	180	67.16	-5.02	2
Pacific Paradise	1272	533	42.03	735	57.97	-13.99	4
Palmwoods	1739	475	27.41	1258	72.59	-7.88	6
Peregian Beach	1566	557	35.82	998	64.18	-10.7	11
Pomona	1172	454	39.04	709	60.96	-4.45	9
Special Hospital Team 1	467	89	19.06	378	80.94	-	0
Special Hospital Team 2	132	48	36.64	83	63.36	-	1
Tewantin	4373	1559	35.71	2807	64.29	-6.73	7
Woombye	1633	434	26.69	1192	73.31	-5.44	7
Yandina	2285	737	32.37	1540	67.63	-9.03	8
ABSENT	3841	1345	35.17	2479	64.83	-	17
POSTAL	2397	631	26.37	1762	73.63	-	4
PRE POLL	3577	1099	30.84	2464	69.16	-	14
PROVISIONAL	388	144	37.11	244	62.89	-	0
Division Total	72409	23010	31.91	49109	68.09	-8.05	290


Fisher							

Polling Place	Formal	HENDERSON		SLIPPER		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
AROONA	1860	538	29.03	1315	70.97	-14.42	7
Beerburrum	285	113	39.65	172	60.35	-7.62	0
Beerwah	1862	555	29.92	1300	70.08	-10.26	7
Blackbutt	898	309	34.53	586	65.47	-11.75	3
Brisbane City (Fisher)	100	45	45.92	53	54.08	-18.87	2
Buddina	4532	1353	29.94	3166	70.06	-11.49	13
Caloundra	3634	1180	32.58	2442	67.42	-9.78	12
Caloundra West	735	213	29.02	521	70.98	-	1
Conondale	363	136	38.53	217	61.47	-4.24	10
Coolabunia	244	41	16.8	203	83.2	-1.95	0
Cooyar	164	31	18.9	133	81.1	-10.11	0
Cotton Tree	1783	592	33.3	1186	66.7	-10.32	5
Currimundi	3633	1233	33.99	2395	66.01	-9.47	5
Glasshouse Mountains	1469	461	31.51	1002	68.49	-10.43	6
Glenview	698	162	23.28	534	76.72	-13.57	2
Golden Beach	2864	860	30.07	2000	69.93	-12.66	4
Goodger	236	28	11.86	208	88.14	-2.54	0
Inverlaw	199	16	8.04	183	91.96	-5.13	0
Jimna	63	26	41.27	37	58.73	2.38	0
Kawana Waters	3676	1192	32.46	2480	67.54	-15.52	4
Kilcoy	1226	328	26.91	891	73.09	-12.05	7
Kingaroy	2859	640	22.39	2218	77.61	-11.09	1
Kumbia	449	57	12.69	392	87.31	-11.23	0
Landsborough	1532	541	35.41	987	64.59	-12.12	4
Little Mountain	535	140	26.17	395	73.83	-1.45	0
Maidenwell	206	36	17.48	170	82.52	-3.33	0
Maleny	2560	788	30.95	1758	69.05	-6.38	14
Maroochydore (Fisher)	854	256	30.08	595	69.92	-13.14	3
Maroochydore East (Fisher)	1600	569	35.61	1029	64.39	-10.42	2
Memerambi	403	48	11.97	353	88.03	-14.22	2
Mooloolaba	3873	1014	26.26	2848	73.74	-12.9	11
Mooloolah	1064	364	34.31	697	65.69	-9.79	3
Moore	325	77	23.77	247	76.23	-5.2	1
Mount Kilcoy	260	54	20.77	206	79.23	-9.11	0
Mount Mee	194	32	16.58	161	83.42	-6.68	1
Nanango	2583	835	32.35	1746	67.65	-13.06	2
Peachester	505	177	35.05	328	64.95	-9.7	0
Shelly Beach	1208	299	24.83	905	75.17	-8.42	4
Somerset Dam	63	31	49.21	32	50.79	-1.64	0
Special Hospital Team 1	121	30	24.79	91	75.21	-	0
Special Hospital Team 2	71	11	15.49	60	84.51	-	0
Taabinga	1626	345	21.24	1279	78.76	-7.04	2
Toogoolawah	1193	293	24.56	900	75.44	-8.23	0
Woodford	1887	648	34.47	1232	65.53	-12.02	7
Yarraman	645	155	24.07	489	75.93	-8.77	1
ABSENT	4800	1566	32.73	3219	67.27	-	15
POSTAL	3197	828	25.94	2364	74.06	-	5
PRE POLL	3072	912	29.75	2154	70.25	-	6
PROVISIONAL	357	128	35.96	228	64.04	-	1
Division Total	68566	20286	29.66	48107	70.34	-10.02	173


Forde							

Polling Place	Formal	CRAWFORD		ELSON		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Aratula	422	79	18.72	343	81.28	-0.83	0
Beaudesert	2933	1025	34.97	1906	65.03	-6.25	2
Beaudesert Hospital	507	183	36.17	323	63.83	-0.86	1
Beechmont	460	165	35.87	295	64.13	-4.13	0
Beenleigh	4117	1906	46.43	2199	53.57	-11.62	12
Beenleigh Central	676	309	46.05	362	53.95	-11.21	5
Berrinba East (Forde)	584	307	52.75	275	47.25	-9.47	2
Bethania	2390	1020	42.75	1366	57.25	-14.78	4
Boonah	1915	484	25.31	1428	74.69	-6.76	3
Brisbane City (Forde)	80	36	45.57	43	54.43	-18.07	1
Burrowes (Forde)	798	430	54.02	366	45.98	-8.08	2
Canungra	956	241	25.32	711	74.68	-4.61	4
Cedar Creek	318	127	39.94	191	60.06	-6.24	0
Coomera (Forde)	452	106	23.45	346	76.55	-17.71	0
Eagleby	710	367	51.76	342	48.24	-10.66	1
Eagleby South	2567	1405	54.88	1155	45.12	-7.51	7
Hillview	163	41	25.15	122	74.85	6.66	0
Jimboomba (Forde)	3233	1264	39.15	1965	60.85	-12.7	4
Kalbar	838	159	19	678	81	-5.75	1
Kerry	167	19	11.38	148	88.62	-2.24	0
Kingston (Forde)	1870	1172	62.81	694	37.19	0.71	4
Logan Reserve	748	307	41.21	438	58.79	-7.02	3
Logan Village	2320	899	38.85	1415	61.15	-11.74	6
Loganholme	2708	1114	41.15	1593	58.85	-11.26	1
Loganlea	1393	716	51.62	671	48.38	-13.83	6
Mabel Park (Forde)	2231	1289	57.91	937	42.09	-11.79	5
Marsden East	1894	1029	54.44	861	45.56	-14.38	4
Maudsland	1000	209	21.01	786	78.99	-15.94	5
Mount Alford	329	56	17.02	273	82.98	-2.59	0
Mount Warren Park	3111	1321	42.52	1786	57.48	-9.49	4
Numinbah Valley	114	19	16.96	93	83.04	-8.88	2
Ormeau	997	291	29.22	705	70.78	-10.38	1
Oxenford	1412	366	25.99	1042	74.01	-13.44	4
Pimpama	274	76	27.84	197	72.16	-16.3	1
Prison Mobile Team 1	0	0	0	0	0	-	0
Prison Mobile Team 2	0	0	0	0	0	-	0
Rathdowney	451	102	22.77	346	77.23	-10.21	3
Roadvale	373	88	23.59	285	76.41	-4.3	0
Shailer Park (Forde)	1666	529	31.89	1130	68.11	-10.94	7
Slacks Creek (Forde)	697	283	40.96	408	59.04	-12.59	6
Special Hospital Team 1	71	17	23.94	54	76.06	-	0
Special Hospital Team 2	53	33	62.26	20	37.74	-	0
Special Hospital Team 3	15	4	26.67	11	73.33	-	0
Special Hospital Team 4	64	23	35.94	41	64.06	-	0
Special Hospital Team 5	0	0	0	0	0	-	0
St. Bernard	788	210	26.89	571	73.11	-4.56	7
Studio Village	1350	513	38.14	832	61.86	-11.61	5
Tamborine	826	311	37.74	513	62.26	-11.27	2
Tamborine North	1912	543	28.55	1359	71.45	-9.26	10
Tamrookum	495	114	23.41	373	76.59	-2.16	8
Waterford	549	231	42.08	318	57.92	-14.25	0
Waterford West	2697	1350	50.17	1341	49.83	-11.55	6
Windaroo	1259	411	32.7	846	67.3	-21.1	2
Woodhill	726	212	29.4	509	70.6	-4.9	5
ABSENT	5426	2298	42.52	3107	57.48	-	21
POSTAL	2366	851	36.04	1510	63.96	-	5
PRE POLL	2254	932	41.42	1318	58.58	-	4
PROVISIONAL	283	143	50.53	140	49.47	-	0
Division Total	69008	27735	40.3	41087	59.7	-9.44	186


Griffith							

Polling Place	Formal	RUDD		McDOUGALL		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Balmoral	1145	635	55.7	505	44.3	-4.54	5
Belmont School	4607	1503	32.7	3093	67.3	-7.24	11
Brisbane City (Griffith)	445	241	54.77	199	45.23	-11.07	5
Broadwater	327	179	55.08	146	44.92	-2.63	2
Bulimba	3414	1839	54.09	1561	45.91	-10.7	14
Buranda (Griffith)	163	95	58.28	68	41.72	11.05	0
Camp Hill	2342	1100	47.17	1232	52.83	-8.15	10
Camp Hill High	1942	867	44.76	1070	55.24	-7.99	5
Cannon Hill	3569	2126	59.69	1436	40.31	-8.54	7
Carina	2373	1278	53.97	1090	46.03	-7.96	5
Carina Heights	2251	1207	53.81	1036	46.19	-10.79	8
Carindale	3777	1839	48.75	1933	51.25	-6.68	5
Cavendish Road	1562	764	49.01	795	50.99	-8.53	3
Chatsworth Road	1821	626	34.47	1190	65.53	-4.85	5
Coorparoo	3441	1738	50.69	1691	49.31	-6.26	12
Coorparoo High School	279	153	55.43	123	44.57	-5.78	3
Greenmeadows	1267	476	37.57	791	62.43	-17.76	0
Greenslopes School (Griffith)	1151	561	49.04	583	50.96	-6.89	7
Gumdale	1480	557	37.84	915	62.16	-9.99	8
Hawthorne	1187	541	45.85	639	54.15	-6.26	7
Holland Park (Griffith)	331	163	49.24	168	50.76	-3.88	0
Holland Park School	1261	512	40.76	744	59.24	-6.48	5
Majestic Park	911	271	29.85	637	70.15	-8.95	3
Mansfield (Griffith)	3043	1214	39.93	1826	60.07	-6.36	3
Morningside	1942	1118	57.9	813	42.1	-5.68	11
Mount Gravatt (Griffith)	1028	505	49.41	517	50.59	-8.05	6
Mount Gravatt East	3185	1557	48.95	1624	51.05	-7.6	4
Mount Thompson	1527	737	48.36	787	51.64	-8.92	3
Mt Petrie (Griffith)	533	136	25.52	397	74.48	-9.97	0
Murarrie	1232	864	70.36	364	29.64	-7.21	4
Norman Creek	1742	925	53.31	810	46.69	-6.1	7
Norman Park	1093	599	55	490	45	-0.92	4
Regina Caeli	631	235	37.48	392	62.52	-9.13	4
Seven Hills College	1528	844	55.38	680	44.62	-2.98	4
Seville Road	1373	812	59.27	558	40.73	-2.71	3
Special Hospital Team 1	247	108	44.08	137	55.92	-	2
St James	821	344	41.95	476	58.05	-5.24	1
Tingalpa	2769	1573	56.97	1188	43.03	-5.79	8
ABSENT	5699	2726	48.02	2951	51.98	-	22
POSTAL	3784	1993	52.7	1789	47.3	-	2
PRE POLL	2484	1063	42.91	1414	57.09	-	7
PROVISIONAL	261	137	52.69	123	47.31	-	1
Division Total	75968	36761	48.53	38981	51.47	-7.37	226


Groom							

Polling Place	Formal	GREEN		TAYLOR		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Baker Street	241	60	24.9	181	75.1	-12.1	0
Biddeston	313	36	11.5	277	88.5	-2.04	0
Brisbane City (Groom)	78	27	35.53	49	64.47	-3.31	2
Cambooya	649	117	18.06	531	81.94	-9.4	1
Charlton	592	109	18.41	483	81.59	-7.59	0
Crows Nest	1367	226	16.67	1130	83.33	-5.69	11
Darling Heights	2848	822	28.89	2023	71.11	-8.06	3
Drayton	1520	398	26.2	1121	73.8	-8.95	1
Fairview Heights	451	143	31.78	307	68.22	-9	1
Felton East	96	6	6.25	90	93.75	-6.5	0
Flagstone Creek	135	13	9.63	122	90.37	-5.75	0
Gabbinbar	1134	297	26.19	837	73.81	-3.93	0
Gatton	1323	314	23.79	1006	76.21	-7.57	3
Gatton South	2096	523	25	1569	75	-8.96	4
Geham	274	57	20.8	217	79.2	-5.53	0
Glenvale	1545	367	23.8	1175	76.2	-5.58	3
Goombungee	567	107	18.94	458	81.06	-10.08	2
Gowrie	672	171	25.45	501	74.55	-5.19	0
Grantham	540	121	22.45	418	77.55	-7.22	1
Greenmount East	445	64	14.38	381	85.62	-12.63	0
Haden	170	16	9.41	154	90.59	-3.78	0
Harlaxton	1691	656	38.95	1028	61.05	-6.18	7
Harlaxton North	254	115	45.45	138	54.55	-11.82	1
Harristown	2350	781	33.35	1561	66.65	-7.96	8
Harristown East	1469	462	31.47	1006	68.53	-11.31	1
Helidon	681	165	24.3	514	75.7	-8.47	2
Highfields	2167	495	22.91	1666	77.09	-5.75	6
Kingsthorpe	837	235	28.18	599	71.82	-7.21	3
Lawes	81	26	32.1	55	67.9	3.38	0
Ma Ma Creek	213	17	8.02	195	91.98	-12.23	1
Meringandan	474	111	23.57	360	76.43	-0.97	3
Middle Ridge	2723	632	23.29	2082	76.71	-6.66	9
Mount Lofty	1541	574	37.39	961	62.61	-5.25	6
Mount Sylvia	210	23	10.95	187	89.05	-3.4	0
Murphys Creek	340	120	35.29	220	64.71	1.31	0
Newtown	2950	1150	39.12	1790	60.88	-8.94	10
Oakey	2177	608	27.99	1564	72.01	-6.58	5
Perseverance	230	40	17.78	185	82.22	-6.91	5
Prison Mobile Team 1	2	1	50	1	50	-	0
Rangeville	3566	833	23.42	2724	76.58	-6.36	9
Rockville	1240	532	43.08	703	56.92	-7.33	5
South End	1770	540	30.68	1220	69.32	-8.74	10
Southtown	3093	965	31.25	2123	68.75	-7.3	5
Special Hospital Team 1	250	50	20	200	80	-	0
Special Hospital Team 2	382	99	26.12	280	73.88	-	3
St Josephs College	752	199	26.53	551	73.47	0.73	2
Stockyard Creek	145	35	24.14	110	75.86	-2.18	0
The Range	861	149	17.33	711	82.67	-5.01	1
Toowoomba City	1561	579	37.16	979	62.84	-5.24	3
Toowoomba East	2582	824	32	1751	68	-8.63	7
Toowoomba North	659	236	35.87	422	64.13	-10.43	1
Toowoomba South	651	247	38	403	62	-3.74	1
Toowoomba Taylor St	1413	562	39.94	845	60.06	-7.19	6
Toowoomba West	1816	613	33.79	1201	66.21	-6.97	2
Tor Street North	2178	755	34.7	1421	65.3	-7.84	2
Upper Tenthill	263	24	9.13	239	90.87	-1.78	0
Westbrook	452	66	14.63	385	85.37	-7.95	1
Wilsonton	3339	1057	31.75	2272	68.25	-9.06	10
Withcott	1006	225	22.43	778	77.57	-11.48	3
Wyreema	468	105	22.53	361	77.47	-7.27	2
ABSENT	5149	1641	31.96	3494	68.04	-	14
POSTAL	2532	574	22.68	1957	77.32	-	1
PRE POLL	3210	823	25.73	2376	74.27	-	11
PROVISIONAL	425	179	42.12	246	57.88	-	0
Division Total	77209	22117	28.72	54894	71.28	-7.16	198


Herbert							

Polling Place	Formal	LINDSAY		LINDSAY		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Aitkenvale	2654	1107	41.81	1541	58.19	-10.65	6
Alice River	833	288	34.66	543	65.34	-10.99	2
Annandale	2365	800	33.87	1562	66.13	-4.11	3
Arcadia	354	150	42.49	203	57.51	-7.35	1
Belgian Gardens	1173	472	40.27	700	59.73	-8.63	1
Bluewater	1048	443	42.39	602	57.61	-13.09	3
Bohlevale	3003	1341	44.8	1652	55.2	-11.33	10
Brisbane City (Herbert)	81	33	40.74	48	59.26	-8.49	0
Condon	1336	570	42.79	762	57.21	-9.56	4
Cranbrook	2584	1000	38.74	1581	61.26	-7.53	3
Currajong	2653	1337	50.64	1303	49.36	-9.74	13
Currajong North	459	224	48.8	235	51.2	-8.7	0
