House of Representatives -1996 Election 				
National List of Candidates				

Candidate	Party		Division	State
"CUNNINGHAM, Barry"	ALP		McMillan	VIC
"CURLEY, John Matthew"	ALP		Gwydir	NSW

"D'ANGELO, Paul Peter"	NLP		Batman	VIC
"D'CRUZ, Cathryn"	NLP		Stirling	WA
"DABBAGH, Taha"	DEM		Hinkler	QLD
"DALY, Pat"	GRN		Leichhardt	QLD
"DAVEY, John"	DEM		Melbourne Ports	VIC
"DAVIDSON, Stephen Dwight David"	IND		Lindsay	NSW
"DAVIES, Colin"	DEM		Mallee	VIC
"DAVIS, Jan"	GRN		Paterson	NSW
"DAWSON, John"	IND		Bennelong	NSW
"DE ANGELIS, Peter"	ALP		Menzies	VIC
"DE GARIS, Alison"	GWA		Fremantle	WA
"DE LA MOTTE, Leigh"	NP		Lyons	TAS
"DEAHM, Maggie"	ALP		Macquarie	NSW
"DEAN, Frank"	IND		La Trobe	VIC
"DEAN, Shane"	IND		Moreton	QLD
"DECKER, Dianne"	AWP		Parkes	NSW
"DELL, Tom"	IND		Gilmore	NSW
"DENT, Wendy"	IND		Moreton	QLD
"DERRICK, Christopher"	CTA		Hughes	NSW
"DESMARAIS, Gerald"	DEM		Corio	VIC
"DESMOND, Vivian"	AFI		Parkes	NSW
"DEVEREUX, Michael"	IND		Canning	WA
"DHANJI-AYYAR, Jacqueline"	NLP		Moreton	QLD
"DICKINS, Michael"	NLP		Burke	VIC
"DICKSON, Alan"	DEM		Rankin	QLD
"DIK, Otto"	GWA		Cowan	WA
"DILLON, David"	AIP		McPherson	QLD
"DIMITRIOU, Steve"	IND		Leichhardt	QLD
"DIMO, Jim"	GRN		Longman	QLD
"DIMOND, Vicki"	DEM		Mackellar	NSW
"DISNEY, Simon"	DEM		Berowra	NSW
"DODD, Peter"	ALP		Leichhardt	QLD
"DONDAS, Nick"	CLP		Northern Territory	NT
"DONOVAN, Fay"	ALP		Kennedy	QLD
"DORIC, Catherine"	NLP		Reid	NSW
"DORIC, Stephen"	NLP		Mackellar	NSW
"DORNEY, Dennis"	DEM		Barker	SA
"DOUGLAS, Will"	GRN		Cunningham	NSW
"DOWNER, Alexander"	LP		Mayo	SA
"DOWNING, Luke Stephen"	IND		Farrer	NSW
"DRAPER, Trish"	LP		Makin	SA
"DROULERS, Julien Paul"	IND		Bennelong	NSW
