House of Representatives - 1996 Election							
Two Party Preferred Statistics							
By Division							


National Summary							
			Coalition				
State	ALP		(LP/NP/CLP)		Total	Swing	Exh
	Votes	%	Votes	%			
Fremantle	38747	54.25	32674	45.75	71421	-3.54	527
Kalgoorlie	33130	53.36	28960	46.64	62090	-6.59	239
Moore	34648	41.82	48204	58.18	82852	0.55	750
O'Connor	16514	24.07	52099	75.93	68613	-1.91	323
Pearce	26342	37.82	43306	62.18	69648	-3.42	623
Perth	37756	56.46	29121	43.54	66877	0.31	438
Stirling	30096	44.83	37044	55.17	67140	-3.71	299
Swan	30372	46.29	35239	53.71	65611	-3.93	454
Tangney	25630	37.87	42050	62.13	67680	-0.27	421
State Total	437694	44	557055	56	994749	-2.02	6207


South Australia							

Division	ALP		LP		Total	Swing	Exh
	Votes	%	Votes	%			
Adelaide	34062	46.5	39182	53.5	73244	-2.18	428
Barker	22818	29.11	55554	70.89	78372	-4.91	348
Bonython	41675	59.46	28414	40.54	70089	-5.29	344
Boothby	28941	38.4	46428	61.6	75369	-3.8	515
Grey	31649	41.46	44681	58.54	76330	-6.46	335
Hindmarsh	32203	41.94	44576	58.06	76779	-6.42	308
Kingston	37881	47.99	41056	52.01	78937	-3.46	384
Makin	39106	48.92	40840	51.08	79946	-4.79	324
Mayo	28441	34.84	53194	65.16	81635	-4.56	654
Port Adelaide	42153	57.05	31736	42.95	73889	-5	323
Sturt	28560	40.01	42819	59.99	71379	-4.28	395
Wakefield	24027	30.04	55965	69.96	79992	-2.98	400
State Total	391516	42.74	524445	57.26	915961	-4.59	4758


Tasmania							

Division	ALP		LP		Total	Swing	Exh
	Votes	%	Votes	%			
Bass	28190	45.43	33861	54.57	62051	-4.6	165
Braddon	26473	44.3	33279	55.7	59752	-2.85	89
Denison	38941	61.79	24078	38.21	63019	-2.65	155
Franklin	33567	54.68	27824	45.32	61391	-2.76	104
Lyons	32682	51.31	31015	48.69	63697	-2.47	148
State Total	159853	51.58	150057	48.42	309910	-3.07	661


Australian Capital Territory							

Division	ALP		LP		Total	Swing	Exh
	Votes	%	Votes	%			
Canberra	38338	57.52	28317	42.48	66655	-3.29	466
Fraser	34443	57.32	25647	42.68	60090	-4.74	216
Namadgi	32542	51.51	30628	48.49	63170	-9.28	266
Territory Total	105323	55.46	84592	44.54	189915	-5.73	948


Northern Territory							

Division	ALP		CLP		Total	Swing	Exh
	Votes	%	Votes	%			
Northern Territory	42003	49.63	42630	50.37	84633	-5.68	410
Territory Total	42003	49.63	42630	50.37	84633	-5.68	410
