House of Representatives:  Election 2001 - National				
List of Candidates				
				
Candidate	Party		Division	State
"DORRON, Cheryl"	ALP		Hinkler	QLD
"DOUGLAS, Susie"	NP		Moncrieff	QLD
"DOUGLASS, Ross"	IND		Mallee	VIC
"DOUST, David"	LP		Lowe	NSW
"DOWD, Caroline"	DEM		Hindmarsh	SA
"DOWEY, Kevin Joseph Peter"	HAN		Flinders	VIC
"DOWNER, Alexander"	LP		Mayo	SA
"DRAPER, Trish"	LP		Makin	SA
"DREW, John"	HAN		Ryan	QLD
"DRUMMOND, Michelle"	GRN		Boothby	SA
"DUNLOP, Samantha"	GRN		Parkes	NSW
"DUNN, Martin"	LP		Fraser	ACT
"DUNSTAN, Ted"	DEM		Solomon	NT
"DUTTON, Peter"	LP		Dickson	QLD
"DWYER, David"	HAN		Wakefield	SA
"DWYER, Jim"	HAN		Wide Bay	QLD

"EAST, Thomas James"	HAN		Leichhardt	QLD
"EATON, Ron"	IND		Petrie	QLD
"EDER, Dale"	HAN		Mitchell	NSW
"EDMONDS, Luke"	GWA		Hasluck	WA
"EDWARDS, Gary"	IND		Gwydir	NSW
"EDWARDS, Graham"	ALP		Cowan	WA
"EDWARDS, Lesley"	GRN		Lindsay	NSW
"EDWARDS, Penny"	DEM		Denison	TAS
"EKERT, Sue"	NP		Brisbane	QLD
"ELLIS, Annette"	ALP		Canberra	ACT
"ELLUL, Andrew Bernard"	IND		Dawson	QLD
"ELSON, Kay"	LP		Forde	QLD
"EMERSON, Craig"	ALP		Rankin	QLD
"ENTSCH, Warren"	LP		Leichhardt	QLD
"EVANS, John"	HAN		Moore	WA
"EVANS, Martyn"	ALP		Bonython	SA
"EVANS, Phillip J"	IND		Gippsland	VIC
"EVANS, Robyn"	GRN		Deakin	VIC
"EYKAMP, Jean M"	NGST		Lindsay	NSW
"EYRES, Stephen"	DEM		Groom	QLD

"FAIRBROTHER, Cheryl"			Corio	VIC
"FALCONER, Ron"	HAN		Dobell	NSW
"FARMER, Pat"	LP		Macarthur	NSW
"FARRAR, Jenny"	GRN		McMillan	VIC
"FARRELL, Michelle"	HAN		Watson	NSW
"FARROW, Tim"	DEM		Sturt	SA
"FAULKNER, Nicolas de Bray"	IND		Richmond	NSW
"FEENEY, Cherry"	ALP		Dawson	QLD
"FELSCH, Arthur James"	CTA		Page	NSW
"FENTON, Michael"	DEM		Cowper	NSW
"FERGUSON, Christine"	NGST		Warringah	NSW
"FERGUSON, Laurie"	ALP		Reid	NSW
"FERGUSON, Martin"	ALP		Batman	VIC
"FERRARI, James Stephen"			Melbourne	VIC
"FIELDS, Jeremy"	LP		Cunningham	NSW
"FILIPCZYK, Rebecca"	GRN		Prospect	NSW
"FINCH, Wayne"	ALP		Flinders	VIC
"FINEY, Michele"	GRN		Gellibrand	VIC
"FITZGIBBON, Joel"	ALP		Hunter	NSW
"FITZPATRICK, Peter"	HAN		Hindmarsh	SA
"FITZSIMMONS, Dominic"	GRN		Watson	NSW
"FLANAGAN, Terry"	ALP		Page	NSW
"FLETCHER, Haydn"	DEM		Isaacs	VIC
"FORBES, Jim"	LP		McMillan	VIC
"FORD, Gordon W"			Holt	VIC
"FORREST, John"	NP		Mallee	VIC
"FORT, Dave"	GWA		Cowan	WA
"FOWLER, Trish"	ALP		Curtin	WA
"FOX, Bill"	HAN		Hunter	NSW
"FOX, Jack"	DEM		Pearce	WA
"FRANCIS, Joseph"	DEM		Greenway	NSW
"FRANTZESKOS, Con"	LP		Melbourne	VIC
"FRESHWATER, Michael"	HAN		Gippsland	VIC
"FREW, Andy"	HAN		Cook	NSW

"GALE, Maureen"	GRN		Berowra	NSW
"GALLAGHER, P J"	NGST		Berowra	NSW
"GALLAGHER, Paul"	CEC		Jagajaga	VIC
"GALLUS, Chris"	LP		Hindmarsh	SA
"GAMBARO, Teresa"	LP		Petrie	QLD
"GARDNIR, Ron"	IND		Shortland	NSW
"GARRETT, Anna"	DEM		Lowe	NSW
"GASH, Joanna"	LP		Gilmore	NSW
"GASKELL, Robin"	NGST		Fowler	NSW
"GEORGANAS, Steve"	ALP		Hindmarsh	SA
"GEORGE, Felicity"	GRN		Parramatta	NSW
"GEORGE, Jennie"	ALP		Throsby	NSW
"GEORGIOU, Petro"	LP		Kooyong	VIC
"GERICK, Jane"	ALP		Canning	WA
"GIBBONS, Steve"	ALP		Bendigo	VIC
"GIBSON, Andrew"	IND		Farrer	NSW
"GILBERTHORPE, Peter"	HAN		Perth	WA
"GILES, Tania"	GRN		Higgins	VIC
"GILLARD, Julia"	ALP		Lalor	VIC
"GILLHAM, Ray"	CEC		Capricornia	QLD
"GILLIES, Stewart"	NP		Ryan	QLD
"GILMOUR, Neil"	HAN		Curtin	WA
"GIORGI, Alan"	HAN		Forrest	WA
"GLANZ, David"			Wills	VIC
"GODDARD, Anne"	GRN		Herbert	QLD
"GOLDEN, Aub"	HAN		Wentworth	NSW
"GOLDFINCH, Peter Lloyd"	DEM		Bennelong	NSW
"GOODEN, Tim"			Corio	VIC
"GOODWIN, Kevin Patrick"	IND		McPherson	QLD
"GOWEGATI, Sam"	ALP		Tangney	WA
"GRAHAM, Ann"	NP		Griffith	QLD
"GRAHAM, Gordon A"	IND		Tangney	WA
"GRAHAM, Ken"	DEM		Gwydir	NSW
"GRAHAM, Rex"	DEM		Riverina	NSW
"GRANT, Lee"	GRN		Fowler	NSW
"GRAY, Merinda"	GRN		Scullin	VIC
"GREGORY, Ken"	CTA		Mitchell	NSW
"GRIERSON, Sharon"	ALP		Newcastle	NSW
"GRIFFIN, Alan"	ALP		Bruce	VIC
"GRIFFIN, Brendan"	NGST		Menzies	VIC
"GRIFFITHS, Angela"	CEC		Page	NSW
"GRIFFITHS, Kristin"	DEM		Watson	NSW
"GRIFFITHS, Owen"	DEM		Petrie	QLD
"GRIGG, Brian"	CTA		Macquarie	NSW
"GROVES, John"	HAN		Isaacs	VIC
"GUILDNER, Deborah"	GRN		Kingston	SA
"GYORGY, Stephan"	IND		O'Connor	WA

"HAASE, Barry"	LP		Kalgoorlie	WA
"HAIGH, Bruce"	IND		Gwydir	NSW
"HALE, Sylvia"	GRN		Grayndler	NSW
"HALL, Jill"	ALP		Shortland	NSW
"HALL, Simon Joseph"	CEC		Hotham	VIC
"HALLAM, Brian"	IND		Longman	QLD
"HAMPSON, Brenda"	GRN		Denison	TAS
"HANNOUN, Nazim"	IND		Banks	NSW
"HARDGRAVE, Gary"	LP		Moreton	QLD
"HARDMAN, Ian"	TFP		Bass	TAS
"HARDWICK, Leslie Vernon"	CEC		Longman	QLD
"HARKNESS, Bruce"	NGST		Bennelong	NSW
"HAROON, Lewis"	CTA		Prospect	NSW
"HARRIS, Chris"	GRN		Barton	NSW
"HARRIS, Judith"	CEC		Kennedy	QLD
"HARRIS, Sarah"			Fremantle	WA
"HARTSUYKER, Luke"	NP		Cowper	NSW
"HARVEY, Arthur"	CEC		Forrest	WA
"HASTIE, Carolyn"	DEM		Dobell	NSW
"HATTON, Michael"	ALP		Blaxland	NSW
"HAWAT, Dario"	UNI		Blaxland	NSW
"HAWKER, David"	LP		Wannon	VIC
"HAWKINS, Christine"	ALP		Hughes	NSW
"HAYES, Michael"	DEM		Gilmore	NSW
"HEEMSTRA, Simon"	GRN		Hughes	NSW
"HEGARTY, Ros"	NP		Hasluck	WA
"HELLEMONS, Robert"	HAN		Murray	VIC
"HENDERSON, Geof"	IND		Moore	WA
"HENDERSON, John"	ALP		Fairfax	QLD
"HENNELLY, Paul"	FPY		Paterson	NSW
"HENNIG, Christine"	CTA		Robertson	NSW
"HENNIG, Luke"	CTA		Dobell	NSW
"HEPBURN, Dean"	GRN		Moncrieff	QLD
"HERAGHTY, Julie"	ALP		Warringah	NSW
"HERDEN, Chris"	CTA		Grayndler	NSW
"HERSEY, Dean"	LP		Kingston	SA
"HETHERINGTON, Maurice"	CEC		Wide Bay	QLD
"HEWETT, Aaron"	DEM		Perth	WA
"HICKMAN, Sydney"	DEM		Sydney	NSW
"HILL, Gareth"	CEC		Corio	VIC
"HILL, Jenny"	ALP		Herbert	QLD
"HILL, Vivian"	CTA		Pearce	WA
"HILLS, Graham"	HAN		Corangamite	VIC
"HOAD, Rob"	GRN		Lingiari	NT
"HOARE, Kelly"	ALP		Charlton	NSW
"HOCKEY, Joe"	LP		North Sydney	NSW
"HODDY, Don"	DEM		Kalgoorlie	WA
"HODGE, Robyn"	DEM		Corangamite	VIC
"HODGMAN, Peter"	LP		Franklin	TAS
"HOLDER, Rick"	LP		Greenway	NSW
"HOLLAND, Sylvia"	HAN		Grey	SA
"HOLLAND, Tony"	DEM		La Trobe	VIC
"HOLT, Ron"	HAN		Cowan	WA
"HOLTMAN, John F"	HAN		McMillan	VIC
"HOOLIHAN, Richard"	DEM		Herbert	QLD
"HOPKINSON, James"	HAN		Hasluck	WA
"HORNE, Bob"	ALP		Paterson	NSW
"HOURIGAN, Ros"	IND		Fisher	QLD
"HOWARD, John Winston"	LP		Bennelong	NSW
"HOWE, Roger"	DEM		Lalor	VIC
"HOWELL, Betty"			McMillan	VIC
"HOY, David"	HAN		Groom	QLD
"HUBBARD, Paul"	DEM		Brand	WA
"HULL, Kay"	NP		Riverina	NSW
"HULL, Laurene"	ALP		Solomon	NT
"HUME, Rosemary"	ALP		Petrie	QLD
"HUNT, Geraldine"	GRN		Macarthur	NSW
"HUNT, Greg"	LP		Flinders	VIC
