House of Represenatives:  Election 2001 - National																					
Votes Counted																					
by Vote Type by Division																					
																					
Division	Enrolment			Ordinary			Absent			Postal			Pre-Poll			Provisional			Total		
				Votes			Votes			Votes			Votes			Votes			Votes		%
New South Wales																					
Kingston		85398			70780			4841			2706			3081			593			82001	96.02
Makin		88248			73874			5165			2929			2468			474			84910	96.22
Mayo		86319			71575			5564			2727			2489			391			82746	95.86
Port Adelaide		86297			71011			4699			3208			2475			618			82011	95.03
Sturt		86359			69769			5388			3471			3169			403			82200	95.18
Wakefield		86378			73408			5039			2370			1895			471			83183	96.30
TOTAL		1039025			857053			60307			36460			32773			6154			992747	95.55
																					
Tasmania																					
Bass		65927			54834			2438			2768			2573			784			63397	96.16
Braddon		67749			57841			2161			2195			2566			579			65342	96.45
Denison		67938			55198			3135			3102			2909			618			64962	95.62
Franklin		67119			55747			3590			2685			2133			479			64634	96.30
Lyons		62942			52142			3825			2689			1565			318			60539	96.18
TOTAL		331675			275762			15149			13439			11746			2778			318874	96.14
																					
Australian Capital Territory																					
Canberra		108959			82871			2799			2699			14910			591			103870	95.33
Fraser		112225			84430			2466			3322			15264			700			106182	94.62
TOTAL		221184			167301			5265			6021			30174			1291			210052	94.97
																					
Northern Territory																					
Lingiari		57077			39356			1170			1248			3785			414			45973	80.55
Solomon		53945			42291			879			1140			5083			231			49624	91.99
TOTAL		111022			81647			2049			2388			8868			645			95597	86.11
																					
NATIONAL TOTAL		12708837			10168952			750125			476791			577530			81266			12054664	94.85
