House of Representatives - 2001 Election: Western Australia																																																																								
First Preference Votes and TCP																																																																								
By Candidate by Polling Place																																																																								

O'Connor (83118)																																																																								
		# TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			FORMAL			INFORMAL			TOTAL																																		
		Wilson			Alistair			Carole			Stephan			Vicki			Sandy			Terry Kay			Ron			Donna			Mark Hamilton												Two Candidate Preferred																															
		LP			CTA			DEM			IND			NP			GWA			CEC			HAN			LFF			ALP												# TUCKEY LP			 PENDLEBURY ALP																												
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																											
	Gnowangerup	187	46.06		27	6.65		7	1.72		2	0.49		57	14.04		3	0.74		1	0.25		39	9.61		4	0.99		79	19.46		406	93.33		29	6.67		435	0.55		297	73.15		109	26.85																											
	Goomalling	223	54.39		5	1.22		9	2.20		2	0.49		45	10.98		9	2.20		0	0.00		49	11.95		0	0.00		68	16.59		410	93.18		30	6.82		440	0.56		307	74.88		103	25.12																											
	Hopetoun	145	55.34		6	2.29		2	0.76		2	0.76		24	9.16		6	2.29		5	1.91		31	11.83		5	1.91		36	13.74		262	89.73		30	10.27		292	0.37		204	77.86		58	22.14																											
	Hyden	145	57.31		3	1.19		1	0.40		1	0.40		48	18.97		3	1.19		1	0.40		32	12.65		2	0.79		17	6.72		253	94.40		15	5.60		268	0.34		223	88.14		30	11.86																											
	Jennacubbine	42	56.76		4	5.41		0	0.00		1	1.35		9	12.16		2	2.70		0	0.00		10	13.51		0	0.00		6	8.11		74	94.87		4	5.13		78	0.10		62	83.78		12	16.22																											
	Jerdacuttup	36	58.06		0	0.00		2	3.23		0	0.00		9	14.52		1	1.61		0	0.00		8	12.90		3	4.84		3	4.84		62	95.38		3	4.62		65	0.08		51	82.26		11	17.74																											
	Jerramungup	183	69.58		8	3.04		2	0.76		1	0.38		31	11.79		4	1.52		1	0.38		15	5.70		1	0.38		17	6.46		263	95.64		12	4.36		275	0.35		232	88.21		31	11.79																											
	Jingalup	37	45.12		2	2.44		0	0.00		0	0.00		30	36.59		0	0.00		2	2.44		7	8.54		1	1.22		3	3.66		82	95.35		4	4.65		86	0.11		71	86.59		11	13.41																											
	Jurien	445	63.48		6	0.86		11	1.57		3	0.43		25	3.57		21	3.00		0	0.00		81	11.55		10	1.43		99	14.12		701	90.92		70	9.08		771	0.97		556	79.32		145	20.68																											
	Kalannie	107	68.15		0	0.00		4	2.55		3	1.91		16	10.19		0	0.00		0	0.00		21	13.38		0	0.00		6	3.82		157	95.15		8	4.85		165	0.21		145	92.36		12	7.64																											
	Karlgarin	45	55.56		0	0.00		0	0.00		0	0.00		26	32.10		1	1.23		0	0.00		5	6.17		0	0.00		4	4.94		81	96.43		3	3.57		84	0.11		73	90.12		8	9.88																											
	Katanning	734	44.48		21	1.27		27	1.64		9	0.55		158	9.58		42	2.55		9	0.55		220	13.33		16	0.97		414	25.09		1650	92.33		137	7.67		1787	2.26		1063	64.42		587	35.58																											
	Katanning District Hospital	105	47.09		8	3.59		0	0.00		1	0.45		19	8.52		2	0.90		1	0.45		19	8.52		1	0.45		67	30.04		223	91.02		22	8.98		245	0.31		143	64.13		80	35.87																											
	Kellerberrin	301	55.43		4	0.74		3	0.55		4	0.74		47	8.66		12	2.21		0	0.00		51	9.39		2	0.37		119	21.92		543	91.11		53	8.89		596	0.75		382	70.35		161	29.65																											
