House of Representatives - 2001 Election: Western Australia							
Swing to ALP							
By Division by Polling Place							
							
Brand							
							
Polling Place	Formal	BEAZLEY		THOMAS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
West Perth (Curtin)	525	284	54.10	241	45.90	5.65
West Perth Central	378	129	34.13	249	65.87	-5.98
Woodlands	2215	731	33.00	1484	67.00	2.24	
Woodlands North	779	279	35.82	500	64.18	3.49	
ABSENT	5181	2105	40.63	3076	59.37	-	
POSTAL	2968	925	31.17	2043	68.83	-	
PRE POLL	3709	1279	34.48	2430	65.52	-	
PROVISIONAL	475	200	42.11	275	57.89	-	
Division Total	75887	27385	36.09	48502	63.91	-0.43	
							
							
Forrest							
							
Polling Place	Formal	SMITH		PROSSER		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Acton Park	162	33	20.37	129	79.63	-0.97	
Alexandra Bridge	138	22	15.94	116	84.06	0.74	
Allanson	353	215	60.91	138	39.09	-3.65	
Augusta	762	239	31.36	523	68.64	-7.46
Australind	2767	1093	39.50	1674	60.50	-2.04
Australind East	223	89	39.91	134	60.09	-4.80
Australind North	446	195	43.72	251	56.28	-7.07
Balingup	336	147	43.75	189	56.25	-11.36
Binningup	529	189	35.73	340	64.27	-9.53
Boyanup	672	268	39.88	404	60.12	-0.67
Bridgetown	1649	744	45.12	905	54.88	1.56
Brookhampton	128	26	20.31	102	79.69	2.34
Brunswick	751	251	33.42	500	66.58	-3.85
Bunbury	1206	519	43.03	687	56.97	2.36
Bunbury Central	1042	423	40.60	619	59.40	-4.78
Bunbury East	1922	867	45.11	1055	54.89	-4.25
Burekup	386	131	33.94	255	66.06	5.63
Busselton	1842	684	37.13	1158	62.87	-1.42
Busselton East	1459	498	34.13	961	65.87	-3.67
Busselton South	1354	509	37.59	845	62.41	-1.03
Busselton West	2626	948	36.10	1678	63.90	-2.52
Capel	1330	559	42.03	771	57.97	2.37
Carbunup River	326	95	29.14	231	70.86	6.18
Carey Park	2059	1171	56.87	888	43.13	-3.18
Carey Park South	1065	560	52.58	505	47.42	-3.73
Clifton Park	650	255	39.23	395	60.77	-3.39
Collie	828	531	64.13	297	35.87	-8.53
Collie Central	1525	1030	67.54	495	32.46	-3.89
Collie East	671	436	64.98	235	35.02	-5.60
Collie North	878	583	66.40	295	33.60	-5.54
Coral Park	1870	936	50.05	934	49.95	-0.41
Cowaramup	694	247	35.59	447	64.41	-1.58
Dardanup	755	234	30.99	521	69.01	1.32
Deanmill	207	58	28.02	149	71.98	-11.69
Donnybrook	1387	502	36.19	885	63.81	0.97
Dunsborough	1864	655	35.14	1209	64.86	-3.39
Eaton	2838	1235	43.52	1603	56.48	-4.35
Eaton East	563	265	47.07	298	52.93	-0.76
Elgin	161	40	24.84	121	75.16	8.87
Ferguson	154	47	30.52	107	69.48	11.47
Gelorup	1077	399	37.05	678	62.95	0.64
Greenbushes	393	161	40.97	232	59.03	1.27
Harvey	1998	834	41.74	1164	58.26	-6.26
Karridale	204	91	44.61	113	55.39	-0.55
Kirup	236	79	33.47	157	66.53	-9.75
Kudardup	187	74	39.57	113	60.43	-2.36
Leschenault	805	355	44.10	450	55.90	-1.76
Lowden	197	61	30.96	136	69.04	-0.71
Manjimup	2230	665	29.82	1565	70.18	-15.54
Manjimup East	813	223	27.43	590	72.57	-18.09
Margaret River	2537	1229	48.44	1308	51.56	-0.17
Middlesex	134	35	26.12	99	73.88	-9.34
Nannup	662	242	36.56	420	63.44	-17.19
Northcliffe	406	180	44.33	226	55.67	-9.11
Pemberton	829	241	29.07	588	70.93	-10.43
Perth (Forrest)	53	22	41.51	31	58.49	1.51
Picton	825	366	44.36	459	55.64	-3.33
Quinninup	103	37	35.92	66	64.08	-26.87
Rosa Brook	157	49	31.21	108	68.79	0.80
Rottnest (Forrest)	22	11	50.00	11	50.00	0.00
Sealinks	1151	420	36.49	731	63.51	-1.21
South Bunbury	1350	663	49.11	687	50.89	-0.78
South West Health Campus	380	180	47.37	200	52.63	-0.39
Special Hospital Team 1	41	13	31.71	28	68.29	-18.14
Special Hospital Team 2	193	65	33.68	128	66.32	-
Special Hospital Team 3	61	18	29.51	43	70.49	-
Special Hospital Team 4	64	48	75.00	16	25.00	-
Special Hospital Team 5	15	2	13.33	13	86.67	-
Special Hospital Team 6	64	16	25.00	48	75.00	-
Special Hospital Team 7	34	15	44.12	19	55.88	-
Vasse	841	246	29.25	595	70.75	-5.39
Villa Maria	432	135	31.25	297	68.75	-4.11
Walpole	312	122	39.10	190	60.90	-2.93
Wilson Park	405	278	68.64	127	31.36	-7.16
Witchcliffe	369	128	34.69	241	65.31	-3.04
Withers	1967	1090	55.41	877	44.59	-5.03
Wollaston	856	375	43.81	481	56.19	-1.13
Yallingup	544	240	44.12	304	55.88	2.67
Yarloop	560	220	39.29	340	60.71	-5.12
Yoongarillup	228	44	19.30	184	80.70	0.55
Yornup	266	73	27.44	193	72.56	13.62
ABSENT	4528	1969	43.48	2559	56.52	-
POSTAL	2057	825	40.11	1232	59.89	-
PRE POLL	2996	1313	43.83	1683	56.17	-	
PROVISIONAL	561	291	51.87	270	48.13	-	
Division Total	74721	31672	42.39	43049	57.61	-3.01	
							
							
Fremantle							
							
Polling Place	Formal	LAWRENCE		SMYTH		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Atwell	2600	1284	49.38	1316	50.62	-1.61	
Beaconsfield	1963	1402	71.42	561	28.58	-0.05	
Beeliar	685	393	57.37	292	42.63	-6.83	
Bibra Lake	2540	1297	51.06	1243	48.94	-0.54	
Bicton	3025	1286	42.51	1739	57.49	-4.42	
Coogee Beach	2105	1136	53.97	969	46.03	-0.60	
Coolbellup	1198	912	76.13	286	23.87	-3.35	
Coolbellup East	1220	918	75.25	302	24.75	-2.39
East Fremantle	2405	1523	63.33	882	36.67	1.00
Fremantle	1617	1108	68.52	509	31.48	-0.23
Hamilton Hill East	1543	1091	70.71	452	29.29	-2.21
Hamilton Hill North	1835	1297	70.68	538	29.32	-0.80
Hamilton Hill South	1219	898	73.67	321	26.33	-3.51
Hilton	1667	1268	76.06	399	23.94	0.06
Jandakot	1229	662	53.86	567	46.14	5.82
