Senate - 2001 Election: Western Australia																																																		5														
First Preference Votes by Group 																																																																
By Polling Place																																																																
Forrest (82248)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Coral Park		8	0.42		1	0.05		2	0.11		15	0.79		4	0.21		726	38.37		26	1.37		1	0.05		156	8.25		51	2.70		4	0.21		5	0.26		0	0.00		19	1.00		79	4.18		678	35.84		116	6.13		1	0.05		1892	96.14		76	3.86		1968	2.49
	Cowaramup		2	0.28		0	0.00		0	0.00		3	0.43		0	0.00		329	46.87		34	4.84		0	0.00		37	5.27		20	2.85		0	0.00		0	0.00		0	0.00		4	0.57		46	6.55		131	18.66		96	13.68		0	0.00		702	97.10		21	2.90		723	0.92
	Dardanup		2	0.26		0	0.00		0	0.00		10	1.31		1	0.13		381	49.74		45	5.87		1	0.13		80	10.44		23	3.00		0	0.00		1	0.13		0	0.00		4	0.52		31	4.05		149	19.45		38	4.96		0	0.00		766	95.99		32	4.01		798	1.01
	Deanmill		2	0.93		0	0.00		0	0.00		1	0.47		0	0.00		108	50.23		4	1.86		0	0.00		42	19.53		9	4.19		0	0.00		0	0.00		0	0.00		0	0.00		8	3.72		41	19.07		0	0.00		0	0.00		215	97.29		6	2.71		221	0.28
	Donnybrook		3	0.21		1	0.07		0	0.00		3	0.21		2	0.14		632	44.82		93	6.60		0	0.00		155	10.99		51	3.62		2	0.14		5	0.35		0	0.00		5	0.35		40	2.84		291	20.64		126	8.94		1	0.07		1410	95.27		70	4.73		1480	1.88
	Dunsborough		3	0.16		2	0.11		0	0.00		14	0.75		1	0.05		946	50.48		52	2.77		0	0.00		103	5.50		39	2.08		1	0.05		2	0.11		0	0.00		7	0.37		130	6.94		377	20.12		197	10.51		0	0.00		1874	97.40		50	2.60		1924	2.44
	Eaton		4	0.14		0	0.00		1	0.03		35	1.22		3	0.10		1269	44.29		72	2.51		1	0.03		273	9.53		69	2.41		1	0.03		4	0.14		0	0.00		22	0.77		91	3.18		906	31.62		113	3.94		1	0.03		2865	96.43		106	3.57		2971	3.77
	Eaton East		0	0.00		0	0.00		1	0.17		3	0.52		0	0.00		250	43.55		3	0.52		0	0.00		41	7.14		13	2.26		0	0.00		1	0.17		0	0.00		2	0.35		21	3.66		209	36.41		30	5.23		0	0.00		574	98.80		7	1.20		581	0.74
	Elgin		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		89	55.28		9	5.59		0	0.00		16	9.94		14	8.70		0	0.00		1	0.62		0	0.00		1	0.62		7	4.35		21	13.04		3	1.86		0	0.00		161	99.38		1	0.62		162	0.21
	Ferguson		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		73	48.99		21	14.09		0	0.00		8	5.37		4	2.68		0	0.00		0	0.00		0	0.00		0	0.00		9	6.04		24	16.11		10	6.71		0	0.00		149	92.55		12	7.45		161	0.20
