Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Stirling (85975)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Rottnest (Stirling)		0	0.00		0	0.00		1	0.83		0	0.00		0	0.00		59	49.17		3	2.50		0	0.00		5	4.17		1	0.83		0	0.00		0	0.00		0	0.00		1	0.83		6	5.00		33	27.50		11	9.17		0	0.00		120	99.17		1	0.83		121	0.15
	Scarborough		5	0.44		1	0.09		0	0.00		15	1.32		0	0.00		532	46.87		15	1.32		1	0.09		36	3.17		14	1.23		0	0.00		1	0.09		0	0.00		6	0.53		80	7.05		329	28.99		99	8.72		1	0.09		1135	96.93		36	3.07		1171	1.43
	Scarborough Central		3	0.20		4	0.26		0	0.00		14	0.92		1	0.07		675	44.58		29	1.92		1	0.07		64	4.23		31	2.05		1	0.07		1	0.07		1	0.07		9	0.59		110	7.27		435	28.73		134	8.85		1	0.07		1514	96.43		56	3.57		1570	1.92
	Trigg		3	0.36		3	0.36		0	0.00		10	1.19		1	0.12		405	48.27		29	3.46		0	0.00		20	2.38		16	1.91		2	0.24		1	0.12		1	0.12		2	0.24		59	7.03		189	22.53		96	11.44		2	0.24		839	96.99		26	3.01		865	1.06
	Tuart Hill (Stirling)		6	0.27		1	0.05		1	0.05		19	0.87		0	0.00		778	35.43		20	0.91		3	0.14		67	3.05		29	1.32		0	0.00		16	0.73		0	0.00		26	1.18		158	7.19		943	42.94		126	5.74		3	0.14		2196	93.81		145	6.19		2341	2.86
	Westminster		7	0.38		2	0.11		2	0.11		22	1.18		3	0.16		504	27.02		11	0.59		1	0.05		126	6.76		10	0.54		1	0.05		7	0.38		0	0.00		35	1.88		89	4.77		973	52.17		72	3.86		0	0.00		1865	91.38		176	8.62		2041	2.49
	Yokine		5	0.34		1	0.07		0	0.00		8	0.55		1	0.07		602	41.15		14	0.96		1	0.07		52	3.55		17	1.16		1	0.07		10	0.68		0	0.00		13	0.89		111	7.59		554	37.87		72	4.92		1	0.07		1463	95.56		68	4.44		1531	1.87
	Yokine North		13	0.78		1	0.06		1	0.06		23	1.38		0	0.00		717	43.11		16	0.96		2	0.12		61	3.67		13	0.78		1	0.06		5	0.30		1	0.06		19	1.14		105	6.31		614	36.92		71	4.27		0	0.00		1663	94.43		98	5.57		1761	2.15
	Yokine West		5	0.40		1	0.08		0	0.00		13	1.03		1	0.08		498	39.62		10	0.80		3	0.24		48	3.82		16	1.27		2	0.16		7	0.56		0	0.00		12	0.95		99	7.88		463	36.83		78	6.21		1	0.08		1257	94.23		77	5.77		1334	1.63
	Special Hospitals		2	0.44		0	0.00		0	0.00		3	0.66		0	0.00		245	53.73		6	1.32		0	0.00		6	1.32		8	1.75		0	0.00		6	1.32		0	0.00		2	0.44		6	1.32		170	37.28		2	0.44		0	0.00		456	95.20		23	4.80		479	0.58
	Total Ordinary		287	0.44		68	0.11		46	0.07		683	1.06		41	0.06		25087	38.89		845	1.31		52	0.08		2819	4.37		708	1.10		34	0.05		257	0.40		13	0.02		560	0.87		4148	6.43		25296	39.22		3507	5.44		50	0.08		64501	95.11		3315	4.89		67816	82.73
	ABSENT		25	0.34		9	0.12		5	0.07		85	1.15		7	0.09		2905	39.29		86	1.16		9	0.12		331	4.48		100	1.35		2	0.03		30	0.41		4	0.05		73	0.99		582	7.87		2477	33.50		657	8.89		6	0.08		7393	97.69		175	2.31		7568	9.23
	POSTAL		10	0.36		1	0.04		0	0.00		27	0.98		1	0.04		1262	45.91		23	0.84		0	0.00		152	5.53		28	1.02		1	0.04		11	0.40		1	0.04		16	0.58		145	5.27		969	35.25		100	3.64		2	0.07		2749	98.39		45	1.61		2794	3.41
	PRE_POLL		7	0.24		4	0.13		2	0.07		25	0.84		5	0.17		1364	45.90		33	1.11		1	0.03		115	3.87		34	1.14		2	0.07		10	0.34		0	0.00		21	0.71		248	8.34		905	30.45		196	6.59		0	0.00		2972	98.48		46	1.52		3018	3.68
	PROVISIONAL		3	0.41		0	0.00		1	0.14		6	0.81		1	0.14		214	29.00		5	0.68		1	0.14		27	3.66		10	1.36		0	0.00		2	0.27		1	0.14		10	1.36		51	6.91		348	47.15		57	7.72		1	0.14		738	95.23		37	4.77		775	0.95
	Division Summary		332	0.42		82	0.1		54	0.07		826	1.05		55	0.07		30832	39.35		992	1.27		63	0.08		3444	4.4		880	1.12		39	0.05		310	0.4		19	0.02		680	0.87		5174	6.6		29995	38.28		4517	5.76		59	0.08		78353	95.59		3618	4.41		81971	95.34
