Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
O'Connor (83118)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Dudinin		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		38	50.00		23	30.26		0	0.00		13	17.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.63		0	0.00		0	0.00		76	91.57		7	8.43		83	0.10
	Dumbleyung		2	0.84		0	0.00		0	0.00		0	0.00		2	0.84		90	37.66		72	30.13		0	0.00		33	13.81		0	0.00		0	0.00		1	0.42		0	0.00		0	0.00		5	2.09		29	12.13		5	2.09		0	0.00		239	95.22		12	4.78		251	0.32
	Duranillin		1	0.64		0	0.00		0	0.00		3	1.91		2	1.27		76	48.41		22	14.01		1	0.64		32	20.38		2	1.27		0	0.00		0	0.00		0	0.00		1	0.64		1	0.64		10	6.37		5	3.18		1	0.64		157	96.32		6	3.68		163	0.20
	Elleker		1	0.25		0	0.00		0	0.00		22	5.60		0	0.00		102	25.95		20	5.09		0	0.00		77	19.59		5	1.27		0	0.00		2	0.51		0	0.00		0	0.00		19	4.83		103	26.21		42	10.69		0	0.00		393	98.00		8	2.00		401	0.50
	Emu Point		6	1.56		0	0.00		0	0.00		7	1.82		3	0.78		179	46.49		8	2.08		0	0.00		72	18.70		11	2.86		0	0.00		0	0.00		0	0.00		2	0.52		10	2.60		58	15.06		29	7.53		0	0.00		385	96.98		12	3.02		397	0.50
	Eneabba		0	0.00		0	0.00		0	0.00		1	0.53		0	0.00		88	46.32		16	8.42		0	0.00		39	20.53		1	0.53		0	0.00		0	0.00		0	0.00		0	0.00		6	3.16		35	18.42		4	2.11		0	0.00		190	97.44		5	2.56		195	0.25
	Fitzgerald		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		24	60.00		6	15.00		0	0.00		8	20.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	5.00		0	0.00		0	0.00		40	95.24		2	4.76		42	0.05
	Forest Hill		0	0.00		0	0.00		0	0.00		1	0.95		0	0.00		59	56.19		11	10.48		0	0.00		19	18.10		1	0.95		0	0.00		0	0.00		0	0.00		1	0.95		3	2.86		9	8.57		1	0.95		0	0.00		105	96.33		4	3.67		109	0.14
	Frankland		2	0.98		0	0.00		0	0.00		6	2.93		1	0.49		110	53.66		28	13.66		0	0.00		30	14.63		2	0.98		1	0.49		0	0.00		0	0.00		0	0.00		4	1.95		13	6.34		8	3.90		0	0.00		205	97.62		5	2.38		210	0.26
	Gairdner River		0	0.00		0	0.00		0	0.00		3	4.62		0	0.00		36	55.38		15	23.08		0	0.00		7	10.77		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.54		0	0.00		3	4.62		0	0.00		65	97.01		2	2.99		67	0.08
