Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Kalgoorlie (82534)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Laverton		1	0.44		0	0.00		0	0.00		0	0.00		1	0.44		82	36.44		3	1.33		1	0.44		37	16.44		0	0.00		0	0.00		0	0.00		0	0.00		4	1.78		4	1.78		83	36.89		9	4.00		0	0.00		225	98.68		3	1.32		228	0.32
	Leinster		0	0.00		1	0.38		1	0.38		3	1.15		1	0.38		129	49.43		2	0.77		0	0.00		33	12.64		6	2.30		0	0.00		0	0.00		0	0.00		3	1.15		11	4.21		64	24.52		7	2.68		0	0.00		261	98.49		4	1.51		265	0.37
	Leonora		2	0.54		1	0.27		0	0.00		10	2.70		1	0.27		163	43.94		0	0.00		0	0.00		47	12.67		2	0.54		0	0.00		2	0.54		0	0.00		3	0.81		16	4.31		113	30.46		10	2.70		1	0.27		371	97.12		11	2.88		382	0.53
	Looma		2	1.30		0	0.00		0	0.00		1	0.65		1	0.65		60	38.96		3	1.95		0	0.00		0	0.00		0	0.00		1	0.65		2	1.30		0	0.00		7	4.55		1	0.65		71	46.10		5	3.25		0	0.00		154	95.06		8	4.94		162	0.23
	Marble Bar		0	0.00		0	0.00		0	0.00		1	0.76		0	0.00		37	28.03		4	3.03		0	0.00		6	4.55		0	0.00		0	0.00		0	0.00		0	0.00		1	0.76		1	0.76		80	60.61		2	1.52		0	0.00		132	97.78		3	2.22		135	0.19
	Marvel Loch		1	1.23		0	0.00		0	0.00		0	0.00		1	1.23		34	41.98		4	4.94		0	0.00		18	22.22		1	1.23		0	0.00		0	0.00		0	0.00		1	1.23		2	2.47		16	19.75		3	3.70		0	0.00		81	97.59		2	2.41		83	0.12
	Meekatharra		0	0.00		0	0.00		0	0.00		2	0.46		2	0.46		144	33.18		2	0.46		0	0.00		56	12.90		2	0.46		0	0.00		2	0.46		0	0.00		1	0.23		10	2.30		206	47.47		6	1.38		1	0.23		434	96.66		15	3.34		449	0.62
	Menzies		0	0.00		0	0.00		0	0.00		1	1.16		0	0.00		30	34.88		1	1.16		0	0.00		14	16.28		1	1.16		0	0.00		3	3.49		0	0.00		1	1.16		2	2.33		32	37.21		1	1.16		0	0.00		86	100.00		0	0.00		86	0.12
	Merredin		4	0.46		2	0.23		3	0.34		4	0.46		2	0.23		338	38.85		127	14.60		0	0.00		129	14.83		7	0.80		0	0.00		7	0.80		0	0.00		9	1.03		18	2.07		193	22.18		27	3.10		0	0.00		870	96.13		35	3.87		905	1.26
	Merredin District Hospital		1	0.37		0	0.00		0	0.00		2	0.74		1	0.37		101	37.27		16	5.90		0	0.00		32	11.81		7	2.58		0	0.00		3	1.11		0	0.00		1	0.37		4	1.48		95	35.06		8	2.95		0	0.00		271	95.09		14	4.91		285	0.40
