Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Swan (78991)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Victoria Park East		4	0.20		1	0.05		2	0.10		23	1.12		5	0.24		665	32.50		16	0.78		3	0.15		83	4.06		29	1.42		2	0.10		9	0.44		0	0.00		11	0.54		226	11.05		810	39.59		155	7.58		2	0.10		2046	96.06		84	3.94		2130	2.84
	Wilson		11	0.49		7	0.31		1	0.04		111	4.96		2	0.09		826	36.92		25	1.12		3	0.13		113	5.05		8	0.36		1	0.04		4	0.18		0	0.00		10	0.45		143	6.39		850	38.00		118	5.27		4	0.18		2237	96.01		93	3.99		2330	3.11
	Special Hospitals		3	0.39		0	0.00		0	0.00		2	0.26		2	0.26		387	50.52		6	0.78		0	0.00		18	2.35		7	0.91		0	0.00		10	1.31		0	0.00		5	0.65		23	3.00		295	38.51		8	1.04		0	0.00		766	94.80		42	5.20		808	1.08
	Prison Mobiles		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Total Ordinary		244	0.41		74	0.12		49	0.08		782	1.31		69	0.12		22521	37.87		923	1.55		56	0.09		3223	5.42		636	1.07		44	0.07		228	0.38		23	0.04		398	0.67		4429	7.45		22471	37.78		3262	5.48		45	0.08		59477	95.65		2704	4.35		62181	83.04
	ABSENT		20	0.31		6	0.09		7	0.11		88	1.37		7	0.11		2343	36.51		116	1.81		4	0.06		369	5.75		85	1.32		5	0.08		25	0.39		6	0.09		48	0.75		546	8.51		2144	33.41		590	9.19		8	0.12		6417	97.91		137	2.09		6554	8.75
	POSTAL		9	0.37		0	0.00		0	0.00		22	0.90		2	0.08		969	39.75		50	2.05		2	0.08		173	7.10		31	1.27		0	0.00		6	0.25		0	0.00		8	0.33		120	4.92		929	38.11		111	4.55		6	0.25		2438	98.51		37	1.49		2475	3.31
	PRE_POLL		2	0.07		4	0.14		1	0.03		37	1.27		6	0.21		1197	41.25		32	1.10		0	0.00		133	4.58		43	1.48		2	0.07		13	0.45		2	0.07		18	0.62		247	8.51		954	32.87		210	7.24		1	0.03		2902	98.04		58	1.96		2960	3.95
	PROVISIONAL		3	0.44		1	0.15		0	0.00		5	0.73		4	0.59		206	30.16		5	0.73		2	0.29		31	4.54		10	1.46		0	0.00		4	0.59		0	0.00		12	1.76		54	7.91		291	42.61		55	8.05		0	0.00		683	95.93		29	4.07		712	0.95
	Division Summary		278	0.39		85	0.12		57	0.08		934	1.3		88	0.12		27236	37.87		1126	1.57		64	0.09		3929	5.46		805	1.12		51	0.07		276	0.38		31	0.04		484	0.67		5396	7.5		26789	37.25		4228	5.88		60	0.08		71917	96.04		2965	3.96		74882	94.8
